ReturnsMean,ITERATIONS,Omega,Epsilon,Eta,DualReg,Primal,TimestepsMean,DualBefore,RewardStd,RewardMean,WeightMean,ReturnsStd,ConfortViolation,WeightMin,OmegaBefore,NormDeltaOmega,WeightMedian,TimestepsStd,WeightMax,DualAfter,LossReg,Wins,Traj,NormDeltaVar,DeltaOmega
1158.0,0,[[0.47543974]],0.0085001,19.7901070221811,0.0,2.649647610684536,500.0,6.499838813483137,2.4086706624194187,2.3242,0.6033227546154541,57.046610674725315,0,0.6033227546154541,[[0.8]],0.3245602593845371,0.6674823160521056,0.0,1.0,2.6496476002459186,0.0,0.0,20,21.20877894382274,[[-0.32456026]]
1299.6842105263158,1,[[0.45174334]],0.0085001,24.316602045197357,0.0,3.0046930110290537,500.0,7.79827517391414,2.965181383996601,2.6044,0.6628267278292004,67.43499999537875,0,0.6628267278292004,[[0.47543974]],0.023696396020049748,0.7196478132641844,0.0,1.0,3.0046931637789784,0.0,0.0,20,1.361559497039898,[[-0.0236964]]
1370.0,2,[[0.43060321]],0.0085001,25.444251814591954,0.0,3.1552990941947976,500.0,7.956543303723721,3.1186514457374037,2.7354,0.6750178960419178,87.18039373982879,0,0.6750178960419178,[[0.45174334]],0.02114013716663299,0.7302174878535508,0.0,1.0,3.155297401281614,0.0,0.0,20,1.2251596933804958,[[-0.02114014]]
1414.7368421052631,3,[[0.41810354]],0.0085001,26.0032243951426,0.0,3.2443121452806096,500.0,8.030887759293787,3.1962519988261247,2.8146,0.680744863795561,98.23325736829455,0,0.680744863795561,[[0.43060321]],0.012499665029928664,0.7351695295609888,0.0,1.0,3.244312246973017,0.0,0.0,20,0.7310415001440274,[[-0.01249967]]
1445.0526315789473,4,[[0.40406785]],0.0085001,26.590160137961128,0.0,3.327624767464389,500.0,8.102678597201521,3.277829501362144,2.8876,0.6865481151475854,93.1922030193573,0,0.6865481151475854,[[0.41810354]],0.014035692023844304,0.7401790408955711,0.0,1.0,3.327624767084097,0.0,0.0,20,0.828294209111184,[[-0.01403569]]
1493.8947368421052,5,[[0.38553341]],0.0085001,27.376142674133153,0.0,3.4303736177440527,500.0,8.200689313694955,3.3861264654469125,2.9766,0.6940012229887386,86.7069442595314,0,0.6940012229887386,[[0.40406785]],0.01853444156638373,0.7466003490396392,0.0,1.0,3.4303737212266867,0.0,0.0,20,1.108324292186011,[[-0.01853444]]
1535.0526315789473,6,[[0.37313162]],0.0085001,27.928230194162236,0.0,3.535965568223131,500.0,8.27421231428427,3.4642687886479013,3.0724,0.6990306839346088,83.21024334983012,0,0.6990306839346088,[[0.38553341]],0.012401791826798958,0.7509257407139479,0.0,1.0,3.535965690495602,0.0,0.0,20,0.7525525563832423,[[-0.01240179]]
1571.3684210526317,7,[[0.35638526]],0.0085001,28.477612632995903,0.0,3.619122896369992,500.0,8.333031999492615,3.542251030065487,3.1458,0.703876030555836,92.84974309196427,0,0.703876030555836,[[0.37313162]],0.01674635251927703,0.7550869090506167,0.0,1.0,3.6191232677661116,0.0,0.0,20,1.0326082420605367,[[-0.01674635]]
1633.6842105263158,8,[[0.3435116]],0.0085001,29.061257677229097,0.0,3.7425447220862553,500.0,8.411340494700376,3.6259374732612257,3.2588,0.7088575207826486,91.77377944052311,0,0.7088575207826486,[[0.35638526]],0.01287366333601897,0.7593590289494031,0.0,1.0,3.7425451076164356,0.0,0.0,20,0.8085168340506534,[[-0.01287366]]
1651.2631578947369,9,[[0.33885036]],0.0085001,29.270963612166412,0.0,3.777850975308581,500.0,8.438146457093456,3.65541623348149,3.2904,0.7106071808430783,115.83147563560794,0,0.7106071808430783,[[0.3435116]],0.004661245052314245,0.7608581088157974,0.0,1.0,3.7778515038162137,0.0,0.0,20,0.29624978459293416,[[-0.00466125]]
1704.0,10,[[0.32295239]],0.0085001,29.775575079552183,0.0,3.897844188846463,500.0,8.495697188009423,3.730608336451309,3.4012,0.7147333531960492,79.754887657517,0,0.7147333531960492,[[0.33885036]],0.01589796761459067,0.7643904266117993,0.0,1.0,3.8978451551543998,0.0,0.0,20,1.0259295582613692,[[-0.01589797]]
1772.0,11,[[0.30664025]],0.0085001,30.41115230579505,0.0,4.047750612989075,500.0,8.576878433455517,3.824138051901369,3.5396,0.7197677146108352,81.32326656136316,0,0.7197677146108352,[[0.32295239]],0.01631214233043493,0.7686947056204372,0.0,1.0,4.047750578035933,0.0,0.0,20,1.080529688369431,[[-0.01631214]]
1834.9473684210527,12,[[0.29083387]],0.0085001,30.98004955287912,0.0,4.184695762206639,500.0,8.647785454797349,3.90857743431034,3.6662,0.7241270781021443,103.44867717310002,0,0.7241270781021443,[[0.30664025]],0.015806378246439046,0.7724170120048212,0.0,1.0,4.184695694267034,0.0,0.0,20,1.0780549965670012,[[-0.01580638]]
1924.0,13,[[0.26767239]],0.0085001,31.725700394279805,0.0,4.39808171044607,500.0,8.742512787860516,4.0227341895780295,3.8658,0.7296415687586042,117.53252629311643,0,0.7296415687586042,[[0.29083387]],0.023161476253988345,0.7771192280776555,0.0,1.0,4.3980815871303145,0.0,0.0,20,1.6446648358596008,[[-0.02316148]]
2040.3157894736842,14,[[0.24984146]],0.0085001,32.35494780696392,0.0,4.623101694091425,500.0,8.836669445261597,4.121912056315612,4.079,0.7341281021570689,118.06557171494462,0,0.7341281021570689,[[0.26767239]],0.017830932922867915,0.7809396603541903,0.0,1.0,4.623101530130963,0.0,0.0,20,1.3284838374154209,[[-0.01783093]]
2132.5263157894738,15,[[0.23120297]],0.0085001,32.85781225240441,0.0,4.809278421265233,500.0,8.907415714596798,4.203173639049427,4.2556,0.7376088372194207,111.47780917769317,0,0.7376088372194207,[[0.24984146]],0.018638489781851952,0.7839004054135265,0.0,1.0,4.8092782437299535,0.0,0.0,20,1.458185664298119,[[-0.01863849]]
2205.5789473684213,16,[[0.2209935]],0.0085001,33.14906253203724,0.0,4.979500050080372,500.0,8.966141417924547,4.254456487026281,4.42,0.7395838201305021,124.93969736572653,0,0.7395838201305021,[[0.23120297]],0.010209466433475312,0.7855791009330574,0.0,1.0,4.979500155168823,0.0,0.0,20,0.8336438333319869,[[-0.01020947]]
2356.4210526315787,17,[[0.19974713]],0.0085001,33.58870057007215,0.0,5.271373801058652,500.0,9.059145413623376,4.336227872241034,4.7028,0.7425098307247814,86.78728732364684,0,0.7425098307247814,[[0.2209935]],0.021246374107095206,0.7880645039359823,0.0,1.0,5.27137379534098,0.0,0.0,20,1.828421029412933,[[-0.02124637]]
2527.5789473684213,18,[[0.17549339]],0.0085001,33.9229283922234,0.0,5.633077941982021,500.0,9.165108770195214,4.410711253301445,5.0568,0.744691030185987,140.25777613848376,0,0.744691030185987,[[0.19974713]],0.02425374313767839,0.7899159773472627,0.0,1.0,5.633077905861409,0.0,0.0,20,2.2758321950111835,[[-0.02425374]]
2692.7368421052633,19,[[0.15772884]],0.0085001,33.98026541765085,0.0,5.9636867313986945,500.0,9.254101294604018,4.446221186580803,5.3846,0.7450615395553062,148.34697666202888,0,0.7450615395553062,[[0.17549339]],0.017764548746417724,0.7902303699747716,0.0,1.0,5.963686735558156,0.0,0.0,20,1.829155160300779,[[-0.01776455]]
