Primal,TimestepsMean,ITERATIONS,RewardMean,OmegaBefore,TimestepsStd,RewardStd,WeightMax,Traj,WeightMin,WeightMean,ReturnsStd,Epsilon,ReturnsMean,Omega,Wins,LossReg,ConfortViolation,DualBefore,DeltaOmega,NormDeltaVar,DualAfter,WeightMedian,Eta,DualReg,NormDeltaOmega
7.808406578970283,500.0,1,2.7012,[[0.93584102]],0.0,2.7908992385967646,1.0,20,0.0009323747202582074,0.0009323747202582074,70.17145602734227,1.4,1347.578947368421,[[0.98897582]],0.0,0.0,0,7.861107814407403,[[0.05313479]],25.949958244026853,7.8084048949845695,0.0037641974129847397,1.4331214327627235,0.0,0.05313479369269758
7.990775840096807,500.0,2,2.9522,[[0.98897582]],0.0,2.966768470912417,1.0,20,2.4275509935041e-05,2.4275509935041e-05,74.31728043830152,1.4,1471.6842105263158,[[0.99908666]],0.0,0.0,0,7.991142803252469,[[0.01011084]],35.727265973887654,7.990775928399332,0.00020329874104795673,0.9410841303137674,0.0,0.010110840335898374
7.999999999999918,500.0,3,3.0052,[[0.99908666]],0.0,3.0029273983897777,1.0,20,2.085454155562693e-147,2.085454155562693e-147,78.51051061487443,1.4,1503.6842105263158,[[0.99999996]],0.0,0.0,0,8.02215657849093,[[0.0009133]],144.1906342342767,8.000400314525452,9.758891407771209e-111,0.023686507508523365,0.0,0.0009133033535134727
7.999999999999904,500.0,4,2.9794,[[0.99999996]],0.0,3.004059859590018,1.0,20,1.6865457603157796e-118,1.6865457603157796e-118,84.10664645460152,1.4,1492.421052631579,[[0.99999996]],0.0,0.0,0,8.01415296364726,[[0.]],0.0,8.000262379365184,4.680029567904891e-89,0.029500444074931055,0.0,0.0
7.996267580214868,500.0,5,2.9704,[[0.99999996]],0.0,2.981127947606409,1.0,20,1.9185620688469406e-05,1.9185620688469406e-05,84.39269769252974,1.4,1488.6315789473683,[[0.00029803]],0.0,0.0,0,7.999745781665784,[[-0.99970193]],360.1262756174397,7.996269088108402,0.00028988910302185904,0.7365567246746271,0.0,0.9997019289905412
10.000000000000115,500.0,6,9.9728,[[0.00029803]],0.0,0.5146456645110302,1.0,20,0.0,0.0,6.56356095499785,1.4,4987.1578947368425,[[1.23666548e-08]],0.0,0.0,0,11.397196316494835,[[-0.00029802]],144.14649324973107,10.003651871010469,1.0,0.002613714053387322,0.0,0.0002980208380793822
9.999999999999508,500.0,7,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,8,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,9,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,10,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,11,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,12,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,13,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,14,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,15,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,16,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,17,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,18,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
9.999999999999508,500.0,19,9.98,[[1.23666548e-08]],0.0,0.44676615807377346,1.0,20,0.0,0.0,0.0,1.4,4990.0,[[1.23666548e-08]],0.0,0.0,0,11.397998088311146,[[0.]],0.0,10.003653966533465,1.0,0.0026137137109245646,0.0,0.0
