NormDeltaOmega,RewardStd,RewardMean,WeightMax,DeltaOmega,Omega,DualAfter,ReturnsMean,ConfortViolation,Epsilon,NormDeltaVar,Wins,TimestepsMean,LossReg,TimestepsStd,Traj,ReturnsStd,DualReg,Eta,WeightMedian,OmegaBefore,Primal,WeightMin,DualBefore,WeightMean,ITERATIONS
0.0,3.0090122336740337,3.00924,1.0,[[0.]],[[0.99999999]],8.001872186709813,1504.3636363636363,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,79.13847402891558,0.0,0.003113166960998591,0.0,[[0.99999999]],8.000000000000194,0.0,8.606588458855343,0.0,10
0.0,2.9811182610557405,2.96944,1.0,[[0.]],[[0.99999999]],8.00181264739644,1484.5252525252524,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,87.72251285331416,0.0,0.003157412885199296,0.0,[[0.99999999]],7.999999999999408,0.0,8.579519947975944,0.0,11
0.0,2.9942009776232457,2.98584,1.0,[[0.]],[[0.99999999]],8.001839201789567,1493.090909090909,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,74.5969765289074,0.0,0.0031376239734033345,0.0,[[0.99999999]],7.999999999999472,0.0,8.591502964298037,0.0,12
0.0,3.0091143762908055,3.01052,1.0,[[0.]],[[0.99999999]],8.001873207905755,1506.5454545454545,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,84.7588704248852,0.0,0.0031124001628578374,0.0,[[0.99999999]],7.999999999999956,0.0,8.6070634446335,0.0,13
0.0,3.0104579733987324,3.01352,1.0,[[0.]],[[0.99999999]],8.00187678915742,1507.2727272727273,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,79.26860335858434,0.0,0.003109746800172957,0.0,[[0.99999999]],7.999999999999443,0.0,8.608717870199591,0.0,14
0.0,2.991087710917217,2.97916,1.0,[[0.]],[[0.99999999]],8.001830903716002,1489.3939393939395,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,82.51082796182465,0.0,0.0031438266475906683,0.0,[[0.99999999]],7.999999999999585,0.0,8.587732068641543,0.0,15
0.0,3.0146217835078417,3.01468,1.0,[[0.]],[[0.99999999]],8.00188208737393,1507.1515151515152,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,81.6368360653132,0.0,0.003105901653765696,0.0,[[0.99999999]],7.999999999999963,0.0,8.611141355699635,0.0,16
0.0,2.987029751709882,2.98068,1.0,[[0.]],[[0.99999999]],8.00182749456743,1490.5050505050506,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,77.17347292941629,0.0,0.0031462853133706276,0.0,[[0.99999999]],8.000000000000352,0.0,8.586221847803593,0.0,17
0.0,3.0032761926935727,3.00348,1.0,[[0.]],[[0.99999999]],8.001861856240161,1502.121212121212,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,80.20520055776035,0.0,0.0031207691135533232,0.0,[[0.99999999]],8.000000000000313,0.0,8.601856087027267,0.0,18
0.0,3.0059929556803686,3.00252,1.0,[[0.]],[[0.99999999]],8.001864123362674,1500.7474747474748,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,81.21082967966443,0.0,0.00311914984326163,0.0,[[0.99999999]],8.000000000000497,0.0,8.602873957168025,0.0,19
