NormDeltaOmega,RewardStd,RewardMean,WeightMax,DeltaOmega,Omega,DualAfter,ReturnsMean,ConfortViolation,Epsilon,NormDeltaVar,Wins,TimestepsMean,LossReg,TimestepsStd,Traj,ReturnsStd,DualReg,Eta,WeightMedian,OmegaBefore,Primal,WeightMin,DualBefore,WeightMean,ITERATIONS
0.18447707674677905,2.3925578984843816,2.31532,1.0,[[0.18447708]],[[0.98447708]],8.366139770696849,1158.141414141414,0,1.9801,39.478548593781625,0.0,500.0,0.0,0.0,100,48.103636037418276,0.0,1.3749202767804027,0.002972002892226168,[[0.8]],8.366139860811817,0.0006939234031072812,8.45090526100863,0.0006939234031072812,0
0.015520454935425754,2.932393160815923,2.89748,1.0,[[0.01552045]],[[0.99999753]],8.2336037197675,1449.010101010101,0,1.9801,125.17397804235802,0.0,500.0,0.0,0.0,100,73.50688759723283,0.0,0.3604422718348873,2.2953743359914638e-10,[[0.98447708]],8.233601441013658,8.93443105836324e-13,8.53349970394453,8.93443105836324e-13,1
2.4617604942323013e-06,2.9930463956310467,2.99144,1.0,[[2.46176049e-06]],[[0.99999999]],8.001841982628678,1494.3636363636363,0,1.9801,84.72450769977536,0.0,500.0,0.0,0.0,100,84.56059384383073,0.0,0.0031354732627083947,0.0,[[0.99999753]],8.00000000000057,0.0,8.592797707435418,0.0,2
0.0,2.9924414380234743,2.9868,1.0,[[0.]],[[0.99999999]],8.001837951859613,1493.7575757575758,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,83.19201240177078,0.0,0.003138513803275343,0.0,[[0.99999999]],7.999999999999798,0.0,8.590950645745837,0.0,3
0.0,2.9988421208193,2.99188,1.0,[[0.]],[[0.99999999]],8.00184867805604,1495.3737373737374,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,82.84421132872534,0.0,0.0031305921560701856,0.0,[[0.99999999]],8.00000000000059,0.0,8.595811007019737,0.0,4
0.0,2.9887749206656564,2.98144,1.0,[[0.]],[[0.99999999]],8.001829990604651,1491.010101010101,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,83.76222901213116,0.0,0.003144443728757325,0.0,[[0.99999999]],7.999999999999714,0.0,8.587342974230868,0.0,5
0.0,2.9952014719547666,2.98868,1.0,[[0.]],[[0.99999999]],8.001842361513486,1494.8686868686868,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,84.32891909212037,0.0,0.0031352589411808534,0.0,[[0.99999999]],7.999999999999582,0.0,8.592944588292374,0.0,6
0.0,3.000613174402859,3.00076,1.0,[[0.]],[[0.99999999]],8.001857004089153,1501.1313131313132,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,68.51272040921778,0.0,0.003124347131450858,0.0,[[0.99999999]],8.000000000000277,0.0,8.59963982283704,0.0,7
0.0,2.997730067901378,2.9962,1.0,[[0.]],[[0.99999999]],8.001850570212312,1497.4949494949494,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,85.68127145136621,0.0,0.003129120043779961,0.0,[[0.99999999]],8.000000000000153,0.0,8.596699506274305,0.0,8
0.0,3.0060285494319574,3.0106,1.0,[[0.]],[[0.99999999]],8.001869931103668,1504.7070707070707,0,1.9801,0.0,0.0,500.0,0.0,0.0,100,85.1016329443982,0.0,0.0031147649210324408,0.0,[[0.99999999]],7.999999999999734,0.0,8.605576059065223,0.0,9
