TimestepsMean,ReturnsStd,TimestepsStd,NormDeltaVar,Wins,RewardMean,OmegaBefore,ITERATIONS,ConfortViolation,Omega,ReturnsMean,RewardStd,NormDeltaOmega,DeltaOmega,Traj
23.888,92.053770959095,13.661458780086408,0.31622776864970786,0.0,6.433162276764261,8.0,0,0,7.899999998510717,153.6753804673447,1.35111247371613,0.10000000148928301,-0.10000000148928301,250
24.852,85.03182438766311,12.467160703223488,0.2829621847569212,0.0,6.515785271265518,7.899999998510717,1,0,7.799886827021225,161.93029556149065,1.340903058343884,0.10011317148949228,-0.10011317148949228,250
33.112,138.02541951639085,19.976272324935902,0.2708765885495553,0.0,6.659810848735881,7.799886827021225,2,0,7.702744263791286,220.5196568233425,1.182838695799216,0.09714256322993897,-0.09714256322993897,250
34.436,114.25755361716897,16.359642538882078,0.24936755870595606,0.0,6.7374541173568705,7.702744263791286,3,0,7.604384450967284,232.01096998530116,1.173070902502455,0.0983598128240013,-0.0983598128240013,250
40.232,151.70445728347798,21.469284478063074,0.2539626814603158,0.0,6.844680342428458,7.604384450967284,4,0,7.506791529112407,275.37517953658175,1.1009173965471415,0.09759292185487745,-0.09759292185487745,250
44.192,152.3277088852172,21.30359443849793,0.2592643092605139,0.0,6.932020766901149,7.506791529112407,5,0,7.4084988286404725,306.33986173089556,1.0628623112879776,0.0982927004719345,-0.0982927004719345,250
50.108,171.61937180502863,23.736392649263284,0.2465050025212073,0.0,7.029333422660183,7.4084988286404725,6,0,7.310337955382446,352.2258391426564,1.0115031883840224,0.0981608732580268,-0.0981608732580268,250
50.26,156.59144746145955,21.44202415818059,0.23594016273792928,0.0,7.098657804418268,7.310337955382446,7,0,7.210877813312875,356.7785412500622,1.0193870471245403,0.09946014206957088,-0.09946014206957088,250
50.336,157.77358914341931,21.378472910851233,0.20645245250903382,0.0,7.167627905040477,7.210877813312875,8,0,7.1101978873475,360.78971822811747,1.0287541658490293,0.100679925965375,-0.100679925965375,250
55.312,167.01775111463078,22.408718303374695,0.19903402491459316,0.0,7.253463041897754,7.1101978873475,9,0,7.008421529249945,401.2035477734486,0.9926055004572466,0.10177635809755436,-0.10177635809755436,250
56.62,176.44382799658564,23.438677437091027,0.2026780151996319,0.0,7.324968009628619,7.008421529249945,10,0,6.905559288134359,414.7396887051724,0.9905435003003455,0.10286224111558617,-0.10286224111558617,250
59.424,180.55358296231853,23.7322612491941,0.2085903732615588,0.0,7.405432811383295,6.905559288134359,11,0,6.801639035836608,440.0604393836409,0.9769519461450843,0.10392025229775115,-0.10392025229775115,250
62.248,185.35336506644848,24.132353718607725,0.22055527386176657,0.0,7.477223684838384,6.801639035836608,12,0,6.696678731833578,465.44221993381973,0.9639003045010098,0.10496030400303002,-0.10496030400303002,250
65.876,179.04639573815052,23.117885370422616,0.23438150071170227,0.0,7.558880563832205,6.696678731833578,13,0,6.590664287434712,497.9488160230103,0.9466680104989542,0.1060144443988662,-0.1060144443988662,250
69.972,211.8840407856302,27.10518799049363,0.24993106449963923,0.0,7.633390709394162,6.590664287434712,14,0,6.4835821731229535,534.1236147177283,0.9275876319984754,0.1070821143117584,-0.1070821143117584,250
74.896,231.75719497854033,29.34793321513459,0.25823742569485436,0.4,7.712959190156434,6.4835821731229535,15,0,6.375461893790698,577.6697915059564,0.9037866309789957,0.10812027933225554,-0.10812027933225554,250
81.292,256.3654173421147,32.17400714862853,0.2672062214112896,0.4,7.7864553325177095,6.375461893790698,16,0,6.266261731558754,632.9765268910297,0.8761736377790713,0.10920016223194384,-0.10920016223194384,250
90.412,290.4013472872423,36.113519019890596,0.2748899285668989,1.6,7.86786402382133,6.266261731558754,17,0,6.155993196646496,711.3493221217341,0.8344143886545052,0.11026853491225808,-0.11026853491225808,250
101.352,321.282552422178,39.627315023856966,0.28199760599845974,2.4,7.944563912122854,6.155993196646496,18,0,6.044660988706277,805.1974416214756,0.792896942053183,0.11133220794021881,-0.11133220794021881,250
120.2,348.41400595098736,42.56731140206062,0.2776359838983817,6.0,8.024665706245315,6.044660988706277,19,0,5.932311167410307,964.5648178906869,0.7224613744776414,0.11234982129596993,-0.11234982129596993,250
142.036,389.9786927743494,46.977725615444605,0.28522452957279515,22.0,8.121371649437464,5.932311167410307,20,0,5.819038406892105,1153.5271435994996,0.6141876536120938,0.11327276051820245,-0.11327276051820245,250
162.124,340.1247377188169,40.574728883875494,0.3007123882449956,34.0,8.212090743129464,5.819038406892105,21,0,5.704495989208616,1331.3769996391213,0.5345269320831643,0.11454241768348883,-0.11454241768348883,250
162.744,326.38828956329814,38.638303068328455,0.2748415545864498,36.0,8.277790401685106,5.704495989208616,22,0,5.588700579357747,1347.160721131841,0.5300446257855856,0.11579540985086911,-0.11579540985086911,250
164.808,326.3432421840043,38.33790729812988,0.2545174281021425,39.2,8.341548577080772,5.588700579357747,23,0,5.4716824039817995,1374.7539378915278,0.5187850796268123,0.11701817537594739,-0.11701817537594739,250
169.064,297.7843657590566,34.69460914897299,0.24923672161922505,39.2,8.408049524197487,5.4716824039817995,24,0,5.353846340783445,1421.498484758924,0.5156565020436507,0.1178360631983546,-0.1178360631983546,250
173.516,304.1717880072982,35.141225704292104,0.24939263768312553,48.8,8.480020902751479,5.353846340783445,25,0,5.2354879005607655,1471.4193069618254,0.47213063362500896,0.11835844022267938,-0.11835844022267938,250
179.172,289.57362190394184,33.1723742894596,0.24945355369042246,58.4,8.551425671056688,5.2354879005607655,26,0,5.115873402720665,1532.1760403345688,0.42380219364238153,0.11961449784010014,-0.11961449784010014,250
181.928,280.2478354111459,31.798283224098746,0.24975094263771955,64.8,8.621653143999358,5.115873402720665,27,0,4.99503243066869,1568.5201131815152,0.39104899044584424,0.12084097205197519,-0.12084097205197519,250
190.78,211.6603753114679,23.769299526910757,0.23459561214645144,75.2,8.686845418345436,4.99503243066869,28,0,4.873988784391684,1657.2763689119424,0.32675016980433347,0.12104364627700637,-0.12104364627700637,250
191.18,216.81294467876546,24.201892487985315,0.2198556101614305,76.8,8.751267055746833,4.873988784391684,29,0,4.752508892989805,1673.0672357176793,0.3184394097827933,0.12147989140187843,-0.12147989140187843,250
195.436,164.0957874398492,18.097676756976295,0.19924997501107797,87.6,8.821147518143988,4.752508892989805,30,0,4.63195361220009,1723.969786355989,0.23649760591889474,0.12055528078971545,-0.12055528078971545,250
196.352,153.56037520104476,16.833659613999565,0.18502831853218352,89.2,8.88103233486864,4.63195361220009,31,0,4.512035770021433,1743.8084610161275,0.22231304808047334,0.11991784217865664,-0.11991784217865664,250
