DualReg,TimestepsStd,Epsilon,TimestepsMean,ReturnsMean,WeightMean,Primal,WeightMin,DualBefore,DualAfter,ITERATIONS,Eta,ConfortViolation,OmegaBefore,ReturnsStd,DeltaOmega,NormDeltaOmega,Traj,WeightMedian,RewardMean,NormDeltaVar,LossReg,WeightMax,Omega,Wins,RewardStd
0.0001,12.096807585744182,0.001,22.927064220183485,147.17062855435455,0.5967126887964641,6.530462571569556,0.5967126887964641,6.677667459076698,6.511570107077978,0,13.745499354031493,0,8.0,81.5805491324942,-0.03453732858772707,0.03453732858772707,2181,0.9735837862772818,6.419106293702033,0.1477017900082215,0.0,1.0,7.965462671412273,0.0,1.377381546504818
0.0001,12.393445670165464,0.001,23.283185840707965,150.113593592003,0.5940572282287288,6.557986008588041,0.5940572282287288,6.703194480934089,6.539220980568801,1,13.69906264518174,0,7.965462671412273,83.75331615667343,-0.033681965049768614,0.033681965049768614,2148,0.9726755414435662,6.447208639387926,0.04622916842265262,0.0,1.0,7.931780706362504,0.0,1.3726403838217038
0.0001,12.90938413640426,0.001,23.761406844106464,154.01473332872334,0.5911145102803675,6.59168508362334,0.5911145102803675,6.73386308415593,6.57311886047801,2,13.626443787356473,0,7.931780706362504,87.64603194342602,-0.034294133972008645,0.034294133972008645,2105,0.9725679882951663,6.481821780164467,0.024623911749176785,0.0,1.0,7.897486572390496,0.0,1.3649831156283985
0.0001,13.041337803488629,0.001,23.706495969653865,154.2221251127237,0.5897962153391307,6.616080742638271,0.5897962153391307,6.759196628930301,6.597381598058715,3,13.675124937005409,0,7.897486572390496,88.92432009927232,-0.032534173951258794,0.032534173951258794,2110,0.9704941653666154,6.505534472034424,0.07803515357285756,0.0,1.0,7.864952398439237,0.0,1.3716946637915493
0.0001,13.124317873136937,0.001,24.0,156.81965158155552,0.5900309402675635,6.644428350926443,0.5900309402675635,6.786003048412371,6.625815192098311,4,13.643651907334597,0,7.864952398439237,89.79448038144743,-0.033013506557946215,0.033013506557946215,2084,0.9738424212199643,6.534258566797517,0.18083602478635225,0.0,1.0,7.831938891881291,0.0,1.3688099015337027
0.0001,14.026858999889878,0.001,24.57472959685349,161.32001017691377,0.5871390213010087,6.6734369584519415,0.5871390213010087,6.8117082954928625,6.655070816825518,5,13.552830514873923,0,7.831938891881291,96.25937753292068,-0.03281792296998276,0.03281792296998276,2035,0.9740446238487495,6.564427026850182,0.09989298242575854,0.0,1.0,7.799120968911308,0.0,1.3587733566440154
0.0001,13.841247107688215,0.001,24.885956175298805,164.05652576944564,0.5844164921336548,6.701138221386171,0.5844164921336548,6.837654023270084,6.6828794783543675,6,13.513150251546586,0,7.799120968911308,95.2894224583608,-0.03271004525927612,0.03271004525927612,2009,0.972839413936766,6.592610483817877,0.021874786258185272,0.0,1.0,7.766410923652032,0.0,1.3549008808101723
0.0001,14.220047546531882,0.001,25.1453722334004,166.466694715563,0.5831333874614345,6.728618745580456,0.5831333874614345,6.864083927588404,6.710406488632458,7,13.495937301575514,0,7.766410923652032,98.39176480310846,-0.03311022068387803,0.03311022068387803,1989,0.9732200289346657,6.620277388528622,0.030986448528436357,0.0,1.0,7.733300702968154,0.0,1.3537244209966657
0.0001,14.243101556938509,0.001,25.645972293483837,170.53051732671526,0.5777196234114752,6.756845464294856,0.5777196234114752,6.889586612432345,6.738826654689585,8,13.424077745739204,0,7.733300702968154,98.8181527369681,-0.030657156408511632,0.030657156408511632,1950,0.9685579343897329,6.6494048736659295,0.010439675351400715,0.0,1.0,7.702643546559642,0.0,1.3460254998413321
0.0001,14.639540818423749,0.001,25.783393501805055,172.08299558629116,0.5793957762835648,6.781648525493875,0.5793957762835648,6.913996936536896,6.763617971344791,9,13.428447587918932,0,7.702643546559642,101.91332912175386,-0.030477605962893506,0.030477605962893506,1940,0.9730748975593166,6.674113637028094,0.08257868757747634,0.0,1.0,7.672165940596749,0.0,1.3473792030213356
