RewardMean,WeightMedian,LossReg,RewardStd,ITERATIONS,Primal,Epsilon,OmegaBefore,ReturnsMean,WeightMean,TimestepsStd,DualBefore,NormDeltaVar,Traj,NormDeltaOmega,DeltaOmega,Wins,DualReg,ReturnsStd,WeightMax,ConfortViolation,Eta,Omega,DualAfter,TimestepsMean,WeightMin
2.32192,0.004417779361433999,0.0,2.3950715049033504,0,8.176935085420622,1.8501,[[0.8]],1160.080808080808,0.0011389509664749132,0.0,8.311544516792134,34.51508084091111,100,0.17816896884970013,[[0.17816897]],0.0,0.0,64.02141005008833,1.0,0,1.475438164342002,[[0.97816897]],8.176935091824646,500.0,0.0011389509664749132
2.85556,4.4421351344678644e-08,0.0,2.900444291207814,1,8.227407803631577,1.8501,[[0.97816897]],1428.1010101010102,6.448960362748119e-10,0.0,8.38018849215328,133.05493362937466,100,0.021829018780220144,[[0.02182902]],0.0,0.0,81.53694024944966,1.0,0,0.4725466465820952,[[0.99999799]],8.227399063292756,500.0,6.448960362748119e-10
3.01,0.0,0.0,3.008345059995612,2,7.9999999999997184,1.8501,[[0.99999799]],1504.909090909091,0.0,0.0,8.476513392213988,74.82573147654267,100,2.0016805016842554e-06,[[2.0016805e-06]],0.0,0.0,85.75241445010185,1.0,0,0.004429777252059201,[[0.99999999]],8.002087742965,500.0,0.0
3.02416,0.0,0.0,3.0136848366078364,3,7.999999999999835,1.8501,[[0.99999999]],1511.090909090909,0.0,0.0,8.48382712238684,0.0,100,0.0,[[0.]],0.0,0.0,77.02093260127089,1.0,0,0.004410972043376882,[[0.99999999]],8.002111333125299,500.0,0.0
2.99432,0.0,0.0,2.9943359426757716,4,8.000000000000147,1.8501,[[0.99999999]],1497.050505050505,0.0,0.0,8.464396132406558,0.0,100,0.0,[[0.]],0.0,0.0,87.21335428941826,1.0,0,0.00446155673776288,[[0.99999999]],8.002048186770242,500.0,0.0
2.98492,0.0,0.0,2.9912827672421747,5,8.000000000000291,1.8501,[[0.99999999]],1493.090909090909,0.0,0.0,8.459749132430858,0.0,100,0.0,[[0.]],0.0,0.0,78.65191064855641,1.0,0,0.004473921751815579,[[0.99999999]],8.002032957017995,500.0,0.0
2.9658,0.0,0.0,2.981749546826494,6,8.000000000000322,1.8501,[[0.99999999]],1482.7878787878788,0.0,0.0,8.448619005350832,0.0,100,0.0,[[0.]],0.0,0.0,80.58363780172155,1.0,0,0.004504032744221974,[[0.99999999]],8.001996163373198,500.0,0.0
2.99844,0.0,0.0,3.0007195081180114,7,8.000000000000322,1.8501,[[0.99999999]],1498.7272727272727,0.0,0.0,8.468920242265712,0.0,100,0.0,[[0.]],0.0,0.0,87.14156810938155,1.0,0,0.004449591400963802,[[0.99999999]],8.002063033590895,500.0,0.0
2.9766,0.0,0.0,2.987643291961074,8,8.000000000000583,1.8501,[[0.99999999]],1487.7777777777778,0.0,0.0,8.45516508561602,0.0,100,0.0,[[0.]],0.0,0.0,78.20041018202836,1.0,0,0.004486237402090321,[[0.99999999]],8.00201785506272,500.0,0.0
2.97556,0.0,0.0,2.9908999793373234,9,7.999999999999535,1.8501,[[0.99999999]],1487.979797979798,0.0,0.0,8.456439382463573,0.0,100,0.0,[[0.]],0.0,0.0,73.70950075105168,1.0,0,0.004482772604915052,[[0.99999999]],8.002022111814323,500.0,0.0
2.99484,0.0,0.0,3.001035383730088,10,8.000000000000384,1.8501,[[0.99999999]],1497.2121212121212,0.0,0.0,8.467878870575005,0.0,100,0.0,[[0.]],0.0,0.0,64.83222679234451,1.0,0,0.0044523182622122435,[[0.99999999]],8.002059664325952,500.0,0.0
2.98132,0.0,0.0,2.9938288290415005,11,7.9999999999998135,1.8501,[[0.99999999]],1490.7474747474748,0.0,0.0,8.459813245558,0.0,100,0.0,[[0.]],0.0,0.0,70.88792455107185,1.0,0,0.004473719703409712,[[0.99999999]],8.002033226471447,500.0,0.0
2.99872,0.0,0.0,3.004210106101103,12,7.99999999999958,1.8501,[[0.99999999]],1500.4242424242425,0.0,0.0,8.470734095275088,0.0,100,0.0,[[0.]],0.0,0.0,75.91876185900199,1.0,0,0.004444816692334743,[[0.99999999]],8.002068992072228,500.0,0.0
2.98972,0.0,0.0,2.99370912441406,13,7.999999999999955,1.8501,[[0.99999999]],1494.141414141414,0.0,0.0,8.462552195148172,0.0,100,0.0,[[0.]],0.0,0.0,73.67592292060021,1.0,0,0.0044664433578972,[[0.99999999]],8.002042165220763,500.0,0.0
3.019,0.0,0.0,3.013004978422704,14,7.999999999999984,1.8501,[[0.99999999]],1510.3636363636363,0.0,0.0,8.481782746956716,0.0,100,0.0,[[0.]],0.0,0.0,77.47863238122979,1.0,0,0.004416198521514424,[[0.99999999]],8.002104775217665,500.0,0.0
2.97812,0.0,0.0,2.9928984723174286,15,8.000000000000398,1.8501,[[0.99999999]],1487.8989898989898,0.0,0.0,8.458285822419862,0.0,100,0.0,[[0.]],0.0,0.0,66.64931515852889,1.0,0,0.004477805540806854,[[0.99999999]],8.002028208118563,500.0,0.0
2.9714,0.0,0.0,2.9835251029612606,16,8.000000000000343,1.8501,[[0.99999999]],1484.888888888889,0.0,0.0,8.451376592535714,0.0,100,0.0,[[0.]],0.0,0.0,77.12784727994266,1.0,0,0.004496517787212857,[[0.99999999]],8.002005300709712,500.0,0.0
