Traj,LossReg,RewardStd,ReturnsMean,TimestepsMean,DeltaOmega,DualAfter,DualBefore,WeightMin,WeightMean,Eta,Primal,Epsilon,RewardMean,DualReg,ReturnsStd,Wins,WeightMax,TimestepsStd,Omega,ConfortViolation,NormDeltaVar,OmegaBefore,WeightMedian,NormDeltaOmega,ITERATIONS
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,10
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,11
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,12
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,13
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,14
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,15
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,16
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,17
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,18
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,19
