Traj,LossReg,RewardStd,ReturnsMean,TimestepsMean,DeltaOmega,DualAfter,DualBefore,WeightMin,WeightMean,Eta,Primal,Epsilon,RewardMean,DualReg,ReturnsStd,Wins,WeightMax,TimestepsStd,Omega,ConfortViolation,NormDeltaVar,OmegaBefore,WeightMedian,NormDeltaOmega,ITERATIONS
100,0.0,2.4310177750070032,1174.5858585858587,500.0,[[-0.49828334]],4.349511908618276,6.752537430606038,0.10458915040139888,0.10458915040139888,4.429256116973612,4.349511909684342,0.2501,2.35076,0.0,60.76432534278515,0.0,1.0,0.0,[[0.30171666]],0,31.791870793903513,[[0.8]],0.16428174531790377,0.49828334166108457,0
100,0.0,3.9266198830037014,1851.1313131313132,500.0,[[-0.14590289]],6.640175386700431,8.903526891125765,0.1885055107782843,0.1885055107782843,5.992947364256914,6.640174995712179,0.2501,3.69712,0.0,104.01249404988666,0.0,1.0,0.0,[[0.15581377]],0,12.151071635049291,[[0.30171666]],0.2631838530258996,0.1459028882159757,1
100,0.0,4.456199416543205,2874.5454545454545,500.0,[[-0.1048334]],8.706118232192704,9.58311295023018,0.1467020233279667,0.1467020233279667,5.210092277731243,8.706118248367256,0.2501,5.7474,0.0,129.63501777249152,0.0,1.0,0.0,[[0.05098037]],0,17.632531714740754,[[0.15581377]],1.0,0.10483340023326118,2
100,0.0,3.528612416460612,4154.686868686868,500.0,[[-0.05098037]],10.000532727908999,10.04021215771085,0.0,0.0,0.013319508966176759,9.99999999999786,0.2501,8.31012,0.0,109.11032748985016,0.0,1.0,0.0,[[1.94803321e-09]],0,244.74938217222635,[[0.05098037]],1.0,0.050980367941645385,3
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,4
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,5
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,6
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,7
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,8
100,0.0,0.4467661580737735,4990.0,500.0,[[0.]],10.001237944888244,10.248098088311146,0.0,0.0,0.004989741560067447,9.999999999997792,0.2501,9.98,0.0,0.0,0.0,1.0,0.0,[[1.94803321e-09]],0,0.0,[[1.94803321e-09]],1.0,0.0,9
