ITERATIONS,WeightMedian,DualAfter,WeightMax,NormDeltaVar,DualBefore,OmegaBefore,TimestepsMean,WeightMean,Eta,Epsilon,DeltaOmega,WeightMin,RewardStd,LossReg,ReturnsStd,NormDeltaOmega,RewardMean,ReturnsMean,DualReg,Traj,TimestepsStd,Primal,Wins,ConfortViolation,Omega
0,0.9729520777093844,6.5122647863593235,1.0,0.015778705175328665,6.676863155614755,8.0,23.100277264325324,0.5954944267561171,13.703415067905972,0.001,-0.03357499560263566,0.5954944267561171,1.3723222709263265,0.0,83.11859821626372,0.03357499560263566,6.420244291408815,148.3097740372558,0.0001,2165,12.33937912487698,6.531041738220997,0.0,0,7.966425004397364
1,0.9669601071855628,6.538304322600123,1.0,0.12712869278189917,6.703849184173794,7.966425004397364,23.054914628518688,0.5915980397264827,13.749131013898625,0.001,-0.03454574593376236,0.5915980397264827,1.3787427727170734,0.0,80.81615437929402,0.03454574593376236,6.4457605495914505,148.60277558955102,0.0001,2168,11.94975763365495,6.557206788213287,0.0,0,7.931879258463602
2,0.9730219125072779,6.566158125066292,1.0,0.07065835835960874,6.731349400215691,7.931879258463602,23.20427112349118,0.594250280766933,13.754827217403099,0.001,-0.03368225314106876,0.594250280766933,1.3803303788504737,0.0,80.25105277321411,0.03368225314106876,6.473513736772099,150.21251317625308,0.0001,2155,11.814335136580283,6.585076262956635,0.0,0,7.898197005322533
3,0.9737126347566187,6.5921921134902055,1.0,0.28235346797057187,6.7570780467420715,7.898197005322533,23.32944470368642,0.5937192593356488,13.761815343575229,0.001,-0.03339638861818717,0.5937192593356488,1.3820294951554868,0.0,82.89390890836269,0.03339638861818717,6.499435374921987,151.62842617898087,0.0001,2144,12.163864311090736,6.611129485999069,0.0,0,7.864800616704346
4,0.9713970046776053,6.620129650535132,1.0,0.07810054040807622,6.783561670872169,7.864800616704346,23.591788579518642,0.5906658019294173,13.736853673765482,0.001,-0.03170089052858316,0.5906658019294173,1.3799210013818293,0.0,90.64452317611128,0.03170089052858316,6.527596308642365,153.99806491458455,0.0001,2120,13.25959449647999,6.638998023445553,0.0,0,7.833099726175763
5,0.9741656483772139,6.647565186117537,1.0,0.45546551835564886,6.808043316968095,7.833099726175763,24.06355320173327,0.5897238792016304,13.66294300594653,0.001,-0.03170688624333362,0.5897238792016304,1.3718227458133407,0.0,88.51749208024788,0.03170688624333362,6.555774810175301,157.75655236763916,0.0001,2078,12.912460549677471,6.666231028424183,0.0,0,7.801392839932429
6,0.9747818763269499,6.671802084188203,1.0,0.06493158924573413,6.832596836482352,7.801392839932429,24.08867469879518,0.5896099101766268,13.690258945928028,0.001,-0.030957837440266367,0.5896099101766268,1.3759677427064112,0.0,89.27198093434863,0.030957837440266367,6.579685582016669,158.49667082270756,0.0001,2076,12.966531223828385,6.690542655486353,0.0,0,7.770435002492163
7,0.9735430898323774,6.703124218497119,1.0,0.11478480511424113,6.861681701559691,7.770435002492163,24.46793930494371,0.5866225096204842,13.644195955089877,0.001,-0.03258371641741853,0.5866225096204842,1.3714442486693403,0.0,90.64905528361312,0.03258371641741853,6.611446548224314,161.77019903096584,0.0001,2044,13.09890554560361,6.721738879047637,0.0,0,7.737851286074744
8,0.9673331165473799,6.729089280364591,1.0,0.08175365261454842,6.884264092001771,7.737851286074744,24.998,0.5799493723437963,13.552948539005767,0.001,-0.030899231392854887,0.5799493723437963,1.361209607686874,0.0,95.9600603104487,0.030899231392854887,6.63833582294651,165.93764147538033,0.0001,2001,13.849187557398448,6.747455760605666,0.0,0,7.7069520546818895
9,0.9689111702103161,6.752086329062294,1.0,0.020613500121115104,6.9086609548543025,7.7069520546818895,24.886012941762072,0.5811939377624958,13.613836393715538,0.001,-0.03167287134761754,0.5811939377624958,1.3693815766970796,0.0,96.9376868499818,0.03167287134761754,6.660656272789299,165.75742235844055,0.0001,2010,13.927296412002109,6.7706182438231135,0.0,0,7.675279183334272
10,0.9749796700602797,6.779578059527635,1.0,0.06192780518763061,6.932490338407473,7.675279183334272,25.48954614992351,0.5816554473620738,13.514684239060756,0.001,-0.03123074436667217,0.5816554473620738,1.358262604888839,0.0,96.82518198897864,0.03123074436667217,6.689150848204933,170.50254877463342,0.0001,1962,13.8696127533405,6.797840977311782,0.0,0,7.6440484389676
11,0.9748784029883497,6.803166242256174,1.0,0.011776159477124236,6.955323732029446,7.6440484389676,25.695629820051415,0.5803121365865798,13.502527770797776,0.001,-0.030651924599446545,0.5803121365865798,1.357530618640983,0.0,101.23141130697498,0.030651924599446545,6.71283355122429,172.4897548307701,0.0001,1946,14.461469289531651,6.821396317442169,0.0,0,7.613396514368153
12,0.9714675822443892,6.830467130282455,1.0,0.4658641927957784,6.980458210772627,7.613396514368153,26.102349869451697,0.5760718055914554,13.450854919781403,0.001,-0.03046162019155485,0.5760718055914554,1.3521904176893376,0.0,103.67637167119642,0.03046162019155485,6.740634861044629,175.94704122947823,0.0001,1916,14.759622067122024,6.848557929110877,0.0,0,7.582934894176598
13,0.9721419522313358,6.863447410726789,1.0,0.08631402062532889,7.006151397330015,7.582934894176598,27.311475409836067,0.5706294860462889,13.238118773636709,0.001,-0.02956068556546665,0.5706294860462889,1.3277306859103,0.0,111.38057804997196,0.02956068556546665,6.775774159082977,185.05656686663707,0.0001,1831,15.797047158126167,6.8809704094081034,0.0,0,7.553374208611132
14,0.9735793762412226,6.889204608260479,1.0,0.11256701218083073,7.028923975695413,7.553374208611132,27.90563930764936,0.5685352581360053,13.152468772498965,0.001,-0.02899156900506661,0.5685352581360053,1.3182894591222536,0.0,119.01400654185642,0.02899156900506661,6.80237728220578,189.82633809141035,0.0001,1792,16.834184150894817,6.906501555857062,0.0,0,7.524382639606065
15,0.9728019847988871,6.915454680146207,1.0,0.5642109258555313,7.0523535148790835,7.524382639606065,28.42410460488914,0.5653663210858029,13.077898771321316,0.001,-0.028942872531754205,0.5653663210858029,1.3103036624543483,0.0,125.30324951353643,0.028942872531754205,6.829350743249082,194.11101358807866,0.0001,1760,17.669082757265258,6.932556020446525,0.0,0,7.495439767074311
16,0.9697460370777872,6.933103569124231,1.0,0.06858822950351029,7.070246093722035,7.495439767074311,28.516257843696522,0.5630749651944839,13.090188522044464,0.001,-0.027593299193341636,0.5630749651944839,1.3122590112570005,0.0,120.3340588551334,0.027593299193341636,6.846852441276157,195.24820824337232,0.0001,1754,16.943343505156967,6.950237069264621,0.0,0,7.467846467880969
17,0.9730738087191904,6.961674154695238,1.0,0.14715344978687012,7.093386081888257,7.467846467880969,29.599171107164004,0.5600206992254453,12.919793403972472,0.001,-0.028013297282923233,0.5600206992254453,1.2928765085934617,0.0,125.53832385106347,0.028013297282923233,6.877119058679506,203.55550558329983,0.0001,1690,17.623817897272673,6.978364406129698,0.0,0,7.439833170598046
18,0.9728338865903785,6.98653756350061,1.0,0.12349393188100086,7.114040815235518,7.439833170598046,30.48229548229548,0.5558004828930682,12.7852993522299,0.001,-0.02640946532698507,0.5558004828930682,1.2777224540963688,0.0,139.65256039241723,0.02640946532698507,6.903306108436699,210.41967309347257,0.0001,1639,19.558605876683288,7.002882117697582,0.0,0,7.413423705271061
19,0.9729094147274676,7.009651212017676,1.0,0.06217042807488455,7.135681806140179,7.413423705271061,30.910327767470626,0.5538555466657595,12.744319158899449,0.001,-0.027190873579448827,0.5538555466657595,1.273606189330603,0.0,136.19715000678693,0.027190873579448827,6.926799210677316,214.10927806365822,0.0001,1618,18.998811887571332,7.0258917844641715,0.0,0,7.386232831691612
20,0.9711050435836635,7.0338480072006435,1.0,0.043958927234307506,7.157061508030152,7.386232831691612,31.55176767676768,0.5498987198041297,12.660877416078328,0.001,-0.026503312109724675,0.5498987198041297,1.2645939876375984,0.0,143.5579772943657,0.026503312109724675,6.951794971310006,219.34403184494457,0.0001,1585,19.974759247017946,7.049876094964234,0.0,0,7.3597295195818875
21,0.9742205368852925,7.056704890401999,1.0,0.04349202765892013,7.177039414309429,7.3597295195818875,32.271788250484185,0.5484647237752002,12.566259938498494,0.001,-0.02670268255376751,0.5484647237752002,1.2541692502814215,0.0,146.56248114028466,0.02670268255376751,6.975563073134178,225.11606090721105,0.0001,1550,20.325666435331918,7.072494726955152,0.06451612903225806,0,7.33302683702812
