Eta,NormDeltaVar,ReturnsStd,DeltaOmega,TimestepsStd,Primal,ConfortViolation,Wins,Traj,DualReg,ITERATIONS,OmegaBefore,WeightMin,NormDeltaOmega,WeightMedian,ReturnsMean,Omega,LossReg,TimestepsMean,RewardMean,WeightMean,WeightMax,RewardStd,DualAfter,DualBefore,Epsilon
1.5426659774927987,31.748827529784055,62.447820070912165,[[0.17362764]],0.0,8.0621668461775,0,0.0,100,0.0,0,[[0.8]],0.0015303104447591058,0.17362763613430376,0.005595303312875256,1162.6868686868686,[[0.97362764]],0.0,500.0,2.3232,0.0015303104447591058,1.0,2.3999045314345318,8.062166840921297,8.236228048261989,1.7701
0.4993779710418049,127.90304155641536,75.08399269202229,[[0.02636886]],0.0,8.19267858876518,0,0.0,100,0.0,1,[[0.97362764]],2.01044016661174e-09,0.026368860998409183,1.1031458155365019e-07,1428.989898989899,[[0.9999965]],0.0,500.0,2.85732,2.01044016661174e-09,1.0,2.9070332673707058,8.192674518632199,8.304707283300923,1.7701
0.004678415837465049,84.72456706062093,83.23440715249397,[[3.49356164e-06]],0.0,8.000000000000384,0,0.0,100,0.0,2,[[0.9999965]],0.0,3.4935616446407636e-06,0.0,1496.5252525252524,[[0.99999999]],0.0,500.0,2.99604,0.0,1.0,3.0002373770086925,8.001789984909284,8.387883993547138,1.7701
0.004674718585818802,0.0,75.99626774354029,[[0.]],0.0,8.0,0,0.0,100,0.0,3,[[0.99999999]],0.0,0.0,0.0,1500.040404040404,[[0.99999999]],0.0,500.0,2.99796,0.0,1.0,3.0013589985871403,8.001794183353415,8.389075948726525,1.7701
0.004743613865019273,0.0,81.53525843163507,[[0.]],0.0,7.999999999999933,0,0.0,100,0.0,4,[[0.99999999]],0.0,0.0,0.0,1483.959595959596,[[0.99999999]],0.0,500.0,2.96712,0.0,1.0,2.978623659611936,8.00171742875393,8.367497112632936,1.7701
0.004683655590609304,0.0,87.1450712462034,[[0.]],0.0,7.9999999999995905,0,0.0,100,0.0,5,[[0.99999999]],0.0,0.0,0.0,1499.7171717171718,[[0.99999999]],0.0,500.0,2.99568,0.0,1.0,2.997115502879393,8.001784105036716,8.386222820927657,1.7701
0.004755853463876211,0.0,74.03376987379714,[[0.]],0.0,7.999999999999733,0,0.0,100,0.0,6,[[0.99999999]],0.0,0.0,0.0,1478.3636363636363,[[0.99999999]],0.0,500.0,2.95696,0.0,1.0,2.9779032150827196,8.001703939932566,8.363738605890502,1.7701
0.004665188684086586,0.0,79.78156588636296,[[0.]],0.0,7.999999999999757,0,0.0,100,0.0,7,[[0.99999999]],0.0,0.0,0.0,1501.1515151515152,[[0.99999999]],0.0,500.0,3.00368,0.0,1.0,3.003782025647001,8.001805058452799,8.39217149402047,1.7701
0.004609797400469552,0.0,83.91724658896986,[[0.]],0.0,8.000000000000302,0,0.0,100,0.0,8,[[0.99999999]],0.0,0.0,0.0,1516.3434343434344,[[0.99999999]],0.0,500.0,3.03364,0.0,1.0,3.0211501701173344,8.001869221445318,8.410605191808068,1.7701
0.004693189873830476,0.0,84.90561328336173,[[0.]],0.0,7.999999999999589,0,0.0,100,0.0,9,[[0.99999999]],0.0,0.0,0.0,1496.8080808080808,[[0.99999999]],0.0,500.0,2.99308,0.0,1.0,2.9927566078116006,8.001773406488132,8.383201499313525,1.7701
0.00465266284960908,0.0,80.05688723244002,[[0.]],0.0,7.99999999999951,0,0.0,100,0.0,10,[[0.99999999]],0.0,0.0,0.0,1505.6161616161617,[[0.99999999]],0.0,500.0,3.01308,0.0,1.0,3.0058058675836006,8.001819466926317,8.396291545191751,1.7701
0.0046454657417743595,0.0,75.22327951805129,[[0.]],0.0,7.9999999999994875,0,0.0,100,0.0,11,[[0.99999999]],0.0,0.0,0.0,1507.939393939394,[[0.99999999]],0.0,500.0,3.01452,0.0,1.0,3.0096294073523406,8.001827707804074,8.398643976868728,1.7701
0.004723087426679696,0.0,71.67602746363714,[[0.]],0.0,7.9999999999999405,0,0.0,100,0.0,12,[[0.99999999]],0.0,0.0,0.0,1487.959595959596,[[0.99999999]],0.0,500.0,2.97728,0.0,1.0,2.9844603870046593,8.001740021760176,8.373807523511722,1.7701
0.00463602585676918,0.0,70.16995997817324,[[0.]],0.0,7.999999999999982,0,0.0,100,0.0,13,[[0.99999999]],0.0,0.0,0.0,1510.7070707070707,[[0.99999999]],0.0,500.0,3.0218,0.0,1.0,3.011126825625251,8.001838663603884,8.401794535467758,1.7701
