Primal,TimestepsMean,OmegaBefore,DualBefore,DeltaOmega,WeightMin,NormDeltaVar,ConfortViolation,ReturnsStd,Epsilon,ReturnsMean,Omega,TimestepsStd,NormDeltaOmega,Traj,WeightMedian,WeightMean,RewardStd,LossReg,DualAfter,Eta,Wins,ITERATIONS,DualReg,WeightMax,RewardMean
7.973032853717324,500.0,[[0.8]],8.180189490516106,[[0.17029031]],0.0019442347589344827,29.997539933341447,0,65.79998632358259,1.6801,1179.7575757575758,[[0.97029031]],0.0,0.17029031277602236,100,0.0067763988881594725,0.0019442347589344827,2.433887022850486,0.0,7.973030035246352,1.6018230490449905,0.0,0,0.0,1.0,2.3586
8.147607366230618,500.0,[[0.97029031]],8.207325274335512,[[0.02969554]],2.0702878275261506e-08,109.71610865408718,0,78.24988554168633,1.6801,1424.1616161616162,[[0.99998586]],0.0,0.02969554384423001,100,7.125651578422362e-07,2.0702878275261506e-08,2.8948307913244262,0.0,8.147607370655372,0.5651954954098075,0.0,1,0.0,1.0,2.84836
8.000000000000208,500.0,[[0.99998586]],8.320457142821628,[[1.41339873e-05]],0.0,104.53017961240093,0,81.81999748577725,1.6801,1517.2525252525252,[[0.99999999]],0.0,1.4133987322861863e-05,100,0.0,0.0,3.0198085658531406,0.0,8.001545140080252,0.004900037928473736,0.0,2,0.0,1.0,3.03516
7.999999999999735,500.0,[[0.99999999]],8.32154439293599,[[0.]],0.0,0.0,0,83.99387795260431,1.6801,1519.7575757575758,[[0.99999999]],0.0,0.0,100,0.0,0.0,3.0209009938096285,0.0,8.001549233452847,0.004896009042267425,0.0,3,0.0,1.0,3.03684
7.9999999999996625,500.0,[[0.99999999]],8.278288766310457,[[0.]],0.0,0.0,0,90.90461043953354,1.6801,1482.2626262626263,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.982344419009984,0.0,8.001383067485055,0.005068632631701163,0.0,4,0.0,1.0,2.96392
7.999999999999918,500.0,[[0.99999999]],8.291815296421403,[[0.]],0.0,0.0,0,72.15267966428173,1.6801,1492.3030303030303,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9956905057765897,0.0,8.001435771735643,0.005011436981292896,0.0,5,0.0,1.0,2.98456
7.9999999999999725,500.0,[[0.99999999]],8.300901096710698,[[0.]],0.0,0.0,0,84.71795153998539,1.6801,1500.6666666666667,[[0.99999999]],0.0,0.0,100,0.0,0.0,3.0030383078475706,0.0,8.00147079201185,0.004974876100235689,0.0,6,0.0,1.0,3.00096
7.999999999999566,500.0,[[0.99999999]],8.299883430963792,[[0.]],0.0,0.0,0,78.9237419614622,1.6801,1500.949494949495,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9999723409391623,0.0,8.001466885333777,0.004979154274962336,0.0,7,0.0,1.0,3.00244
7.99999999999942,500.0,[[0.99999999]],8.28797117854297,[[0.]],0.0,0.0,0,74.77193702910867,1.6801,1487.6161616161617,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.991595565179224,0.0,8.001420863870866,0.005027411477123929,0.0,8,0.0,1.0,2.97912
7.999999999999729,500.0,[[0.99999999]],8.304704573866445,[[0.]],0.0,0.0,0,79.54890164087858,1.6801,1505.050505050505,[[0.99999999]],0.0,0.0,100,0.0,0.0,3.0057160155942872,0.0,8.001485360971623,0.0049599729917173645,0.0,9,0.0,1.0,3.00844
7.999999999999985,500.0,[[0.99999999]],8.290480329308961,[[0.]],0.0,0.0,0,91.87299094209607,1.6801,1494.0,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9904155965350365,0.0,8.001430606850105,0.005017418001638311,0.0,10,0.0,1.0,2.9884
7.999999999999639,500.0,[[0.99999999]],8.292220000309728,[[0.]],0.0,0.0,0,83.83500540838106,1.6801,1492.7070707070707,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9953251672564702,0.0,8.001437339137329,0.005009863388434041,0.0,11,0.0,1.0,2.98632
8.000000000000457,500.0,[[0.99999999]],8.305247654802985,[[0.]],0.0,0.0,0,78.76013497538382,1.6801,1503.1515151515152,[[0.99999999]],0.0,0.0,100,0.0,0.0,3.007741656725192,0.0,8.001487437622211,0.004957691597903588,0.0,12,0.0,1.0,3.00708
8.00000000000016,500.0,[[0.99999999]],8.28329814084989,[[0.]],0.0,0.0,0,81.87927884671878,1.6801,1484.1616161616162,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9878852036850416,0.0,8.001402664221247,0.005047004774408393,0.0,13,0.0,1.0,2.97064
8.000000000000242,500.0,[[0.99999999]],8.285259930279274,[[0.]],0.0,0.0,0,65.20108051181492,1.6801,1491.030303030303,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.985525347137418,0.0,8.001410323865075,0.005039229069393623,0.0,14,0.0,1.0,2.98004
7.999999999999805,500.0,[[0.99999999]],8.297415048160794,[[0.]],0.0,0.0,0,81.26293199181617,1.6801,1498.5050505050506,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.9985049874895995,0.0,8.001457392793094,0.004988948751575944,0.0,15,0.0,1.0,2.9972
7.999999999999585,500.0,[[0.99999999]],8.287743281580893,[[0.]],0.0,0.0,0,74.75344229522963,1.6801,1491.2727272727273,[[0.99999999]],0.0,0.0,100,0.0,0.0,2.989365702352257,0.0,8.001419982294005,0.005028610985825191,0.0,16,0.0,1.0,2.98176
