NormDeltaOmega,Omega,WeightMean,Traj,ConfortViolation,ReturnsMean,RewardMean,RewardStd,WeightMax,ReturnsStd,DeltaOmega,Wins,WeightMedian,ITERATIONS,LossReg,Eta,Primal,TimestepsStd,WeightMin,DualBefore,DualReg,Epsilon,DualAfter,TimestepsMean,OmegaBefore,NormDeltaVar
0.15122851027433581,[[0.95122851]],0.003940639506498353,100,0,1169.7171717171718,2.33872,2.4163751284930903,1.0,64.28912602714513,[[0.15122851]],0.0,0.011924862102103731,0,0.0,1.80622387474202,7.590151030163369,0.0,0.003940639506498353,7.959266694539906,0.0,1.4701,7.590150993258852,500.0,[[0.8]],22.63305773662059
0.04377682167708019,[[0.99500533]],0.00026227212677015316,100,0,1377.7575757575758,2.75676,2.8190555692288153,1.0,76.42690981335042,[[0.04377682]],0.0,0.0013645885107107015,1,0.0,1.2126903767467714,7.928633360527728,0.0,0.00026227212677015316,7.938458162606922,0.0,1.4701,7.928631602666825,500.0,[[0.95122851]],33.196696286491886
0.004992901983495224,[[0.99999823]],5.119868965479555e-10,100,0,1478.1010101010102,2.95792,2.975659468689252,1.0,79.2502104575474,[[0.0049929]],0.0,3.69323614153281e-08,2,0.0,0.4674486940363539,8.034909435425064,0.0,5.119868965479555e-10,8.064335822450587,0.0,1.4701,8.034910027706326,500.0,[[0.99500533]],113.60539558737993
1.7566838597105061e-06,[[0.99999999]],0.0,100,0,1497.6161616161617,2.99472,2.995031238835415,1.0,77.71414949500159,[[1.75668386e-06]],0.0,2.4981103716357225e-297,3,0.0,0.008785387419412385,7.999999999999667,0.0,0.0,8.084873175256051,0.0,1.4701,8.00069893576881,500.0,[[0.99999823]],74.82571738554878
0.0,[[0.99999999]],0.0,100,0,1503.2929292929293,3.00804,3.003267447031649,1.0,70.53235557053468,[[0.]],0.0,9.20248898476107e-305,4,0.0,0.008570584009258728,8.000000000000597,0.0,0.0,8.093368712417309,0.0,1.4701,8.000755208447139,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1490.888888888889,2.98424,2.9902895549427986,1.0,80.94303881810261,[[0.]],0.0,8.756641920760631e-292,5,0.0,0.008952751389021246,7.9999999999995275,0.0,0.0,8.079029460469654,0.0,1.4701,8.000659589407729,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1500.4848484848485,2.9998,2.9999733265480875,1.0,72.97271714277375,[[0.]],0.0,4.483632620127891e-301,6,0.0,0.008675814993084284,7.99999999999979,0.0,0.0,8.089004921509638,0.0,1.4701,8.000726388125338,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1490.5656565656566,2.98236,2.9910548023063703,1.0,76.53297455519348,[[0.]],0.0,1.393769001829002e-291,7,0.0,0.008958964576292172,8.00000000000016,0.0,0.0,8.078782331865632,0.0,1.4701,8.000657874852081,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1497.6565656565656,2.99508,2.9944708703876217,1.0,78.91744332486041,[[0.]],0.0,3.622695702063619e-297,8,0.0,0.008790171303692418,7.999999999999671,0.0,0.0,8.084716299046768,0.0,1.4701,8.000697903828957,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1515.5959595959596,3.03268,3.0181404900368705,1.0,83.04214813884283,[[0.]],0.0,0.0,9,0.0,0.00824862961148348,8.000000000000076,0.0,0.0,8.108824215196917,0.0,1.4701,8.000855273138349,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1518.1818181818182,3.03564,3.0234565964141105,1.0,69.09872364100097,[[0.]],0.0,0.0,10,0.0,0.008182550684476824,7.999999999999512,0.0,0.0,8.112387334616635,0.0,1.4701,8.000877887558795,500.0,[[0.99999999]],0.0
0.0,[[0.99999999]],0.0,100,0,1494.121212121212,2.9882,2.9963212044105014,1.0,70.34737368508755,[[0.]],0.0,5.090196604163204e-296,11,0.0,0.008824335656654147,7.999999999999551,0.0,0.0,8.08333922913164,0.0,1.4701,8.000688553964318,500.0,[[0.99999999]],0.0
