NormDeltaVar,TimestepsStd,NormDeltaOmega,RewardStd,DualAfter,Eta,OmegaBefore,ConfortViolation,DeltaOmega,WeightMax,ITERATIONS,DualBefore,Wins,Traj,Omega,WeightMedian,TimestepsMean,RewardMean,ReturnsStd,WeightMin,WeightMean,ReturnsMean,Primal,Epsilon,DualReg,LossReg
21.348564518493387,0.0,0.14688377291599009,2.4162850265645397,7.522631685789896,1.8479601207906966,[[0.8]],0,[[0.14688377]],1.0,0,7.9292284257044185,0.0,100,[[0.94688377]],0.013179433278134913,500.0,2.33948,60.79583084100585,0.004465508493478192,0.004465508493478192,1170.2626262626263,7.522631716189266,1.4301,0.0,0.0
27.68838767632534,0.0,0.045105104650147276,2.803830687042283,7.863792217665781,1.3325438480051177,[[0.94688377]],0,[[0.0451051]],1.0,1,7.891272947495198,0.0,100,[[0.99198888]],0.0024699563790121066,500.0,2.73472,61.86023525039458,0.0005506321996078949,0.0005506321996078949,1367.090909090909,7.863792196425373,1.4301,0.0,0.0
38.661016556481144,0.0,0.00747206658401911,2.9423407277879967,7.990044488989725,0.8641734605878715,[[0.99198888]],0,[[0.00747207]],1.0,2,7.991552390302238,0.0,100,[[0.99946094]],9.540298399795102e-05,500.0,2.91196,75.44026205863526,9.428713692642855e-06,9.428713692642855e-06,1455.171717171717,7.990043611695262,1.4301,0.0,0.0
154.0710994470064,0.0,0.0005390446809035998,2.9951025240548947,8.000514938493879,0.014234016660471065,[[0.99946094]],0,[[0.00053904]],1.0,3,8.041497121093908,0.0,100,[[0.99999999]],8.586804371480182e-184,500.0,2.98448,78.30288957675693,8.161602231950983e-245,8.161602231950983e-245,1492.969696969697,7.999999999999472,1.4301,0.0,0.0
0.0,0.0,0.0,3.014184327741089,8.000725229763347,0.012515786171873893,[[0.99999999]],0,[[0.]],1.0,4,8.063115327666512,0.0,100,[[0.99999999]],6.332587047851461e-209,500.0,3.02128,79.3132959753767,2.5241096920557534e-278,2.5241096920557534e-278,1510.8686868686868,7.999999999999606,1.4301,0.0,0.0
0.0,0.0,0.0,3.0007417866920836,8.000612055286485,0.013316170963803905,[[0.99999999]],0,[[0.]],1.0,5,8.051234675548658,0.0,100,[[0.99999999]],2.0682476903762822e-196,500.0,3.00536,89.88808468643127,1.2231228061373128e-261,1.2231228061373128e-261,1502.3030303030303,8.000000000000377,1.4301,0.0,0.0
0.0,0.0,0.0,2.9904473979657293,8.00047365183449,0.014738138055798175,[[0.99999999]],0,[[0.]],1.0,6,8.03749376429748,0.0,100,[[0.99999999]],1.5691045531088017e-177,500.0,2.9794,75.06711346064898,1.823346370181732e-236,1.823346370181732e-236,1488.2828282828282,8.00000000000018,1.4301,0.0,0.0
0.0,0.0,0.0,3.021265725751378,8.000799510268784,0.012107061943470398,[[0.99999999]],0,[[0.]],1.0,7,8.071151553561757,0.0,100,[[0.99999999]],5.928948208729466e-216,500.0,3.03512,77.96131041641559,1.0730917983034922e-287,1.0730917983034922e-287,1516.4646464646464,7.999999999999958,1.4301,0.0,0.0
0.0,0.0,0.0,3.008128673843591,8.00066515293455,0.012906647797520512,[[0.99999999]],0,[[0.]],1.0,8,8.056752623709816,0.0,100,[[0.99999999]],1.2782297228206572e-202,500.0,3.01104,78.44140341696767,6.4389030010397845e-270,6.4389030010397845e-270,1505.6565656565656,8.000000000000247,1.4301,0.0,0.0
0.0,0.0,0.0,3.0036511049054946,8.000607839862772,0.013340326504754467,[[0.99999999]],0,[[0.]],1.0,9,8.050817429213987,0.0,100,[[0.99999999]],4.676612568990925e-196,500.0,2.9998,85.30509174536974,3.6300158672575826e-261,3.6300158672575826e-261,1499.6969696969697,7.999999999999697,1.4301,0.0,0.0
