RewardStd,WeightMean,NormDeltaVar,ConfortViolation,ReturnsStd,Traj,DeltaOmega,DualReg,Primal,DualAfter,Omega,ReturnsMean,NormDeltaOmega,WeightMax,Epsilon,DualBefore,TimestepsMean,RewardMean,Eta,Wins,LossReg,OmegaBefore,TimestepsStd,WeightMin,WeightMedian,ITERATIONS
2.411444710873546,0.010546767370803393,11.989979914452128,0,55.824166062557005,100,[[0.10252434]],0.0,6.855787656861512,6.8557836621015245,[[0.90252434]],1170.1616161616162,0.10252434013848488,1.0,1.1001,7.6028601309853965,500.0,2.34008,2.1968675024456807,0.0,0.0,[[0.8]],0.0,0.010546767370803393,0.026211718398498233,0
2.627887333962398,0.006883354571204901,9.897967249722758,0,72.37893571806671,100,[[0.04622668]],0.0,7.078120827062733,7.078120366191693,[[0.94875102]],1269.6565656565656,0.04622667860637453,1.0,1.1001,7.464825299867114,500.0,2.5396,2.0085769599177437,0.0,0.0,[[0.90252434]],0.0,0.006883354571204901,0.0186311693317729,1
2.812964244351499,0.004862302593434733,8.058886803047159,0,68.61830802864947,100,[[0.0214368]],0.0,7.342827510181453,7.342827860473806,[[0.97018782]],1369.4949494949494,0.021436803917390557,1.0,1.1001,7.568111939388116,500.0,2.7404,1.8774959541706924,0.0,0.0,[[0.94875102]],0.0,0.004862302593434733,0.014108264269552863,2
2.8939718688335585,0.003856752811254604,4.164905197792109,0,77.58219670245916,100,[[0.00737002]],0.0,7.465561275184538,7.465560893513756,[[0.97755784]],1424.1818181818182,0.007370016765454235,1.0,1.1001,7.628860742871322,500.0,2.84832,1.799231108971097,0.0,0.0,[[0.97018782]],0.0,0.003856752811254604,0.011721344861712751,3
2.908642156333432,0.0036127342053479967,0.9770578371590517,0,80.47453384069938,100,[[0.00145246]],0.0,7.48566599763556,7.485664807685355,[[0.9790103]],1435.030303030303,0.0014524570597851394,1.0,1.1001,7.634346256789599,500.0,2.86992,1.7783182614257964,0.0,0.0,[[0.97755784]],0.0,0.0036127342053479967,0.011124200523460075,4
2.910707965839239,0.0035906823640415777,0.14914179065147692,0,81.3139168040359,100,[[0.00021346]],0.0,7.487616395056587,7.487615117150083,[[0.97922376]],1436.080808080808,0.00021346201784944174,1.0,1.1001,7.634876868357491,500.0,2.87124,1.7763841385781767,0.0,0.0,[[0.9790103]],0.0,0.0035906823640415777,0.01106984629927599,5
2.93765319232887,0.003298857666246132,1.4628643376494779,0,82.87701448930298,100,[[0.00198419]],0.0,7.530609605475047,7.530608110468835,[[0.98120795]],1453.1919191919192,0.00198419285246898,1.0,1.1001,7.6629953761805165,500.0,2.90904,1.750032672004502,0.0,0.0,[[0.97922376]],0.0,0.003298857666246132,0.010344055979476522,6
2.939464554234325,0.0032548141100272737,0.1427853874459757,0,73.73007851002313,100,[[0.00018341]],0.0,7.53346828206457,7.5334667513295726,[[0.98139136]],1457.6565656565656,0.00018341277864586392,1.0,1.1001,7.663365966792262,500.0,2.91312,1.7459258472021975,0.0,0.0,[[0.98120795]],0.0,0.0032548141100272737,0.010233423610678595,7
2.9295089619934602,0.003356220733340651,0.5014616610703655,0,72.87374139902025,100,[[-0.000652]],0.0,7.515433385407453,7.5154333783680425,[[0.98073936]],1448.6060606060605,0.0006520014877754443,1.0,1.1001,7.649888293929788,500.0,2.89696,1.7553283853886485,0.0,0.0,[[0.98139136]],0.0,0.003356220733340651,0.010487703788312711,8
2.918339790771459,0.0034682105441875984,0.6958988218866082,0,70.56022847370177,100,[[-0.00094205]],0.0,7.502293123833935,7.50229167138804,[[0.97979732]],1443.959595959596,0.0009420454497397479,1.0,1.1001,7.643247635459334,500.0,2.88716,1.7655004059238413,0.0,0.0,[[0.98073936]],0.0,0.0034682105441875984,0.010766743415361687,9
2.912769001757606,0.0035514340005232217,0.3083618883513637,0,70.05164040357886,100,[[-0.00043173]],0.0,7.4919463234997705,7.491944977164863,[[0.97936559]],1437.3333333333333,0.00043172604532204506,1.0,1.1001,7.637176236430705,500.0,2.87632,1.7729227075038347,0.0,0.0,[[0.97979732]],0.0,0.0035514340005232217,0.010972939850287612,10
2.937232007451914,0.003258922414913355,1.379288974268718,0,85.76308414094731,100,[[0.00186345]],0.0,7.531569356385176,7.531567820038081,[[0.98122905]],1456.8080808080808,0.001863454481715321,1.0,1.1001,7.661743205984375,500.0,2.91312,1.7463104476435305,0.0,0.0,[[0.97936559]],0.0,0.003258922414913355,0.0102437558063326,11
2.926979309527145,0.003439600246373487,0.5757610497367693,0,81.13287756550345,100,[[-0.00075691]],0.0,7.5106295240165215,7.5106280569573665,[[0.98047214]],1443.959595959596,0.0007569079556130065,1.0,1.1001,7.64981445372845,500.0,2.88904,1.7629222130967575,0.0,0.0,[[0.98122905]],0.0,0.003439600246373487,0.01069563015736052,12
2.9207591769264374,0.0034468157917676313,0.3610390999033726,0,67.63950127281738,100,[[-0.00048981]],0.0,7.505510247920046,7.505508771556489,[[0.97998233]],1443.7777777777778,0.0004898066652181399,1.0,1.1001,7.6452983971752175,500.0,2.88952,1.7635737407217906,0.0,0.0,[[0.98047214]],0.0,0.0034468157917676313,0.010713576109992008,13
2.9308411022093983,0.0033679771300796652,0.5064603425558474,0,76.794030564184,100,[[0.00068376]],0.0,7.521373808250416,7.521372360013456,[[0.98066609]],1448.989898989899,0.0006837581825186456,1.0,1.1001,7.657477791336859,500.0,2.90156,1.7564064569462554,0.0,0.0,[[0.97998233]],0.0,0.0033679771300796652,0.010517083137834546,14
