ConfortViolation,OmegaBefore,NormDeltaOmega,DualReg,ReturnsMean,ReturnsStd,Wins,RewardMean,Omega,WeightMax,ITERATIONS,WeightMean,WeightMedian,NormDeltaVar,Eta,DualAfter,DualBefore,DeltaOmega,Traj,WeightMin,RewardStd,TimestepsMean,TimestepsStd,Epsilon,Primal,LossReg
0,[[0.8]],0.4798859062273385,0.0,1172.3232323232323,56.22372846118744,0.0,2.347,[[0.32011409]],1.0,0,0.12231126281471985,0.18619720610384682,30.56488407102598,4.759216600378189,4.155297554877019,6.69880797197975,[[-0.47988591]],100,0.12231126281471985,2.4198493754777384,500.0,0.0,0.2101,4.155297556972787,0.0
0,[[0.32011409]],0.14052081734993066,0.0,1782.7070707070707,112.66480655854245,0.0,3.56208,[[0.17959328]],1.0,1,0.21546202092906172,0.2928846312320016,10.940828271978273,6.514782665510555,6.216624876161855,8.789098023669851,[[-0.14052082]],100,0.21546202092906172,3.839112667479297,500.0,0.0,0.2101,6.216624363469713,0.0
0,[[0.17959328]],0.10609778363478602,0.0,2687.5757575757575,127.03813878215533,0.0,5.37284,[[0.07349549]],1.0,2,0.1961695264445216,0.2717097575607976,14.501276083938698,6.139579423288007,8.15862052284978,9.451359466092086,[[-0.10609778]],100,0.1961695264445216,4.444487634632366,500.0,0.0,0.2101,8.15862057964676,0.0
0,[[0.07349549]],0.06435184277611034,0.0,3822.060606060606,123.81264912956664,0.0,7.64492,[[0.00914365]],1.0,3,0.05488921286186828,1.0,30.733072712418533,3.4453788487600505,9.761976193866959,9.902173403373126,[[-0.06435184]],100,0.05488921286186828,3.965521175532921,500.0,0.0,0.2101,9.76197620027103,0.0
0,[[0.00914365]],0.009143647074806699,0.0,4830.787878787879,48.11250970849425,0.0,9.66152,[[2.93702782e-09]],1.0,4,0.0,1.0,213.7193970137726,0.006905496864113857,10.001187195401602,10.17193312793604,[[-0.00914365]],100,0.0,1.727191735042754,500.0,0.0,0.2101,9.999999999999035,0.0
0,[[2.93702782e-09]],6.439137455087266e-10,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,5,0.0,1.0,3.535533905932766,0.0067615669508732205,10.001407068541285,10.208098088311147,[[-6.43913746e-10]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,6,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,7,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,8,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
0,[[2.29311407e-09]],0.0,0.0,4990.0,0.0,0.0,9.98,[[2.29311407e-09]],1.0,9,0.0,1.0,0.0,0.0067615669508732205,10.001407068541285,10.208098088311147,[[0.]],100,0.0,0.4467661580737735,500.0,0.0,0.2101,9.999999999997792,0.0
