NormDeltaOmega,Wins,RewardMean,ITERATIONS,DualReg,NormDeltaVar,RewardStd,OmegaBefore,Traj,ConfortViolation,WeightMean,WeightMin,ReturnsStd,TimestepsStd,ReturnsMean,Eta,DeltaOmega,TimestepsMean,Omega,WeightMedian,WeightMax,Epsilon,Primal,DualAfter,LossReg,DualBefore
0.3486025765720936,0.0,2.35,0,0.0,22.590292568825625,2.422672078511659,[[0.8]],100,0,0.4726805735008884,0.4726805735008884,57.3698462188809,0.0,1175.5353535353536,13.345158230430403,[[-0.34860258]],500.0,[[0.45139742]],0.5491034887534555,1.0,0.0201,2.861849376681485,2.861849605057972,0.0,6.506704092440068
0.04283113239888375,0.0,2.72328,1,0.0,2.498132933607374,3.095788436182292,[[0.45139742]],100,0,0.5536608727822856,0.5536608727822856,75.35588590045819,0.0,1362.4444444444443,16.91466604216699,[[-0.04283113]],500.0,[[0.40856629]],0.6231535398630097,1.0,0.0201,3.374698196259092,3.374698581864809,0.0,7.946031629275504
0.03639500757267505,0.0,2.93284,2,0.0,2.1859681856734907,3.328009845898897,[[0.40856629]],100,0,0.5732272474944328,0.5732272474944328,98.08770065972682,0.0,1466.9292929292928,17.97032224415864,[[-0.03639501]],500.0,[[0.37217128]],0.6407099383684063,1.0,0.0201,3.628817582050119,3.6288177761808758,0.0,8.163430084955829
0.035227081051918685,0.0,3.14668,3,0.0,2.200408620937784,3.534753877938321,[[0.37217128]],100,0,0.5888228115908309,0.5888228115908309,94.10946264911999,0.0,1574.9292929292928,18.881106753940866,[[-0.03522708]],500.0,[[0.3369442]],0.6546176358619751,1.0,0.0201,3.881737580434616,3.881737662094409,0.0,8.342238483612467
0.03272138540915209,0.0,3.40148,4,0.0,2.1475326469826808,3.7270811380489155,[[0.3369442]],100,0,0.6017667846212829,0.6017667846212829,114.60281107234279,0.0,1702.4646464646464,19.689484631932636,[[-0.03272139]],500.0,[[0.30422282]],0.6661048104636659,1.0,0.0201,4.172105690617467,4.172105722426103,0.0,8.505712975250425
0.03386812958633828,0.0,3.68544,5,0.0,2.365067182064619,3.920725954003927,[[0.30422282]],100,0,0.6136547221309991,0.6136547221309991,116.53043600737873,0.0,1841.030303030303,20.478255284014672,[[-0.03386813]],500.0,[[0.27035469]],0.6766113277210748,1.0,0.0201,4.491374099561069,4.491374148196405,0.0,8.6685224366861
0.03281420975804089,0.0,4.03748,6,0.0,2.4769655933882824,4.102442595527693,[[0.27035469]],100,0,0.6233942187666982,0.6233942187666982,116.66734356356172,0.0,2017.939393939394,21.160609249514074,[[-0.03281421]],500.0,[[0.23754048]],0.6851887382874984,1.0,0.0201,4.8753858295862065,4.875385850199978,0.0,8.829990428295483
0.03315151299995567,0.0,4.43736,7,0.0,2.755345272036493,4.262871828990406,[[0.23754048]],100,0,0.6307225710789168,0.6307225710789168,120.63212753175443,0.0,2220.3636363636365,21.697189832531226,[[-0.03315151]],500.0,[[0.20438896]],0.6916250241225637,1.0,0.0201,5.302174780590022,5.302174789187646,0.0,8.98468593566907
0.03237680031732165,0.0,4.93568,8,0.0,3.0335388062426283,4.384046411433164,[[0.20438896]],100,0,0.6343692681593982,0.6343692681593982,108.58664599197711,0.0,2467.6363636363635,21.972031474753685,[[-0.0323768]],500.0,[[0.17201216]],0.6948222359359418,1.0,0.0201,5.818209041733961,5.818209038809251,0.0,9.140732049995757
0.03050684375290283,0.0,5.46496,9,0.0,3.3058557044356327,4.450704685597551,[[0.17201216]],100,0,0.6340603950814891,0.6340603950814891,129.42567049564244,0.0,2732.161616161616,21.94854490368564,[[-0.03050684]],500.0,[[0.14150532]],0.6945515767538797,1.0,0.0201,6.353748512355939,6.353748505762145,0.0,9.285674834597826
0.030655716405566927,0.0,6.08636,10,0.0,3.9892695005367926,4.437727115359844,[[0.14150532]],100,0,0.6275343632821963,0.6275343632821963,134.818423615577,0.0,3044.4848484848485,21.461214828212313,[[-0.03065572]],500.0,[[0.1108496]],1.0,1.0,0.0201,6.964113397039105,6.964113681839464,0.0,9.428851648843368
0.027539876358670654,0.0,6.76364,11,0.0,4.5158900027770414,4.311173152449343,[[0.1108496]],100,0,0.6120497713888171,0.6120497713888171,137.95944360864928,0.0,3381.3333333333335,20.369018419184144,[[-0.02753988]],500.0,[[0.08330973]],1.0,1.0,0.0201,7.6068335624583705,7.60683441385881,0.0,9.562448239526747
0.021575959322257345,0.0,7.36084,12,0.0,4.614261783404011,4.1021207313291015,[[0.08330973]],100,0,0.5893533810145752,0.5893533810145752,122.04828093544798,0.0,3680.929292929293,18.913269717924088,[[-0.02157596]],500.0,[[0.06173377]],1.0,1.0,0.0201,8.153918815373656,8.153918814188863,0.0,9.666809677751099
0.020409411152117966,0.0,8.00944,13,0.0,6.041400654441183,3.7466452843043463,[[0.06173377]],100,0,0.5491647914201311,0.5491647914201311,107.7856292048026,0.0,4006.4444444444443,16.684554845510686,[[-0.02040941]],500.0,[[0.04132436]],1.0,1.0,0.0201,8.7222586032748,8.722258601813808,0.0,9.766979363373757
0.01716652898591845,0.0,8.62532,14,0.0,7.922738286147464,3.2536156653175863,[[0.04132436]],100,0,0.48377195242967047,0.48377195242967047,102.6973626291869,0.0,4311.717171717171,13.771417626036856,[[-0.01716653]],500.0,[[0.02415783]],1.0,1.0,0.0201,9.230480663879796,9.230480742966098,0.0,9.853199045395653
0.012491607939685056,0.0,9.1514,15,0.0,10.580436734044035,2.6459550336315245,[[0.02415783]],100,0,0.3791140431336612,0.3791140431336612,76.4882474285718,0.0,4575.49494949495,10.310147657558193,[[-0.01249161]],500.0,[[0.01166622]],1.0,1.0,0.0201,9.626741608007515,9.626741126973881,0.0,9.920786342717685
0.008116960117501302,0.0,9.5588,16,0.0,17.116250537534427,1.9584643371784944,[[0.01166622]],100,0,0.20984644932059598,0.20984644932059598,63.828051842588785,0.0,4780.0,6.404594053522375,[[-0.00811696]],500.0,[[0.00354926]],1.0,1.0,0.0201,9.888600433103226,9.88860174956193,0.0,9.969942841811736
0.0035492580054968708,0.0,9.85332,17,0.0,203.65321445728316,1.1542638249551096,[[0.00354926]],100,0,3.760757776353582e-105,3.760757776353582e-105,31.755429541686286,0.0,4927.656565656565,0.04158923889046386,[[-0.00354926]],500.0,[[2.29350298e-09]],1.0,1.0,0.0201,9.999999999999275,10.00016175360707,0.0,10.00389213721976
0.0,0.0,9.98,18,0.0,0.0,0.4467661580737735,[[2.29350298e-09]],100,0,4.737645871293763e-187,4.737645871293763e-187,0.0,0.0,4990.0,0.02330850896167397,[[0.]],500.0,[[2.29350298e-09]],1.0,1.0,0.0201,9.999999999997792,10.000421837332938,0.0,10.018098088311145
0.0,0.0,9.98,19,0.0,0.0,0.4467661580737735,[[2.29350298e-09]],100,0,4.737645871293763e-187,4.737645871293763e-187,0.0,0.0,4990.0,0.02330850896167397,[[0.]],500.0,[[2.29350298e-09]],1.0,1.0,0.0201,9.999999999997792,10.000421837332938,0.0,10.018098088311145
