WeightMedian,Omega,Traj,DeltaOmega,RewardMean,LossReg,NormDeltaOmega,Wins,NormDeltaVar,DualAfter,WeightMin,RewardStd,Primal,ReturnsMean,Epsilon,DualReg,WeightMean,ConfortViolation,ReturnsStd,DualBefore,WeightMax,Eta,TimestepsMean,OmegaBefore,ITERATIONS,TimestepsStd
0.9720430079501182,7.966189160408649,2151,-0.033810839591351005,6.422714026466917,0.0,0.033810839591351005,0.0,0.10726898950145043,6.5143657058805715,0.5941970721397685,1.3681294411053173,6.533046139023222,149.36330277324709,0.001,0.0001,0.5941970721397685,0,87.51801206704344,6.677703948190884,1.0,13.668152332891529,23.2553488372093,8.0,0,12.99013603395431
0.9732995795572683,7.933363477597401,2134,-0.03282568281124831,6.44997816209652,0.0,0.03282568281124831,0.0,0.09918426485222559,6.541612678861389,0.5936567580675498,1.3683602106793835,6.560278446031241,151.1337262160216,0.001,0.0001,0.5936567580675498,0,83.23569496622721,6.704224020102153,1.0,13.662784560300146,23.431786216596343,7.966189160408649,1,12.308568379506365
0.9752709829999838,7.8994035922113754,2138,-0.033959885386025235,6.473608290462143,0.0,0.033959885386025235,0.0,0.43092126482147874,6.565748348491667,0.5947057061628441,1.3745297844801307,6.584536289368034,151.38750751609587,0.001,0.0001,0.5947057061628441,0,84.78543035463527,6.729428242493394,1.0,13.707420162733928,23.38605521759476,7.933363477597401,2,12.495773818949344
0.9721074377274745,7.866539760184827,2085,-0.032863832026548856,6.50841788706691,0.0,0.032863832026548856,0.0,0.1192239983771063,6.599603329211375,0.5894360888670949,1.364133613665921,6.618130262575165,156.1090218055002,0.001,0.0001,0.5894360888670949,0,84.86003583605317,6.759255723021248,1.0,13.612019972120608,23.98560460652591,7.8994035922113754,3,12.449698562943416
0.9728110999560606,7.834495440712984,2019,-0.03204431947184272,6.540615837267874,0.0,0.03204431947184272,0.0,0.8411501741129012,6.630383647552581,0.5857834962148444,1.3482857076780461,6.6485329362867,162.04927262563527,0.001,0.0001,0.5857834962148444,0,94.83275853538352,6.784905894744993,1.0,13.472598225810698,24.775520317145688,7.866539760184827,4,13.879727441387624
0.9724164755997767,7.802724419927214,2029,-0.031771020785769544,6.562474463248346,0.0,0.031771020785769544,0.0,0.14073955805357824,6.652900495109478,0.5857812680391871,1.3562254095701682,6.671211363010218,161.76835082229087,0.001,0.0001,0.5857812680391871,0,92.70490194654414,6.808944505895077,1.0,13.532425174327594,24.650394477317555,7.834495440712984,5,13.510335179007267
0.9734288972333495,7.77194102171827,1999,-0.03078339820894449,6.591624058489971,0.0,0.03078339820894449,0.0,0.10685152540740847,6.681591228836878,0.5842254662721602,1.3514063439890522,6.699772410489015,164.9269772699919,0.001,0.0001,0.5842254662721602,0,96.0964724385608,6.835430495261922,1.0,13.484422805517356,25.02102102102102,7.802724419927214,6,13.953790410687123
0.9748202419758377,7.740609848066076,1987,-0.03133117365219373,6.6158560941264275,0.0,0.03133117365219373,0.0,0.011468378890443637,6.705834197263534,0.5839915218292149,1.351925853774391,6.724008814904969,166.51433813885853,0.001,0.0001,0.5839915218292149,0,95.8261349926492,6.859075681465194,1.0,13.481985625207088,25.16968781470292,7.77194102171827,7,13.868389713152485
0.9704185497345633,7.709774419484454,1937,-0.03083542858162236,6.646096739488044,0.0,0.03083542858162236,0.0,0.14950336936073008,6.735083069109981,0.5780700609841283,1.3409193159226163,6.752991494934533,171.5845221638991,0.001,0.0001,0.5780700609841283,0,99.70078493779337,6.884671847824071,1.0,13.382904607059078,25.81714876033058,7.740609848066076,8,14.370777688579158
0.9688130421356145,7.679046204744668,1904,-0.03072821473978582,6.672713676974651,0.0,0.03072821473978582,0.0,0.31839428743808956,6.7610803457038395,0.5747039233409065,1.334145267078961,6.778819932285343,175.12729435776276,0.001,0.0001,0.5747039233409065,0,107.52523915842879,6.9082469944431475,1.0,13.319677422926326,26.246452968996323,7.709774419484454,9,15.459971767122381
0.9732105806856918,7.649161897656328,1880,-0.029884307088339668,6.698313433296106,0.0,0.029884307088339668,0.0,0.11644016080646384,6.786332336646409,0.5754026624316241,1.3305053099546593,6.803973321733863,178.2078237781533,0.001,0.0001,0.5754026624316241,0,104.51422932119446,6.931909590244693,1.0,13.282612858355153,26.605109100585416,7.679046204744668,10,14.968176121661104
0.9736490248394941,7.618918354150519,1903,-0.030243543505808823,6.71985975862168,0.0,0.030243543505808823,0.0,0.2996127856600153,6.808907481564029,0.5767842461562434,1.3428170973692135,6.8268034937334185,176.59250188989856,0.001,0.0001,0.5767842461562434,0,103.74460284443285,6.956852673052999,1.0,13.378256487166324,26.279705573080967,7.649161897656328,11,14.801014484710654
0.9738351423436677,7.58916042668199,1857,-0.029757927468529566,6.743745130202174,0.0,0.029757927468529566,0.0,0.043274586070056464,6.8317702698124965,0.5737680662241085,1.331291246099305,6.849396018021223,181.58290643064848,0.001,0.0001,0.5737680662241085,0,108.48590340319086,6.976364879956519,1.0,13.276872424133204,26.926185344827587,7.618918354150519,12,15.462219100120462
0.9743342301021252,7.558524078869761,1881,-0.030636347812229126,6.764021143737289,0.0,0.030636347812229126,0.0,0.3861020850697144,6.853104293195741,0.5752699765496315,1.343909601486274,6.87099328382886,179.76864837094115,0.001,0.0001,0.5752699765496315,0,102.64702708545967,7.00022887527563,1.0,13.375629186144971,26.577659574468086,7.58916042668199,13,14.564615049622319
