WeightMin,NormDeltaOmega,Primal,ReturnsStd,OmegaBefore,Wins,Traj,DualAfter,WeightMedian,TimestepsStd,ITERATIONS,TimestepsMean,Omega,DualReg,RewardStd,Eta,ReturnsMean,DeltaOmega,ConfortViolation,Epsilon,LossReg,RewardMean,WeightMean,DualBefore,WeightMax,NormDeltaVar
0.005616484920371383,0.14041173204803048,7.397875209540525,65.37930580222537,[[0.8]],0.0,100,7.397872477319673,0.015833308645965955,0.0,0,500.0,[[0.94041173]],0.0,2.4438549740931843,1.9297385029399834,1181.6363636363637,[[0.14041173]],0,1.3401,0.0,2.36284,0.005616484920371383,7.868966146511653,1.0,19.608067468728454
0.001560066671949013,0.04342081143122034,7.6805922704071055,64.95550500807454,[[0.94041173]],0.0,100,7.680592208325358,0.005682173982015207,0.0,1,500.0,[[0.98383254]],0.0,2.7615170204798667,1.5472626731895456,1339.2121212121212,[[0.04342081]],0,1.3401,0.0,2.67884,0.001560066671949013,7.769081318354839,1.0,19.279946488763862
0.00031173354772317695,0.011691199771071803,7.889481212453582,79.84779419452263,[[0.98383254]],0.0,100,7.8894814480529964,0.0015668478777220362,0.0,2,500.0,[[0.99552374]],0.0,2.9373727101612417,1.2386413877169153,1454.080808080808,[[0.0116912]],0,1.3401,0.0,2.90704,0.00031173354772317695,7.898797357798413,1.0,18.514664077684877
0.00010254144162668167,0.0024190956238365757,7.947064765760213,82.75233275670149,[[0.99552374]],0.0,100,7.947064639375492,0.0006437533989777701,0.0,3,500.0,[[0.99794284]],0.0,2.9904484958614486,1.088702761616478,1489.6363636363637,[[0.0024191]],0,1.3401,0.0,2.97956,0.00010254144162668167,7.948008510284289,1.0,11.14124624725362
3.664366872755454e-05,0.0009759634730501787,7.9734339561323795,86.39793045849812,[[0.99794284]],0.0,100,7.9734340995439705,0.0002826175704661014,0.0,4,500.0,[[0.9989188]],0.0,3.0116352605187764,0.9790224953555784,1512.6060606060605,[[0.00097596]],0,1.3401,0.0,3.02476,3.664366872755454e-05,7.973475534155275,1.0,9.203358157660603
0.0003158359284948149,8.753346502188286e-05,7.969661367786557,80.29003643046316,[[0.9989188]],0.0,100,7.96966241654717,0.0023691695889826087,0.0,5,500.0,[[0.99883127]],0.0,3.0103096917094754,0.9925204043407789,1506.7070707070707,[[-8.7533465e-05]],0,1.3401,0.0,3.0166,0.0003158359284948149,7.969667790905659,1.0,1.1133844738273382
0.0005239065926522193,0.0005862348920335769,7.954316977689045,74.10468360523109,[[0.99883127]],0.0,100,7.95431765882883,0.003462903566104849,0.0,6,500.0,[[0.99824503]],0.0,2.9958822470851554,1.0590139287399474,1497.6363636363637,[[-0.00058623]],0,1.3401,0.0,2.99296,0.0005239065926522193,7.954707219729764,1.0,5.8159705237622745
0.0007951642487534218,0.0007216748154301733,7.935544324877232,82.26531022987534,[[0.99824503]],0.0,100,7.935544459777081,0.004735246962786364,0.0,7,500.0,[[0.99752336]],0.0,2.9791491123473492,1.1209251435261027,1483.2121212121212,[[-0.00072167]],0,1.3401,0.0,2.96608,0.0007951642487534218,7.937411986696366,1.0,4.93109788502619
0.000563163292383231,0.0006256590089189773,7.951594639219129,77.89013529457057,[[0.99752336]],0.0,100,7.951597262901406,0.0036557438195270165,0.0,8,500.0,[[0.99814902]],0.0,2.994474950705048,1.0692412667487117,1493.5555555555557,[[0.00062566]],0,1.3401,0.0,2.98736,0.000563163292383231,7.952145049486619,1.0,4.168770599755632
0.000839737651919011,0.0007083070110851519,7.932702399371465,85.77773019881921,[[0.99814902]],0.0,100,7.932702062194452,0.004932961429965928,0.0,9,500.0,[[0.99744071]],0.0,2.978818389898921,1.1295572462489156,1479.171717171717,[[-0.00070831]],0,1.3401,0.0,2.959,0.000839737651919011,7.934879399008291,1.0,4.638901152370835
0.000577302629079627,0.0006645568251110179,7.95057369876089,74.46978722451381,[[0.99744071]],0.0,100,7.950577699468593,0.003724368557224982,0.0,10,500.0,[[0.99810527]],0.0,2.9930819177563452,1.0727967788236585,1493.7373737373737,[[0.00066456]],0,1.3401,0.0,2.98656,0.000577302629079627,7.951188127819908,1.0,4.30454361834002
0.00047242180034988125,0.00024922921085579475,7.957854262375684,80.54644006561779,[[0.99810527]],0.0,100,7.957854328524697,0.003204405347023256,0.0,11,500.0,[[0.9983545]],0.0,2.995915719775842,1.0447085196197974,1502.2626262626263,[[0.00024923]],0,1.3401,0.0,3.003,0.00047242180034988125,7.958071618320887,1.0,2.018301289863601
0.00010184514132921747,0.00041460488674649465,7.947249240639317,68.58715876246397,[[0.9983545]],0.0,100,7.947249129295704,0.0006402539288400917,0.0,12,500.0,[[0.99793989]],0.0,2.9896568469307647,1.0878957635694688,1490.6060606060605,[[-0.0004146]],0,1.3401,0.0,2.98124,0.00010184514132921747,7.948175236274491,1.0,3.2161091584106316
0.000643387761239146,3.306556263349414e-06,7.945998021960737,82.0667380547655,[[0.99793989]],0.0,100,7.945997883586183,0.0040397509941812165,0.0,13,500.0,[[0.99793659]],0.0,2.9895089940657473,1.0886185930504202,1492.0,[[-3.30655626e-06]],0,1.3401,0.0,2.97912,0.000643387761239146,7.946933874334153,1.0,0.022958102705672445
0.0008048398967554882,0.00043516086856221214,7.934908490630449,92.70433905786226,[[0.99793659]],0.0,100,7.934908345670932,0.004778395827445787,0.0,14,500.0,[[0.99750142]],0.0,2.9788393334317305,1.122827947632923,1482.080808080808,[[-0.00043516]],0,1.3401,0.0,2.96484,0.0008048398967554882,7.9368422363832725,1.0,2.739925144729881
0.00035787289432276186,0.0011896730351097506,7.966371336944692,77.70959624680826,[[0.99750142]],0.0,100,7.966369808632684,0.0026019359658113316,0.0,15,500.0,[[0.9986911]],0.0,3.0049202436004854,1.008149289289198,1507.1919191919192,[[0.00118967]],0,1.3401,0.0,3.01464,0.00035787289432276186,7.966376449166862,1.0,9.25319833154282
9.221541488644102e-05,0.0006155974140819032,7.950693492317414,85.43713555727044,[[0.9986911]],0.0,100,7.950699063440551,0.0005913475742235455,0.0,16,500.0,[[0.9980755]],0.0,2.9931312930775356,1.0762660121839531,1492.3636363636363,[[-0.0006156]],0,1.3401,0.0,2.98568,9.221541488644102e-05,7.951378639326765,1.0,5.515626416493916
0.0008295222949302728,0.0006008137554956994,7.933424228425053,74.18043175571121,[[0.9980755]],0.0,100,7.933423960489671,0.004887885762696315,0.0,17,500.0,[[0.99747469]],0.0,2.9799231335052925,1.127608561365239,1479.030303030303,[[-0.00060081]],0,1.3401,0.0,2.95928,0.0008295222949302728,7.935526830245673,1.0,3.8900191201806535
6.926080505921162e-05,0.0009063302706217025,7.959229891248673,77.21815198263096,[[0.99747469]],0.0,100,7.959229946505725,0.0004703162974694949,0.0,18,500.0,[[0.99838102]],0.0,2.9986391983031235,1.0440994842287992,1501.6767676767677,[[0.00090633]],0,1.3401,0.0,3.00172,6.926080505921162e-05,7.959442440522788,1.0,6.363930969942018
0.0008663253165953502,0.0009864877556969853,7.931036116979839,81.62128696778134,[[0.99838102]],0.0,100,7.931035520044042,0.005049643919069101,0.0,19,500.0,[[0.99739453]],0.0,2.978834538271638,1.1345506010265254,1478.1616161616162,[[-0.00098649]],0,1.3401,0.0,2.95456,0.0008663253165953502,7.9334044759841085,1.0,6.8114825797517256
