Primal,DualBefore,DeltaOmega,ReturnsMean,WeightMedian,Traj,Wins,LossReg,RewardMean,DualAfter,RewardStd,TimestepsStd,WeightMean,WeightMin,TimestepsMean,WeightMax,Eta,ITERATIONS,Omega,NormDeltaVar,Epsilon,ConfortViolation,ReturnsStd,NormDeltaOmega,DualReg,OmegaBefore
7.935257829540525,8.16584068622769,[[0.16698238]],1158.949494949495,0.00723616565273944,100,0.0,0.0,2.31704,7.935254681105668,2.3920128842462365,0.0,0.0021105013067768135,0.0021105013067768135,500.0,1.0,1.6231579783150658,0,[[0.96698238]],28.440636180356453,1.6901,0,60.43501790050048,0.16698237930169113,0.0,[[0.8]]
8.152817097755191,8.20758471442177,[[0.03299729]],1416.888888888889,1.1391321702821889e-06,100,0.0,0.0,2.83164,8.152817106789072,2.8831605765895176,0.0,3.7214967683915775e-08,3.7214967683915775e-08,500.0,1.0,0.5845712428486307,1,[[0.99997967]],106.08830406242032,1.6901,0,77.63953081536543,0.032997289225946136,0.0,[[0.96698238]]
7.999999999999606,8.32311852315788,[[2.03247217e-05]],1512.20202020202,0.0,100,0.0,0.0,3.02204,8.001555124753967,3.0136745408885806,0.0,0.0,0.0,500.0,1.0,0.004891172258813844,2,[[0.99999999]],114.4328318712437,1.6901,0,90.03052005499762,2.032472165447441e-05,0.0,[[0.99997967]]
7.999999999999634,8.314631401075097,[[0.]],1503.7171717171718,0.0,100,0.0,0.0,3.00968,8.001523120085233,3.004727324999725,0.0,0.0,0.0,500.0,1.0,0.004922977474013767,3,[[0.99999999]],0.0,1.6901,0,82.60017369855295,0.0,0.0,[[0.99999999]]
8.000000000000247,8.312261169026812,[[0.]],1505.090909090909,0.0,100,0.0,0.0,3.00628,8.001514136351226,3.0022059492313313,0.0,0.0,0.0,500.0,1.0,0.004932031721014094,4,[[0.99999999]],0.0,1.6901,0,84.50845285664658,0.0,0.0,[[0.99999999]]
8.000000000000485,8.295079745125046,[[0.]],1488.1010101010102,0.0,100,0.0,0.0,2.97536,8.001448409076428,2.988302673826733,0.0,0.0,0.0,500.0,1.0,0.004999570268591848,5,[[0.99999999]],0.0,1.6901,0,83.62899006192575,0.0,0.0,[[0.99999999]]
8.00000000000018,8.29750670537679,[[0.]],1492.2424242424242,0.0,100,0.0,0.0,2.9824,8.001457759978782,2.9884595095132207,0.0,0.0,0.0,500.0,1.0,0.0049899732559808545,6,[[0.99999999]],0.0,1.6901,0,73.87747034398295,0.0,0.0,[[0.99999999]]
8.00000000000057,8.302791185243333,[[0.]],1493.6969696969697,0.0,100,0.0,0.0,2.98992,8.001478043320995,2.9940571794139137,0.0,0.0,0.0,500.0,1.0,0.004968787667547982,7,[[0.99999999]],0.0,1.6901,0,81.58053027598062,0.0,0.0,[[0.99999999]]
7.999999999999442,8.324454364991357,[[0.]],1511.8181818181818,0.0,100,0.0,0.0,3.02552,8.001560135530907,3.014045243456043,0.0,0.0,0.0,500.0,1.0,0.0048863382435838714,8,[[0.99999999]],0.0,1.6901,0,93.11797270741378,0.0,0.0,[[0.99999999]]
7.999999999999614,8.320837025501334,[[0.]],1508.3636363636363,0.0,100,0.0,0.0,3.01644,8.001546550751394,3.0128076152320116,0.0,0.0,0.0,500.0,1.0,0.0048994946723770905,9,[[0.99999999]],0.0,1.6901,0,79.92742346103928,0.0,0.0,[[0.99999999]]
