RewardMean,LossReg,ReturnsMean,NormDeltaVar,TimestepsMean,OmegaBefore,ConfortViolation,RewardStd,WeightMin,Primal,WeightMean,ITERATIONS,Wins,WeightMedian,TimestepsStd,Omega,Eta,NormDeltaOmega,DualBefore,Epsilon,WeightMax,DeltaOmega,DualAfter,DualReg,Traj,ReturnsStd
6.422430858020689,0.0,149.407249377075,0.20147427526811748,23.263843648208468,8.0,0,1.3675085928926793,0.5945010166380372,6.532696324817286,0.5945010166380372,0,0.0,0.9727697531057617,12.379590384882341,7.966657373121054,13.663214216206695,0.03334262687894629,6.677230632408788,0.001,1.0,-0.03334262687894629,6.514029389373182,0.0001,2150,83.42603860235833
6.4527626816724215,0.0,152.24631191051907,0.0558496656629692,23.594428706326724,7.966657373121054,0,1.3639041983686155,0.5909760004996663,6.562568733453477,0.5909760004996663,1,0.0,0.9703048823943244,12.372877947962316,7.933974835710565,13.625227175637395,0.03268253741048888,6.7052783998705765,0.001,1.0,-0.03268253741048888,6.544005455195376,0.0001,2119,83.72631876141895
6.47489919399307,0.0,151.4996504946688,0.14230482733325978,23.40074906367041,7.933974835710565,0,1.3732145606564718,0.5915885379334506,6.585679789964947,0.5915885379334506,2,0.0,0.9705802041814217,12.192490144277516,7.900159534861903,13.69619154412016,0.03381530084866213,6.730178716334167,0.001,1.0,-0.03381530084866213,6.566922619264614,0.0001,2137,82.82864264111942
6.507874354159138,0.0,156.9597690317046,0.13239660188168237,24.118186203569707,7.900159534861903,0,1.3602911351534444,0.5873049172798516,6.617168284377069,0.5873049172798516,3,0.0,0.9694970302359271,13.134872082781397,7.867570280965378,13.58051324482425,0.032589253896524895,6.757370993056217,0.001,1.0,-0.032589253896524895,6.5987270336372505,0.0001,2074,89.46528245025782
6.532754984735263,0.0,157.05451862322545,0.08413184317478557,24.041867179980752,7.867570280965378,0,1.367168822228996,0.5896816945637994,6.642749172490707,0.5896816945637994,4,0.0,0.9735864137975818,13.183851307601069,7.834220764776467,13.630643122379885,0.03334951618891058,6.783995118390654,0.001,1.0,-0.03334951618891058,6.624171497910886,0.0001,2079,90.20775651752206
6.571073498824941,0.0,165.59228825081394,0.07554199223611167,25.200100806451612,7.834220764776467,0,1.3423998762184262,0.5833369401274258,6.678283459143558,0.5833369401274258,5,0.0,0.9727768570991551,14.286553992822693,7.802053986374971,13.41517252434901,0.03216677840149629,6.812248297979364,0.001,1.0,-0.03216677840149629,6.660288573489633,0.0001,1985,98.08475601319762
6.5908803591090654,0.0,165.15719623364757,0.10954480704219938,25.05814536340852,7.802053986374971,0,1.350656909247532,0.5849808886050373,6.698950752999925,0.5849808886050373,6,0.0,0.974868399713123,14.281018742011948,7.770499444181626,13.478705520280942,0.03155454219334519,6.834536331736205,0.001,1.0,-0.03155454219334519,6.680784991342233,0.0001,1996,98.33596028463768
6.617005136508944,0.0,168.6348403363003,0.0587336053069253,25.484956654767977,7.770499444181626,0,1.3440141749603731,0.5809510828568808,6.72430004977085,0.5809510828568808,7,0.0,0.9720485490378306,14.176813927925583,7.740327672958208,13.416877340908126,0.030171771223417743,6.857639663550801,0.001,1.0,-0.030171771223417743,6.706300585438492,0.0001,1962,97.8590633335036
6.645937732277629,0.0,172.15558465327248,0.15646281409779264,25.90409538621047,7.740327672958208,0,1.3383920459270242,0.5779074252051364,6.752558716240079,0.5779074252051364,8,0.0,0.9708769149988016,14.76839088859323,7.709205385728624,13.36200002393581,0.03112228722958399,6.883645628673918,0.001,1.0,-0.03112228722958399,6.734706203490726,0.0001,1930,102.41608193281994
6.686203419091588,0.0,183.54739476341558,0.5532418818266666,27.451400329489292,7.709205385728624,0,1.3070488325221246,0.5715267800752646,6.789356310303583,0.5715267800752646,9,0.0,0.9724755523720998,16.380949358419954,7.678579517956588,13.090069321444004,0.03062586777203613,6.912096582687832,0.001,1.0,-0.03062586777203613,6.772223153756761,0.0001,1822,113.92474619786474
6.7096294794359865,0.0,186.46062043752698,0.06869086423836619,27.78988326848249,7.678579517956588,0,1.3033111176775385,0.5691558979730797,6.81233308294623,0.5691558979730797,10,0.0,0.9715745405794123,16.59380624545727,7.649465452711165,13.052503418708271,0.02911406524542315,6.933655978317144,0.001,1.0,-0.02911406524542315,6.7952981369544485,0.0001,1800,115.64550576210424
6.727600869002576,0.0,184.1583491084102,0.09354248376788253,27.374041621029573,7.649465452711165,0,1.3165075078486437,0.5700741870723884,6.831688267255195,0.5700741870723884,11,0.0,0.9706276915522192,15.91962853218843,7.619847742470636,13.158033485596297,0.029617710240528616,6.955611906691981,0.001,1.0,-0.029617710240528616,6.814376695206403,0.0001,1827,111.31587476383065
6.747439313366973,0.0,184.64482930604643,0.1239014258575479,27.36527929901424,7.619847742470636,0,1.320839118078519,0.5710232867707628,6.851953047109154,0.5710232867707628,12,0.0,0.9725856878311636,16.6340575999523,7.59072610086032,13.188804736427683,0.02912164161031594,6.976382424777474,0.001,1.0,-0.02912164161031594,6.834560391757659,0.0001,1827,116.62724320620892
6.775158761632755,0.0,188.1915821766587,0.05528262613231971,27.777654252362424,7.59072610086032,0,1.315276108840353,0.5691007873723609,6.879014196272706,0.5691007873723609,13,0.0,0.9732552021219927,16.423472229657964,7.56097092684898,13.134667485936827,0.029755174011340202,7.001411970001404,0.001,1.0,-0.029755174011340202,6.861764052158217,0.0001,1800,115.57885582923903
