WeightMean,ConfortViolation,OmegaBefore,Primal,DualAfter,NormDeltaVar,WeightMedian,Epsilon,RewardMean,Eta,WeightMin,LossReg,Omega,DeltaOmega,ReturnsMean,Wins,DualBefore,TimestepsStd,WeightMax,NormDeltaOmega,Traj,RewardStd,DualReg,ReturnsStd,TimestepsMean,ITERATIONS
0.021559909397855747,0,[[0.8]],6.123527338614562,6.123528695783959,2.9077734999933433,0.04644270910680239,0.8001,2.32916,2.6062572818664265,0.021559909397855747,0.0,[[0.83059338]],[[0.03059338]],1165.8181818181818,0.0,7.278042059816236,0.0,1.0,0.03059338079557261,100,2.4119812798610187,0.0,50.00209362007939,500.0,0
0.020580260406596267,0,[[0.83059338]],6.214298652048216,6.214301271504063,3.3709937641578556,0.04474666705648689,0.8001,2.39248,2.575047907393314,0.020580260406596267,0.0,[[0.86126159]],[[0.03066821]],1196.7070707070707,0.0,7.247270731397816,0.0,1.0,0.03066821013568044,100,2.4817815072241953,0.0,63.822552697564404,500.0,1
0.019473246830063195,0,[[0.86126159]],6.270622742881794,6.270622741704837,2.287177350709591,0.042810538919345276,0.8001,2.44004,2.5388999376622814,0.019473246830063195,0.0,[[0.87930981]],[[0.01804822]],1219.2727272727273,0.0,7.1933254623391285,0.0,1.0,0.018048223329114044,100,2.5296096138337236,0.0,63.68702168374513,500.0,2
0.01887870148172054,0,[[0.87930981]],6.346388259645253,6.346388257297323,1.898593059533166,0.04176165443629928,0.8001,2.4916,2.519068785121224,0.01887870148172054,0.0,[[0.8927182]],[[0.01340839]],1245.3131313131314,0.0,7.1947430846552605,0.0,1.0,0.013408390539603632,100,2.5814277909715004,0.0,65.02534804347206,500.0,3
0.018326192075817618,0,[[0.8927182]],6.40972260860187,6.409722604555223,1.5250607103120153,0.040780992135832986,0.8001,2.53664,2.5003600634515326,0.018326192075817618,0.0,[[0.90252199]],[[0.00980379]],1267.5151515151515,0.0,7.196309992722627,0.0,1.0,0.009803785780096552,100,2.6237716193297005,0.0,65.7949621411766,500.0,4
0.018164154298367544,0,[[0.90252199]],6.435566627217189,6.435566622156907,0.8072301316566772,0.040492272042677066,0.8001,2.55112,2.494820023243585,0.018164154298367544,0.0,[[0.90738136]],[[0.00485937]],1276.6666666666667,0.0,7.199459421699705,0.0,1.0,0.0048593651966089,100,2.6441381857989192,0.0,71.32058792961723,500.0,5
0.01764872084191787,0,[[0.90738136]],6.471874207513595,6.471874200469758,0.8251375640679228,0.0395704133569036,0.8001,2.583,2.4770305135266786,0.01764872084191787,0.0,[[0.91212262]],[[0.00474126]],1292.3232323232323,0.0,7.190804943038418,0.0,1.0,0.004741263233368764,100,2.6665991449784876,0.0,71.74067049933043,500.0,6
0.01765276986586267,0,[[0.91212262]],6.486261375882043,6.486261368386272,0.32304156830169006,0.03957767588327514,0.8001,2.58996,2.4771712720457195,0.01765276986586267,0.0,[[0.91391834]],[[0.00179573]],1295.2323232323233,0.0,7.200778849501889,0.0,1.0,0.0017957251774247673,100,2.6764205944507307,0.0,55.86325806532678,500.0,7
0.017325959981807956,0,[[0.91391834]],6.5083017388084485,6.508303874280765,0.48210351277342767,0.03899041391219676,0.8001,2.61012,2.4657572126602956,0.017325959981807956,0.0,[[0.91653647]],[[0.00261813]],1305.8989898989898,0.0,7.195903327487343,0.0,1.0,0.002618129884274789,100,2.6894448471013495,0.0,61.96276088388439,500.0,8
0.017480043220023896,0,[[0.91653647]],6.523847784246594,6.523847782572226,0.18951359797485878,0.03926756774725419,0.8001,2.6154,2.4711521184677716,0.017480043220023896,0.0,[[0.91754569]],[[0.00100922]],1306.141414141414,0.0,7.218299622338812,0.0,1.0,0.001009218876917295,100,2.6983407568355777,0.0,77.78148751483482,500.0,9
