NormDeltaOmega,ConfortViolation,DualAfter,ReturnsMean,Eta,WeightMean,TimestepsMean,Omega,Epsilon,ReturnsStd,Traj,WeightMin,Primal,TimestepsStd,WeightMax,DualReg,LossReg,OmegaBefore,Wins,ITERATIONS,RewardMean,NormDeltaVar,DeltaOmega,WeightMedian,RewardStd,DualBefore
0.08602460094607067,0,6.62419042777524,1165.6565656565656,2.3179816110245803,0.013378610584210587,500.0,[[0.8860246]],1.0001,61.120209690819365,100,0.013378610584210587,6.624190011048675,0.0,1.0,0.0,0.0,[[0.8]],0.0,0,2.33384,9.492396115312697,[[0.0860246]],0.03170507684994303,2.414570532082258,7.491356086741968
0.046065797286534926,0,6.854420658940262,1261.030303030303,2.1766517033377015,0.010110181566582442,500.0,[[0.9320904]],1.0001,68.05070221258076,100,0.010110181566582442,6.8544200850908075,0.0,1.0,0.0,0.0,[[0.8860246]],0.0,1,2.52192,8.121289708805932,[[0.0460658]],0.025340032295515395,2.6088923921081912,7.392149300884201
0.01982029607826319,0,7.046810812017514,1333.7171717171718,2.0915006824960987,0.008385460963007609,500.0,[[0.95191069]],1.0001,74.94321626890648,100,0.008385460963007609,7.0468107462456855,0.0,1.0,0.0,0.0,[[0.9320904]],0.0,2,2.66748,5.230843366272268,[[0.0198203]],0.021818332364989895,2.7419100002735326,7.432703573535071
0.010364482407022035,0,7.169331458602221,1383.3131313131314,2.0286602922335812,0.0072311186671992185,500.0,[[0.96227518]],1.0001,76.98309488631699,100,0.0072311186671992185,7.16933395134775,0.0,1.0,0.0,0.0,[[0.95191069]],0.0,3,2.7656,3.622439021831198,[[0.01036448]],0.019380473833192826,2.82516134760477,7.471055848740304
0.00475341829503495,0,7.238836899897221,1409.1515151515152,1.9980764781186737,0.006705592266551763,500.0,[[0.9670286]],1.0001,75.39315989073793,100,0.006705592266551763,7.23883691881303,0.0,1.0,0.0,0.0,[[0.96227518]],0.0,4,2.81856,1.9943608515871105,[[0.00475342]],0.018245245612792,2.8705469037101627,7.507030812205166
0.0009868970334330207,0,7.247350545697148,1411.0707070707072,1.9941950740017638,0.0066405893688436446,500.0,[[0.96801549]],1.0001,75.97038930409138,100,0.0066405893688436446,7.247352405012752,0.0,1.0,0.0,0.0,[[0.9670286]],0.0,5,2.82248,0.44870052312442255,[[0.0009869]],0.018103614812515156,2.8788064626855348,7.510679581479896
0.0009698703332094993,0,7.2794437733091995,1426.020202020202,1.979275822207679,0.006394270460071882,500.0,[[0.96898536]],1.0001,69.65861629548503,100,0.006394270460071882,7.279440596116795,0.0,1.0,0.0,0.0,[[0.96801549]],0.0,6,2.8546,0.4541971331662751,[[0.00096987]],0.017564379072528447,2.8923863573181228,7.530653128234084
0.0013844765485704347,0,7.242969742254813,1410.4444444444443,1.9950970959902814,0.006655661840605049,500.0,[[0.96760089]],1.0001,76.44291753231933,100,0.006655661840605049,7.242971022549767,0.0,1.0,0.0,0.0,[[0.96898536]],0.0,7,2.82104,0.644308846565437,[[-0.00138448]],0.018136479888822277,2.8747683938710606,7.507552283837065
0.00014798409289262793,0,7.245905813007713,1412.6868686868686,1.9917159987245918,0.006599270668576155,500.0,[[0.9674529]],1.0001,72.93620381928729,100,0.006599270668576155,7.24590779047484,0.0,1.0,0.0,0.0,[[0.96760089]],0.0,8,2.82716,0.06728695003400986,[[-0.00014798]],0.018013443969848157,2.874224475297641,7.507816591055898
0.0003672779166364881,0,7.246614136015436,1410.7878787878788,1.995348656366267,0.0066598689894783025,500.0,[[0.96782018]],1.0001,79.1703536911467,100,0.0066598689894783025,7.246614878896291,0.0,1.0,0.0,0.0,[[0.9674529]],0.0,9,2.82208,0.16754600993084523,[[0.00036728]],0.018145650793324395,2.87755876979081,7.51140988496615
0.0018373266350620865,0,7.214242268601177,1399.2929292929293,2.0046055456836864,0.006815794846705481,500.0,[[0.96598285]],1.0001,84.59496516828459,100,0.006815794846705481,7.214241272048421,0.0,1.0,0.0,0.0,[[0.96782018]],0.0,10,2.80028,0.8203626191410152,[[-0.00183733]],0.018484734107052574,2.857235013365194,7.488071955900139
0.0004570986745351391,0,7.211566053619941,1399.0707070707072,2.0099163913998117,0.006906230294341116,500.0,[[0.96552575]],1.0001,67.80739993067598,100,0.006906230294341116,7.211565949218611,0.0,1.0,0.0,0.0,[[0.96598285]],0.0,11,2.79604,0.19744470706379502,[[-0.0004571]],0.0186806870503403,2.854694435206683,7.491491918741784
0.0010157368671573908,0,7.227742348899946,1404.4646464646464,2.0021933908051786,0.0067749551639657325,500.0,[[0.96654149]],1.0001,74.09294097039671,100,0.0067749551639657325,7.227742333764178,0.0,1.0,0.0,0.0,[[0.96552575]],0.0,12,2.80952,0.4422552270868323,[[0.00101574]],0.018396073680210987,2.8644925151935725,7.499736803013704
0.00017160452505338153,0,7.230365430720619,1404.949494949495,2.000733397982138,0.006750307786488568,500.0,[[0.9667131]],1.0001,65.04596257431872,100,0.006750307786488568,7.230360991451982,0.0,1.0,0.0,0.0,[[0.96654149]],0.0,13,2.81184,0.07599432076901991,[[0.0001716]],0.018342514044215007,2.8660976630952404,7.500863107114004
0.0008886432757893026,0,7.241831529886195,1411.2525252525252,1.9936029586711925,0.0066307064949840235,500.0,[[0.96760174]],1.0001,75.3918173941094,100,0.0066307064949840235,7.241833429978616,0.0,1.0,0.0,0.0,[[0.9667131]],0.0,14,2.8216,0.3996875127211794,[[0.00088864]],0.01808205740250823,2.874023910826074,7.504798176567408
0.0018454090650263932,0,7.209767280745327,1396.6262626262626,2.0106804208596594,0.006919299244843625,500.0,[[0.96575633]],1.0001,82.34916862300872,100,0.006919299244843625,7.209767229666235,0.0,1.0,0.0,0.0,[[0.96760174]],0.0,15,2.79272,0.818657193245528,[[-0.00184541]],0.01870896190361058,2.855548108787523,7.489781889981568
0.0005992195143377232,0,7.22411789119894,1402.2222222222222,2.0033326648922243,0.006794225640985779,500.0,[[0.96635555]],1.0001,82.96860250192438,100,0.006794225640985779,7.224118210826134,0.0,1.0,0.0,0.0,[[0.96575633]],0.0,16,2.80684,0.261055435018541,[[0.00059922]],0.018437921974448563,2.8623852316555856,7.497192916997429
0.00016690987260559176,0,7.2252877655786145,1404.080808080808,2.0014712064560536,0.006762756624012,500.0,[[0.96652246]],1.0001,85.83230970471432,100,0.006762756624012,7.225287774518645,0.0,1.0,0.0,0.0,[[0.96635555]],0.0,17,2.80836,0.07351493297886691,[[0.00016691]],0.018369570694622125,2.863493340379893,7.496239593338535
