Omega,ReturnsMean,Wins,ReturnsStd,Traj,NormDeltaOmega,DeltaOmega,NormDeltaVar,RewardMean,OmegaBefore,ITERATIONS,TimestepsStd,TimestepsMean,RewardStd,ConfortViolation
7.899999998510592,155.70599522789786,0.0,87.16614030775114,250,0.10000000148940824,-0.10000000148940824,0.31622776818629117,6.436259723375407,8.0,0,12.908723252126833,24.192,1.3433791795609755,0
7.7999194971696895,169.7822638074348,0.0,93.15359064522677,250,0.1000805013409023,-0.1000805013409023,0.28498277205516165,6.5240648558036725,7.899999998510592,1,13.685299558285159,26.024,1.311030278457672,0
7.699711956743107,195.78686674398907,0.0,110.37188032053027,250,0.10020754042658275,-0.10020754042658275,0.29152465511525905,6.634144305502476,7.7999194971696895,2,15.993806801384089,29.512,1.2496059341729315,0
7.599650387656892,218.47826820764877,0.0,107.58647888275912,250,0.10006156908621477,-0.10006156908621477,0.24720259723434393,6.723235727709526,7.699711956743107,3,15.421348319780602,32.496,1.205785251294608,0
7.50005801817251,258.0809989135136,0.0,144.95699144691918,250,0.0995923694843821,-0.0995923694843821,0.2419821554684509,6.828984941614988,7.599650387656892,4,20.488941797955306,37.792,1.1339400274052616,0
7.401318817045054,300.1250209710242,0.0,163.9584331007435,250,0.09873920112745616,-0.09873920112745616,0.20953668147060817,6.933215232189617,7.50005801817251,5,22.91927258880613,43.288,1.0740194635151745,0
7.301954939895222,314.230552443748,0.0,161.88057903021658,250,0.0993638771498313,-0.0993638771498313,0.21326686500207465,7.010319303135553,7.401318817045054,6,22.395022304074626,44.824,1.0670554244704,0
7.202898747229513,378.43723065037346,0.0,196.7364684092291,250,0.0990561926657092,-0.0990561926657092,0.20305234024351954,7.111343029359092,7.301954939895222,7,26.905935107332727,53.216,0.9927029412926354,0
7.10253470762535,355.08411652618287,0.0,162.1120330976583,250,0.1003640396041634,-0.1003640396041634,0.2031356645576863,7.164731971876168,7.202898747229513,8,21.95391536833464,49.56,1.0365653095666663,0
7.000975658950927,384.7608086339156,0.0,201.7118044606804,250,0.10155904867442267,-0.10155904867442267,0.21283292696155837,7.245420469906514,7.10253470762535,9,27.06520245629062,53.104,1.012187103450703,0
6.8987315464828605,450.60987484804633,1.6,228.3629946349739,250,0.10224411246806664,-0.10224411246806664,0.2150483233049371,7.341792799270828,7.000975658950927,10,30.236048419064286,61.376,0.9460810880575868,0
6.795319592581181,443.42736739880485,0.0,180.93106889612957,250,0.10341195390167979,-0.10341195390167979,0.22929907424639054,7.4013113800040875,6.8987315464828605,11,23.782351776054444,59.912,0.9733081376989375,0
6.690809637728331,510.5885211491238,0.0,192.21390686522105,250,0.10450995485284942,-0.10450995485284942,0.24324541985368106,7.490149647182311,6.795319592581181,12,25.05792840599558,68.168,0.922826408782729,0
6.585157436823163,555.8244198355566,0.8,233.02587802553023,250,0.10565220090516814,-0.10565220090516814,0.2551847365277012,7.574190829548086,6.690809637728331,13,30.04470908496203,73.384,0.8954279534808068,0
6.478370122713156,590.8610802536299,0.8,244.37654169808243,250,0.10678731411000708,-0.10678731411000708,0.25980558036187174,7.640181548743534,6.585157436823163,14,31.236374693616415,77.336,0.8800390680888891,0
6.3705125670486416,665.3938266596639,0.8,293.9666911029929,250,0.10785755566451449,-0.10785755566451449,0.271025014870593,7.716321396461452,6.478370122713156,15,37.37424482180209,86.232,0.8421369173543363,0
6.261634913657649,897.4670684596678,9.6,362.56110947556516,250,0.10887765339099253,-0.10887765339099253,0.26521319883317895,7.8192920859732675,6.3705125670486416,16,45.36586628733105,114.776,0.7080988596745997,0
6.151625230240307,1060.3658703938052,14.399999999999999,386.8611562640019,250,0.11000968341734207,-0.11000968341734207,0.2670600134779528,7.909872518901099,6.261634913657649,17,47.90696049636212,134.056,0.6443675589440299,0
6.040418873127546,1219.972978340192,26.400000000000002,377.415586452478,250,0.11120635711276083,-0.11120635711276083,0.25472539308122055,8.005492272167778,6.151625230240307,18,46.26409337704566,152.392,0.5671505420321832,0
5.928029074002547,1241.7405197463283,25.6,334.8797496300862,250,0.11238979912499936,-0.11238979912499936,0.22918097460590398,8.067441006667933,6.040418873127546,19,40.698619141194456,153.92,0.5724827120089256,0
5.814448002464227,1310.201768330258,31.2,310.9469399145925,250,0.11358107153832009,-0.11358107153832009,0.22392110538377902,8.138707997877168,5.928029074002547,20,37.40331193891792,160.984,0.5440570544285376,0
5.699741956733799,1364.6527520895559,39.2,321.21127945869216,250,0.11470604573042742,-0.11470604573042742,0.2266108671067654,8.212488277463505,5.814448002464227,21,38.415358595228554,166.168,0.509351022067555,0
5.584110409218814,1408.910263130922,51.2,332.73946195307406,250,0.11563154751498494,-0.11563154751498494,0.2248820497107955,8.285368032149286,5.699741956733799,22,39.38768457271892,170.048,0.4564653110723061,0
5.467247659107184,1490.1806134988717,63.2,305.52332298990797,250,0.11686275011162994,-0.11686275011162994,0.22788873505870585,8.365033980930436,5.584110409218814,23,35.79043537036118,178.144,0.39293478103186497,0
5.349854748233755,1577.6155072493675,73.6,237.60260148873542,250,0.11739291087342973,-0.11739291087342973,0.2155735590666437,8.4389737421333,5.467247659107184,24,27.50776006875151,186.944,0.3307781275472254,0
5.231027534643878,1650.788285754586,85.6,198.44819607752308,250,0.11882721358987691,-0.11882721358987691,0.21299414446111345,8.519406123583801,5.349854748233755,25,22.779336601402594,193.768,0.24694746098655004,0
5.111523256042475,1652.5500097417134,78.4,171.9565147247615,250,0.11950427860140245,-0.11950427860140245,0.19732222618083473,8.585567382282385,5.231027534643878,26,19.478644716714765,192.48,0.29732266296556775,0
