ITERATIONS,RewardStd,Traj,ConfortViolation,OmegaBefore,DeltaOmega,NormDeltaVar,Wins,ReturnsMean,RewardMean,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Omega
43,0.04631093320508106,250,0,3.162590081710473,-0.1216244512604372,0.14310541360357437,100.0,1905.359627403521,9.479401131360799,3.3379375397573714,201.0,0.0,0.1216244512604372,3.0409656304500357
44,0.0984093710211971,250,0,3.0409656304500357,-0.11898915134878552,0.12734869673167998,98.4,1906.7237181258508,9.513829824594099,50.45073885056341,200.416,5.032985595051907,0.11898915134878552,2.92197647910125
45,0.11230668150471106,250,0,2.92197647910125,-0.11826182260101836,0.1388781005582904,97.6,1910.6382966960412,9.553191483480205,75.26143726893672,200.0,7.612621099200984,0.11826182260101836,2.8037146565002318
46,0.18618283354575624,250,0,2.8037146565002318,-0.11675500834994068,0.14787614647483371,92.80000000000001,1918.920135795819,9.585781759760117,36.80916490868808,200.184,3.5897275662646044,0.11675500834994068,2.686959648150291
47,0.30456267762396483,250,0,2.686959648150291,-0.11442554740448685,0.13072150859866571,80.80000000000001,1871.5245563492276,9.608994066526469,156.88818481844197,194.768,15.861468280080505,0.11442554740448685,2.5725341007458042
48,0.36462180504824543,250,0,2.5725341007458042,-0.11088499297387866,0.11444958236379847,72.8,1855.135742666523,9.6340659673168,191.0604813446278,192.56,19.357851120411066,0.11088499297387866,2.4616491077719256
49,0.4271639837726525,250,0,2.4616491077719256,-0.11036019920773432,0.11419476507764881,63.2,1836.939962523036,9.655096094330986,176.07396432563988,190.256,17.70012610124572,0.11036019920773432,2.3512889085641913
50,0.42767664428386926,250,0,2.3512889085641913,-0.10845454060662796,0.10811616927327987,63.2,1848.8441315608445,9.681839817557837,185.19406825883988,190.96,18.56853252144606,0.10845454060662796,2.2428343679575633
51,0.45122240305277744,250,0,2.2428343679575633,-0.1063118999103616,0.10387548007106998,60.0,1816.3512884271893,9.700243999547068,235.25032813544345,187.248,23.665555053706218,0.1063118999103616,2.1365224680472017
52,0.45971478382810826,250,0,2.1365224680472017,-0.10501504459322097,0.10557492131648089,59.199999999999996,1800.123871754471,9.722831265147514,250.03564436843723,185.144,25.01094288506533,0.10501504459322097,2.0315074234539807
53,0.4012323300388795,250,0,2.0315074234539807,-0.10122179236195605,0.11177935750851568,68.8,1826.1570212092108,9.75094522217648,235.20116841174928,187.28,23.437952128972363,0.10122179236195605,1.9302856310920247
54,0.34130306071283556,250,0,1.9302856310920247,-0.0996692836022357,0.11886378898253182,76.8,1895.8955180079104,9.779916628878706,161.11403843664226,193.856,15.986346174157497,0.0996692836022357,1.830616347489789
55,0.38387724514955357,250,0,1.830616347489789,-0.09777424776267041,0.1143550610683896,71.2,1871.237698783139,9.79172439500554,222.6381753757189,191.104,22.161524857283627,0.09777424776267041,1.7328420997271186
56,0.35743202709645777,250,0,1.7328420997271186,-0.09413803428815193,0.11586803856682688,75.2,1869.8699109095353,9.813323489112937,258.04865074640384,190.544,25.752205031802617,0.09413803428815193,1.6387040654389666
57,0.3926474662976069,250,0,1.6387040654389666,-0.08899298644176046,0.11950997065947197,70.39999999999999,1857.121698804274,9.821883323483576,267.312730533789,189.08,26.667313325492692,0.08899298644176046,1.5497110789972062
58,0.4337549239902029,250,0,1.5497110789972062,-0.08140015006357659,0.11499996323536331,65.60000000000001,1770.389900978182,9.8298199983242,369.8235082209632,180.104,36.87336686553047,0.08140015006357659,1.4683109289336296
59,0.5356632594689738,250,0,1.4683109289336296,-0.07283452521732481,0.1147553710871606,48.0,1750.1149900462115,9.827689746440992,328.65260054728685,178.08,32.71442495291641,0.07283452521732481,1.3954764037163048
60,0.5418728137531471,250,0,1.3954764037163048,-0.06636241416265554,0.13134954915082403,49.6,1664.026912647515,9.837930477270934,450.0826529835836,169.144,44.94862916708362,0.06636241416265554,1.3291139895536492
61,0.577259259672851,250,0,1.3291139895536492,-0.059986285828599994,0.14157653277502877,44.800000000000004,1605.402596494194,9.838954920659654,447.0203124346059,163.168,44.54727574162084,0.059986285828599994,1.2691277037250492
62,0.6240705842453661,250,0,1.2691277037250492,-0.05610945994546168,0.15141409606310455,38.4,1532.5555180336269,9.841232906308608,521.1871616616739,155.728,52.078767420130056,0.05610945994546168,1.2130182437795876
63,0.6627895031767265,250,0,1.2130182437795876,-0.0517648680340721,0.1577961975324074,33.6,1463.5999240065296,9.841312022636698,523.5828426751281,148.72,52.2767405257826,0.0517648680340721,1.1612533757455155
64,0.6524312347832345,250,0,1.1612533757455155,-0.04881227789185805,0.16681130888530696,35.199999999999996,1477.4958093447435,9.849446758471174,516.7253473839734,150.008,51.54361198053548,0.04881227789185805,1.1124410978536574
65,0.6770946354204094,250,0,1.1124410978536574,-0.04693656091343068,0.17274603719582984,32.0,1441.034815574695,9.854981504915028,559.5704426247695,146.224,55.88242858001073,0.04693656091343068,1.0655045369402267
66,0.7205689625073498,250,0,1.0655045369402267,-0.04629312045355016,0.17775856232730364,25.6,1390.5262983722803,9.850152289274343,538.0735278319303,141.168,53.71699708658331,0.04629312045355016,1.0192114164866766
67,0.7893271903956803,250,0,1.0192114164866766,-0.044423661267863235,0.17828131571534744,17.599999999999998,1280.4328902307682,9.840400324552476,541.2876574572222,130.12,54.114190375538286,0.044423661267863235,0.9747877552188133
68,0.8733626248221826,250,0,0.9747877552188133,-0.04295806288117565,0.17212374554351959,10.4,1132.324634413993,9.823749257478424,528.4432250126146,115.264,52.8745146928083,0.04295806288117565,0.9318296923376377
69,0.9219001557909505,250,0,0.9318296923376377,-0.04141209026696702,0.16854453933511848,8.799999999999999,1033.2223730618746,9.817772454027693,518.1071724463202,105.24,51.83626529756942,0.04141209026696702,0.8904176020706707
70,0.898178820287882,250,0,0.8904176020706707,-0.039220896936553284,0.16934250871118067,8.799999999999999,1090.9927072445055,9.82734657386778,519.5745444753464,111.016,51.98107101628438,0.039220896936553284,0.8511967051341174
71,0.8994154469438409,250,0,0.8511967051341174,-0.039758551314144186,0.17199746799442686,12.0,1050.9969122386085,9.831221584212084,523.4325200484336,106.904,52.27059196144616,0.039758551314144186,0.8114381538199732
72,0.9611134552463886,250,0,0.8114381538199732,-0.03689637816535196,0.16910545531837903,9.6,942.5275152017758,9.818813184450535,506.0725605426473,95.992,50.55238803459239,0.03689637816535196,0.7745417756546212
73,1.0178284718191775,250,0,0.7745417756546212,-0.0348347562793524,0.16289511113292524,6.4,867.7997711808313,9.807863598336699,465.2383754113152,88.48,46.49190897349774,0.0348347562793524,0.7397070193752688
74,1.038632882420256,250,0,0.7397070193752688,-0.033144394654221254,0.15755403355767122,2.4,868.9115586876711,9.806242762365374,461.45337839013683,88.608,46.2218815713943,0.033144394654221254,0.7065626247210476
75,1.0435253591941447,250,0,0.7065626247210476,-0.03139508683943559,0.14932690213339933,2.4,861.7088519074348,9.809982375995386,437.37273786156777,87.84,43.78189580180374,0.03139508683943559,0.675167537881612
76,1.0875996467961266,250,0,0.675167537881612,-0.029645886326546855,0.1427899256723094,1.6,797.4914762695364,9.798155546853947,401.58742733044386,81.392,40.20724233269424,0.029645886326546855,0.6455216515550651
77,1.0881543873212167,250,0,0.6455216515550651,-0.026455314064187774,0.1415932639974424,4.0,777.7768493920303,9.800615541734254,426.34445361959854,79.36,42.60523911445633,0.026455314064187774,0.6190663374908774
78,1.1124963015568647,250,0,0.6190663374908774,-0.0244568024086671,0.13661843315281472,2.4,755.7209945725842,9.796238133524115,390.72220880893406,77.144,39.06439893304388,0.0244568024086671,0.5946095350822103
79,1.1032691576388447,250,0,0.5946095350822103,-0.022571481087565903,0.13143051700698502,3.2,763.6402580083331,9.803330825823318,419.6003566646002,77.896,41.92141676995185,0.022571481087565903,0.5720380539946444
80,1.171205308153697,250,0,0.5720380539946444,-0.021512400772545348,0.1231403325571613,0.8,691.0891496576343,9.783255232978966,360.59085116317425,70.64,36.09263636810146,0.021512400772545348,0.550525653222099
81,1.171473465469572,250,0,0.550525653222099,-0.020562647616573893,0.11964194146831794,0.8,690.8274810376113,9.783983132755656,348.1787712172474,70.608,34.85349818884756,0.020562647616573893,0.5299630056055251
82,1.1558053700535578,250,0,0.5299630056055251,-0.019381751786484824,0.11264392930017345,1.6,705.4893144586193,9.791934744317944,355.5367640920329,72.048,35.55252024821869,0.019381751786484824,0.5105812538190403
83,1.2113624050909264,250,0,0.5105812538190403,-0.01828096931333789,0.1052946526853545,0.0,649.9962681140236,9.774967939635822,324.18496220545734,66.496,32.472911541775865,0.01828096931333789,0.4923002845057024
84,1.1733283809111168,250,0,0.4923002845057024,-0.01714683890645452,0.099852076998884,0.8,689.8180426842104,9.789652058983458,318.1960274944634,70.464,31.833955205095076,0.01714683890645452,0.4751534455992479
85,1.2270666347184367,250,0,0.4751534455992479,-0.01605636990016812,0.09490386104097738,0.0,633.1640348373893,9.772256371733997,270.89986730261865,64.792,27.13383010192258,0.01605636990016812,0.45909707569907976
86,1.2234664974780645,250,0,0.45909707569907976,-0.01451719953075592,0.0909477031468142,0.0,637.4303275766355,9.775339338373136,322.011724479556,65.208,32.24339833206171,0.01451719953075592,0.44457987616832384
87,1.2360618094487246,250,0,0.44457987616832384,-0.013245944514352126,0.0878441290122283,0.8,619.1140599381747,9.772604810237635,321.966281358062,63.352,32.186023302048355,0.013245944514352126,0.4313339316539717
88,1.311421294007274,250,0,0.4313339316539717,-0.012674300756106593,0.08089313720824785,0.0,550.927853523155,9.746105532181485,235.16479020796416,56.528,23.543857288048617,0.012674300756106593,0.4186596308978651
89,1.2681780079342249,250,0,0.4186596308978651,-0.011769448447106867,0.07888381538443219,0.0,591.5567425998047,9.762951257588536,284.08738230642655,60.592,28.44421797132064,0.011769448447106867,0.40689018245075825
90,1.249444139639072,250,0,0.40689018245075825,-0.010908504003184272,0.07687283909408406,0.0,610.6594170742641,9.771176028454047,304.9533642897719,62.496,30.526742112449536,0.010908504003184272,0.395981678447574
91,1.275723854625267,250,0,0.395981678447574,-0.010442550685238083,0.0717058754666083,0.0,584.6891378722701,9.763043312053666,232.0921917727259,59.888,23.23418722486328,0.010442550685238083,0.3855391277623359
92,1.307221501339281,250,0,0.3855391277623359,-0.010382277815296936,0.06728796264072368,0.0,555.4139636663841,9.7523171032867,225.32733747165906,56.952,22.55441633028884,0.010382277815296936,0.37515684994703896
93,1.3378313136490383,250,0,0.37515684994703896,-0.008473689345923352,0.06268730869066381,0.0,528.910915294803,9.741250097517367,227.41045163306637,54.296,22.76489367425203,0.008473689345923352,0.3666831606011156
94,1.3503653355527456,250,0,0.3666831606011156,-0.00809980497479118,0.05730403100927019,0.0,518.7514984336344,9.737789053041643,218.341553801551,53.272,21.84797510068153,0.00809980497479118,0.35858335562632443
95,1.3095597656335354,250,0,0.35858335562632443,-0.0066407780864020105,0.052729557905174196,0.0,553.6793062705956,9.753369966717088,249.62112253082333,56.768,24.980996297185587,0.0066407780864020105,0.3519425775399224
96,1.3245921912287861,250,0,0.3519425775399224,-0.00600397152395421,0.05018527987339986,0.0,540.5190941529825,9.74821624139703,260.4881206023408,55.448,26.07111996060008,0.00600397152395421,0.3459386060159682
97,1.3023351641140555,250,0,0.3459386060159682,-0.005661504097377479,0.04841697181474413,0.0,560.3812823786806,9.757300501091388,280.03639565479966,57.432,28.026369297502665,0.005661504097377479,0.34027710191859073
98,1.3207165400512557,250,0,0.34027710191859073,-0.004946690198775028,0.04641533956757246,0.0,544.0157437684247,9.750784050910967,223.73720068064915,55.792,22.39010352812153,0.004946690198775028,0.3353304117198157
99,1.3520152031310577,250,0,0.3353304117198157,-0.004363321376626095,0.04441511078688877,0.8,513.5164328324802,9.738970429989383,245.85767243222568,52.728,24.54298302977859,0.004363321376626095,0.3309670903431896
100,1.37899848096347,250,0,0.3309670903431896,-0.003943970098969796,0.04171238672532091,0.0,496.41930793785923,9.729133504583318,208.77769790629344,51.024,20.893047264580627,0.003943970098969796,0.3270231202442198
101,1.3401593743742015,250,0,0.3270231202442198,-0.00315476066997622,0.03891145317565604,0.0,527.6106989344931,9.74458294426886,244.57607983315177,54.144,24.47421631023147,0.00315476066997622,0.3238683595742436
102,1.32586912318742,250,0,0.3238683595742436,-0.0028188050779993645,0.03697285263664824,0.0,539.7536717483679,9.74988568909624,231.8958973384206,55.36,23.201861994245203,0.0028188050779993645,0.3210495544962442
103,1.4026267508622938,250,0,0.3210495544962442,-0.0027253962066760007,0.03414096673444197,0.0,478.8726331239869,9.720538996508342,175.79170082068555,49.264,17.58869818946246,0.0027253962066760007,0.3183241582895682
104,1.3505975519201256,250,0,0.3183241582895682,-0.0025360465842209634,0.0318876843413907,0.0,519.106140111015,9.741520419438052,225.14352090024735,53.288,22.52742897003562,0.0025360465842209634,0.31578811170534726
105,1.3658079384812254,250,0,0.31578811170534726,-0.0015448172450500675,0.031036334825006687,0.0,506.85313818931104,9.735193957231695,214.24502006904163,52.064,21.437441638404522,0.0015448172450500675,0.3142432944602972
106,1.3599287447095985,250,0,0.3142432944602972,-0.001567712171580693,0.029661600685650734,0.0,511.60029026619577,9.738089886291224,197.54057577509346,52.536,19.765239791108026,0.001567712171580693,0.3126755822887165
107,1.3878508258128053,250,0,0.3126755822887165,-0.0013081681819382407,0.027806647290450744,0.0,489.9268770716726,9.726947209968085,174.8108195529867,50.368,17.48852698199594,0.0013081681819382407,0.31136741410677826
108,1.3924153828518582,250,0,0.31136741410677826,-0.0006050749239752684,0.026948177656498443,0.0,486.50486510497603,9.725429096133379,197.53229065657132,50.024,19.76520741100381,0.0006050749239752684,0.310762339182803
109,1.3665541890736685,250,0,0.310762339182803,-4.9983354651172984e-05,0.026601324009117376,0.0,506.31096184175544,9.735251535182192,194.07406982424595,52.008,19.41648619086368,4.9983354651172984e-05,0.3107123558281518
110,1.3532300654771623,250,0,0.3107123558281518,-0.0005522883379523447,0.025230859895454837,0.0,517.0409558021563,9.740786657915528,180.24896157147262,53.08,18.034899500690322,0.0005522883379523447,0.3101600674901995
111,1.377549020246973,250,0,0.3101600674901995,-0.0008944283565700539,0.024393569718703413,0.0,497.770361497062,9.7312003733395,206.673364859903,51.152,20.680834025735034,0.0008944283565700539,0.3092656391336294
112,1.3917940662239976,250,0,0.3092656391336294,-0.0010102517082086204,0.021962801226207383,0.0,487.09622348177516,9.726362289971549,189.53840463556656,50.08,18.965484438843106,0.0010102517082086204,0.3082553874254208
113,1.3426465394387317,250,0,0.3082553874254208,-0.0009955577770369706,0.02457116722060059,0.0,525.6559916999533,9.74447559876823,230.05162913706116,53.944,23.01905436806647,0.0009955577770369706,0.30725982964838383
114,1.3660455728288357,250,0,0.30725982964838383,-0.0011833169777887287,0.023454868701727763,0.0,506.82356039076507,9.736121876263354,238.75119310047586,52.056,23.891522848073123,0.0011833169777887287,0.3060765126705951
115,1.3259717641229207,250,0,0.3060765126705951,-0.0007092843088994938,0.022952269699647823,0.0,539.9308084130212,9.751676210320422,236.8875808686084,55.368,23.702332712203667,0.0007092843088994938,0.3053672283616956
116,1.392701368572848,250,0,0.3053672283616956,-0.00023593801201271525,0.02236038333266996,0.0,486.35856244163415,9.725615150408617,210.92634320103096,50.008,21.1022258541605,0.00023593801201271525,0.3051312903496829
117,1.3487299210087662,250,0,0.3051312903496829,-0.0009109230184133343,0.023532506070355466,0.0,520.7472179270015,9.743062751216163,229.63358417514726,53.448,22.976320332028802,0.0009109230184133343,0.30422036733126956
118,1.3598294645749633,250,0,0.30422036733126956,-0.000775883442993841,0.024679416241092392,0.0,511.8064658450901,9.739048292074328,221.022384475417,52.552,22.112966693774947,0.000775883442993841,0.3034444838882757
119,1.3968713301822249,250,0,0.3034444838882757,-0.000573624678087914,0.0216179076984659,0.0,483.3416689494578,9.724401837869342,172.5359361339391,49.704,17.264541233406696,0.000573624678087914,0.3028708592101878
120,1.3581521851468548,250,0,0.3028708592101878,-5.674975498431989e-05,0.019392173393962712,0.0,513.1662001022529,9.739716825505864,210.53859288540463,52.688,21.063870869334533,5.674975498431989e-05,0.3028141094552035
121,1.337785033746169,250,0,0.3028141094552035,-0.00010470897847608684,0.02090569416655866,0.0,529.8558211574606,9.74716374461848,251.26729761437196,54.36,25.136873313918738,0.00010470897847608684,0.3027094004767274
122,1.382567231106074,250,0,0.3027094004767274,-4.582579008222121e-05,0.01813318967280605,0.8,490.07333893429455,9.729855045550638,225.50175913892755,50.368,22.49107769761156,4.582579008222121e-05,0.3026635746866452
123,1.3628164446770146,250,0,0.3026635746866452,-0.0008508930633603917,0.021198141330272494,0.0,509.3801640339727,9.73734829549573,223.5157426529504,52.312,22.364048291845553,0.0008508930633603917,0.3018126816232848
124,1.3838075969279007,250,0,0.3018126816232848,-0.001426167213391616,0.0215207240762767,0.0,493.07317558725026,9.72914711103493,196.11389729588257,50.68,19.62186535475157,0.001426167213391616,0.30038651440989317
125,1.3008928044443315,250,0,0.30038651440989317,-0.00047418853753017354,0.022183539092261582,0.0,562.2494355576728,9.761274922876263,285.64934267199055,57.6,28.58279202597255,0.00047418853753017354,0.299912325872363
126,1.3345133741208244,250,0,0.299912325872363,-1.9873620276555926e-05,0.0218854397616364,0.0,532.6724448791026,9.748763632487238,234.12752943632395,54.64,23.42627584572503,1.9873620276555926e-05,0.29989245225208644
127,1.362868209224718,250,0,0.29989245225208644,-0.0005448152724610855,0.022693451022266265,0.0,509.40707728155354,9.73786277109561,227.17910455202815,52.312,22.734789552577784,0.0005448152724610855,0.29934763697962535
128,1.328793497696494,250,0,0.29934763697962535,-0.001096096956939685,0.018833319591080533,0.8,533.2677327049003,9.751092245189076,232.05345453253545,54.688,23.15319969248311,0.001096096956939685,0.29825154002268567
129,1.3719711148214928,250,0,0.29825154002268567,-0.0011092717673379382,0.016407761902696185,0.0,502.3458774534668,9.73538522196641,185.3285312333386,51.6,18.546805654883,0.0011092717673379382,0.29714226825534773
130,1.3730751996731814,250,0,0.29714226825534773,-0.0004693858684885477,0.01857251374047169,0.0,501.4396932116652,9.734424856570609,212.58952639228065,51.512,21.273313235131006,0.0004693858684885477,0.2966728823868592
131,1.3452925027211926,250,0,0.2966728823868592,-0.00036055974816501246,0.025051075875566996,0.0,523.638746319359,9.744654353121911,210.68648951279474,53.736,21.078574524858173,0.00036055974816501246,0.29631232263869417
132,1.3627149069994895,250,0,0.29631232263869417,-0.0007573509795201772,0.019983755428296238,0.0,509.5947446373567,9.738471652601985,219.44393817933542,52.328,21.957331714031195,0.0007573509795201772,0.295554971659174
