RewardMean,NormDeltaOmega,OmegaBefore,Wins,Omega,ReturnsStd,DeltaOmega,ITERATIONS,ReturnsMean,RewardStd,TimestepsStd,NormDeltaVar,Traj,TimestepsMean,ConfortViolation
6.36613071664184,0.10000000148899435,8.0,0.0,7.899999998511006,66.53217700191857,-0.10000000148899435,0,128.0356209731007,1.4626123301733305,9.891585110587686,0.3162277616589384,250,20.112,0
6.521130425992896,0.09708450215776043,7.899999998511006,0.0,7.802915496353245,99.12482740725045,-0.09708450215776043,1,167.14961507904988,1.3212639877332462,14.541821619040718,0.2815023492573484,250,25.632,0
6.6505569110081995,0.09642128902867686,7.802915496353245,0.0,7.706494207324568,133.67428842508542,-0.09642128902867686,2,217.2337909411718,1.1896857511585945,19.38120491610364,0.2860340149292537,250,32.664,0
6.737017211565856,0.09772369664645453,7.706494207324568,0.0,7.608770510678114,127.81958924083766,-0.09772369664645453,3,235.47222557864984,1.1641853594317253,18.324128792387373,0.26161683065985,250,34.952,0
6.816208107625317,0.09887467277937301,7.608770510678114,0.0,7.509895837898741,121.47276957603373,-0.09887467277937301,4,252.58140763616376,1.143232176650742,17.229418562447197,0.25739866441331277,250,37.056,0
6.906435790481564,0.0996648175079633,7.509895837898741,0.0,7.4102310203907775,136.98331016259743,-0.0996648175079633,5,277.97022769530207,1.1105616518884263,19.18485069006272,0.2592867074602676,250,40.248,0
7.003545987499205,0.09977450232150886,7.4102310203907775,0.0,7.310456518069269,174.32666140549995,-0.09977450232150886,6,310.9014134770647,1.0711163284240757,24.110709985398604,0.25642264269703774,250,44.392,0
7.087148512570999,0.10002164705133154,7.310456518069269,0.0,7.210434871017937,175.72600854891064,-0.10002164705133154,7,337.63175513888245,1.0458336677192077,24.043760105274714,0.24260702808725249,250,47.64,0
7.172437035557255,0.10061101246071225,7.210434871017937,0.0,7.109823858557225,169.1597375234314,-0.10061101246071225,8,377.0406700851738,1.007073150123103,22.92678294048251,0.20940183210016255,250,52.568,0
7.248806744760536,0.1017457462774276,7.109823858557225,0.0,7.008078112279797,158.3988739628018,-0.1017457462774276,9,389.69585059832644,1.0063915717191372,21.23483929772015,0.2022764027922992,250,53.76,0
7.324475286113901,0.10283764710553456,7.008078112279797,0.0,6.905240465174263,178.9117662322387,-0.10283764710553456,10,410.8151698475565,0.9951321669106223,23.774950178707,0.20187817586620693,250,56.088,0
7.392793449425957,0.1038329976563972,6.905240465174263,0.0,6.8014074675178655,159.6334004568501,-0.1038329976563972,11,418.25468219472293,1.0000891934512743,21.00752779362674,0.20622777133777137,250,56.576,0
7.478871140175582,0.10486020045482647,6.8014074675178655,0.0,6.696547267063039,171.7949103553238,-0.10486020045482647,12,455.97181567422484,0.973847286275276,22.369599370574342,0.21956309625911333,250,60.968,0
7.5555582329959545,0.10593700401199957,6.696547267063039,0.0,6.5906102630510395,199.12981738354634,-0.10593700401199957,13,488.3308397149945,0.9551917231357694,25.69997229570491,0.23138650615807238,250,64.632,0
7.616187385099112,0.1069600391306702,6.5906102630510395,0.0,6.483650223920369,162.57312407598232,-0.1069600391306702,14,469.82736741199403,0.9860808217201316,20.76513077252344,0.23359381474891106,250,61.688,0
7.700759179132956,0.10801088994565333,6.483650223920369,0.8,6.375639333974716,229.4835772274349,-0.10801088994565333,15,540.100445787669,0.9309425808842703,29.0669142497101,0.25198933270925633,250,70.136,0
7.791475968162085,0.10910500654580169,6.375639333974716,0.8,6.266534327428914,248.44871292519719,-0.10910500654580169,16,637.7790568498756,0.8713770464912605,31.228885090569594,0.2577709782076118,250,81.856,0
7.842016030748261,0.10983447798415646,6.266534327428914,0.0,6.156699849444758,222.78615065223627,-0.10983447798415646,17,603.897970495862,0.9082579154368295,27.746710363572834,0.26751494399853626,250,77.008,0
7.93627916006699,0.11068262568106135,6.156699849444758,2.4,6.046017223763696,336.51011396153905,-0.11068262568106135,18,725.6933663965256,0.8332142951621087,41.512484869012596,0.27490009411930433,250,91.44,0
8.012050570621865,0.11185215260210679,6.046017223763696,1.6,5.93416507116159,294.3220893070708,-0.11185215260210679,19,854.2768800419857,0.7825269509471542,36.04389856827366,0.2729318811763236,250,106.624,0
8.091458109139507,0.11315859255510663,5.93416507116159,8.799999999999999,5.821006478606483,351.353229542069,-0.11315859255510663,20,992.854275823854,0.7102411753225095,42.47296062202398,0.28770133630017236,250,122.704,0
8.191598424002526,0.11426174569391545,5.821006478606483,21.6,5.706744732912568,371.4660806748312,-0.11426174569391545,21,1198.2014846756974,0.6106725380114352,44.31891262203981,0.28737910357597773,250,146.272,0
8.269647389579704,0.11555967749954643,5.706744732912568,28.799999999999997,5.591185055413021,351.20876220919007,-0.11555967749954643,22,1303.7595288515781,0.5661630139268469,41.6528710174941,0.2810896211788924,250,157.656,0
8.334908424776463,0.11684872433339244,5.591185055413021,30.4,5.474336331079629,302.9233441322224,-0.11684872433339244,23,1352.0555050335383,0.5567764913846951,35.58664558510679,0.2552711209401578,250,162.216,0
8.398094062508958,0.11803621461169378,5.474336331079629,31.2,5.356300116467935,297.1606607519462,-0.11803621461169378,24,1388.036986651481,0.5539000213000843,34.79002155791226,0.24415135693838352,250,165.28,0
8.473211632274213,0.11935721323258885,5.356300116467935,38.4,5.236942903235346,309.1410771878547,-0.11935721323258885,25,1431.9049801612837,0.5228280565889192,35.79329456755833,0.2429163944671634,250,168.992,0
8.537556432927175,0.12011609764309661,5.236942903235346,38.4,5.1168268055922494,345.2904946061274,-0.12011609764309661,26,1389.7775863776174,0.5356504306862516,39.68507709454525,0.24078525759917968,250,162.784,0
