Omega,NormDeltaOmega,RewardMean,OmegaBefore,NormDeltaVar,RewardStd,TimestepsStd,ReturnsStd,Wins,Traj,DeltaOmega,ConfortViolation,ITERATIONS,ReturnsMean,TimestepsMean
7.89999999851075,0.10000000148925015,6.431555707277811,8.0,0.3162277683069791,1.3584921029237387,11.857597733099231,80.0408230102222,0.0,250,-0.10000000148925015,0,0,151.939072028731,23.624
7.799886800517254,0.10011319799349572,6.5076391041495265,7.89999999851075,0.286963338195247,1.347780975997944,10.846165036546328,73.78766548901154,0.0,250,-0.10011319799349572,0,1,159.77555528507918,24.552
7.703468087847963,0.09641871266929147,6.6611914574251,7.799886800517254,0.28904522338538213,1.1795632826601365,19.31780525836204,133.30903553098543,0.0,250,-0.09641871266929147,0,2,221.95089936140434,33.32
7.606237612594641,0.09723047525332174,6.748655787359291,7.703468087847963,0.2720265850490363,1.1328451967280324,17.234614472044335,120.1573133523789,0.0,250,-0.09723047525332174,0,3,249.6462748859949,36.992
7.508996948189484,0.09724066440515688,6.843839459944801,7.606237612594641,0.26051184161864627,1.0923392766946123,20.90858426579858,147.83377385053194,0.0,250,-0.09724066440515688,0,4,279.5571542598252,40.848
7.410474310227157,0.09852263796232741,6.9128429400803375,7.508996948189484,0.2429130852503596,1.0982577744096325,18.131078291155216,129.53044332129866,0.0,250,-0.09852263796232741,0,5,284.80912913130993,41.2
7.312202429240328,0.09827188098682882,7.0277006586266335,7.410474310227157,0.2161161506692881,1.010982421492399,26.190067124770792,189.4780745880723,0.0,250,-0.09827188098682882,0,6,352.28457861563595,50.128
7.212680945712409,0.09952148352791923,7.074126433954399,7.312202429240328,0.2037386937925428,1.065616898848269,17.13902494309405,125.03618613927513,0.0,250,-0.09952148352791923,0,7,323.76861862922493,45.768
7.112378357914674,0.10030258779773416,7.153086578833683,7.212680945712409,0.1990795156641715,1.0407576545168613,16.758042845153486,123.61896450565962,0.0,250,-0.10030258779773416,0,8,350.50124236285046,49.0
7.011180585012882,0.10119777290179233,7.251983852466098,7.112378357914674,0.19664529634514213,0.9999888888448458,22.272341951397927,166.0095925397831,0.0,250,-0.10119777290179233,0,9,395.0300644115333,54.472
6.909431290712242,0.10174929430063973,7.338722801256253,7.011180585012882,0.19836462318993314,0.9619110289696443,23.917324265059417,180.09460201246014,0.0,250,-0.10174929430063973,0,10,442.08466154767666,60.24
6.806419219370548,0.10301207134169399,7.403126096037466,6.909431290712242,0.19986707899328068,0.9780565515542121,23.708091445749062,180.0609860559767,0.0,250,-0.10301207134169399,0,11,438.85731497310104,59.28
6.702212236104999,0.10420698326554945,7.476388185279564,6.806419219370548,0.20826296360819352,0.9707790718546517,22.658014034773657,174.02031066852942,0.0,250,-0.10420698326554945,0,12,458.4521235213428,61.32
6.596805063105149,0.10540717299984959,7.541518632995686,6.702212236104999,0.2092188940070929,0.9834123372983212,27.278327221440833,211.24637706694338,0.0,250,-0.10540717299984959,0,13,458.5846650352016,60.808
6.490272915364478,0.10653214774067177,7.619245846853641,6.596805063105149,0.2255115354538016,0.9534620725657212,25.18378398890842,196.70991347470047,0.0,250,-0.10653214774067177,0,14,503.1140417594396,66.032
6.382697629483865,0.10757528588061227,7.6975039877541995,6.490272915364478,0.23702709737003425,0.9437214885764513,26.08734375132892,205.931438064641,0.8,250,-0.10757528588061227,0,15,524.4771317096203,68.136
6.273928302961324,0.10876932652254112,7.770707097754591,6.382697629483865,0.25280262293847394,0.917096565152502,29.893875225537425,237.96918409330377,0.0,250,-0.10876932652254112,0,16,576.3378040262625,74.168
6.16396253985381,0.10996576310751394,7.84222964159368,6.273928302961324,0.26227748429830755,0.9040166879644231,28.573099516853258,229.4790243237192,0.0,250,-0.10996576310751394,0,17,609.5608255817937,77.728
6.053158136143167,0.11080440371064348,7.933478121315637,6.16396253985381,0.256356935610543,0.8224832812613353,38.25359590940438,310.2832625383326,2.4,250,-0.11080440371064348,0,18,744.7949260291119,93.88
5.941093102819349,0.11206503332381779,8.001618739773066,6.053158136143167,0.27315513545104925,0.8109356353143042,37.90301391710163,309.7079525895146,2.4,250,-0.11206503332381779,0,19,786.2070508951425,98.256
5.82782058555543,0.11327251726391907,8.084252125497986,5.941093102819349,0.27777754061583876,0.7412318228323578,45.60273675997966,376.43655860916607,8.0,250,-0.11327251726391907,0,20,916.1074508614319,113.32
5.7133367675342,0.1144838180212302,8.175948773445812,5.82782058555543,0.29021477792328443,0.660381519805594,47.62351419204593,397.63913327961774,16.0,250,-0.1144838180212302,0,21,1090.148305656171,133.336
5.5975769091828065,0.11575985835139324,8.271027189857227,5.7133367675342,0.29348318060303136,0.5639332754056834,39.62711475744859,335.42217819989617,28.799999999999997,250,-0.11575985835139324,0,22,1310.3292115259412,158.424
5.480619096018583,0.11695781316422327,8.339791758576313,5.5975769091828065,0.2671855082919507,0.5092790090089159,35.35452989363598,301.4561517824997,40.0,250,-0.11695781316422327,0,23,1401.885635449644,168.096
5.362684482114539,0.11793461390404403,8.396211149009808,5.480619096018583,0.26011046714724734,0.5445700101078625,35.02812584195735,300.7568263726647,32.800000000000004,250,-0.11793461390404403,0,24,1396.121989857351,166.28
5.2446670244327755,0.11801745768176364,8.465417890152414,5.362684482114539,0.2536224437911859,0.5393182476491137,40.587695475353115,350.1385795187559,36.8,250,-0.11801745768176364,0,25,1369.907784656024,161.824
5.125880538963388,0.11878648546938742,8.531145819567854,5.2446670244327755,0.2403216499956739,0.49496153268820126,36.8750538982657,322.29659105426015,45.6,250,-0.11878648546938742,0,26,1446.1998393331426,169.52
5.00640605246751,0.11947448649587855,8.599720908020052,5.125880538963388,0.24365152350763972,0.4609218290216506,33.57929457269763,295.58220931096855,52.0,250,-0.11947448649587855,0,27,1515.0644306913407,176.176
