Primal,DeltaOmega,LossReg,Epsilon,DualReg,Omega,Wins,Eta,TimestepsStd,DualBefore,DualAfter,OmegaBefore,TimestepsMean,NormDeltaOmega,WeightMedian,WeightMin,ConfortViolation,WeightMax,WeightMean,RewardMean,NormDeltaVar,ReturnsMean,ITERATIONS,RewardStd,ReturnsStd,Traj
6.529827482390994,-0.03356634459240926,0.0,0.001,0.0001,7.966433655407591,0.0,13.684974426758037,11.798448507774188,6.675202177183212,6.511101043233919,8.0,23.17161410018553,0.03356634459240926,0.9735302935607842,0.5955173410412011,0,1.0,0.5955173410412011,6.419279084131359,0.2710022268949111,148.7446044654162,0,1.370007667530147,79.4034658845173,2159
6.566019128363205,-0.03230098923299973,0.0,0.001,0.0001,7.934132666174591,0.0,13.526187430401874,13.569402004216965,6.705655287815062,6.547725156438285,7.966433655407591,24.034632034632036,0.03230098923299973,0.9735866645632519,0.5908458990666643,0,1.0,0.5908458990666643,6.457517562552449,0.016894150007002093,155.20349576739525,1,1.352048128499431,91.71204352825082,2082
6.588767652239512,-0.03357906198462768,0.0,0.001,0.0001,7.900553604189963,0.0,13.57929638932581,13.153826379927796,6.729608212885396,6.570329710169709,7.934132666174591,23.957813998082454,0.03357906198462768,0.9732107638313993,0.5907289480202336,0,1.0,0.5907289480202336,6.479533296527365,0.018105255621519156,155.23580367172266,2,1.35917505992115,89.29124340086837,2089
6.620199236090374,-0.03257213481218102,0.0,0.001,0.0001,7.867981469377782,0.0,13.51094837085939,13.405818196806036,6.758316047585757,6.601946463480456,7.900553604189963,24.41124694376528,0.03257213481218102,0.9709619951026481,0.5866355913438476,0,1.0,0.5866355913438476,6.51181998432281,0.15298999873873034,158.95695360717568,3,1.3519647218202153,91.37309969642743,2048
6.646744717630845,-0.03277277993314076,0.0,0.001,0.0001,7.8352086894446415,0.0,13.4811876577156,13.122671854594765,6.783487368593313,6.62857227786381,7.867981469377782,24.683325086590795,0.03277277993314076,0.9752491636133289,0.5874659323548118,0,1.0,0.5874659323548118,6.538719153056734,0.12256118663096026,161.3811746202079,4,1.3492242816066111,89.7004622788937,2024
6.677785671168404,-0.03168746397885869,0.0,0.001,0.0001,7.803521225465783,0.0,13.350544684152293,13.944291037948842,6.810052065148916,6.659963786093087,7.8352086894446415,25.475,0.03168746397885869,0.973811992804865,0.5826479497607185,0,1.0,0.5826479497607185,6.571424599562468,0.06339743218982091,167.39994643662465,5,1.3345409278126843,95.56331343714672,1963
6.699770362932009,-0.03040924678088608,0.0,0.001,0.0001,7.773111978684897,0.0,13.414390682161303,14.459125200204845,6.833459350056628,6.681777575784439,7.803521225465783,25.359208523592084,0.03040924678088608,0.9698991887237574,0.5806834347896096,0,1.0,0.5806834347896096,6.592542715103393,0.013062332881306314,167.18595557263598,6,1.3429360996183444,99.49302924081893,1974
6.72668481318759,-0.03072582112250366,0.0,0.001,0.0001,7.742386157562393,0.0,13.357630600617915,15.685699138822411,6.858223061230767,6.708843987702355,7.773111978684897,25.73518804739825,0.03072582112250366,0.9705636950749694,0.5787430280692646,0,1.0,0.5787430280692646,6.620160273131628,0.12494758545051146,170.36046986848888,7,1.3369856141774128,108.31863882336951,1944
6.749084857782707,-0.030713844682834335,0.0,0.001,0.0001,7.711672312879559,0.0,13.404541040485226,15.229075578756333,6.881503666247834,6.731118472570337,7.742386157562393,25.664953751284685,0.030713844682834335,0.9729829905071182,0.5802306792724258,0,1.0,0.5802306792724258,6.641913474975434,0.038614506339064186,170.45756017526418,8,1.3433788317098172,105.5115939791869,1949
6.776221744134451,-0.03081354826048255,0.0,0.001,0.0001,7.680858764619076,0.0,13.35167377672449,15.35802199934334,6.906617755124594,6.7583968140276385,7.711672312879559,26.109717868338556,0.03081354826048255,0.9726393456484621,0.5777572325794904,0,1.0,0.5777572325794904,6.669702201057918,0.02105779865881045,174.1456130857475,9,1.3379008906307182,106.77577124958002,1917
6.803489225991681,-0.030278125942868606,0.0,0.001,0.0001,7.650580638676208,0.0,13.28525766830825,15.742839886621153,6.931414774470747,6.785841209600722,7.680858764619076,26.574468085106382,0.030278125942868606,0.9696184849289582,0.5734149625190739,0,1.0,0.5734149625190739,6.69779360066922,0.049484346288535444,177.98790335463968,10,1.330850194124671,109.84763355925256,1883
6.825483900582759,-0.029128867418246607,0.0,0.001,0.0001,7.621451771257961,0.0,13.254390413191103,15.98601206731466,6.952291737154607,6.807917812217047,7.650580638676208,26.880043033889187,0.029128867418246607,0.9723472922653373,0.5734344119959964,0,1.0,0.5734344119959964,6.720160465045525,0.11377169568518225,180.6397324759146,11,1.3277996155745857,111.72991230332931,1862
6.851988884587026,-0.030024051161803733,0.0,0.001,0.0001,7.591427720096157,0.0,13.21754465734437,16.35673588136147,6.977112574567533,6.834520327186343,7.621451771257961,27.220163487738418,0.030024051161803733,0.9744564763842765,0.5727808076748047,0,1.0,0.5727808076748047,6.747100999973582,0.12233615006238781,183.65550215967775,12,1.3243273879518735,114.81043217881117,1838
6.8757318341471025,-0.02857655968540307,0.0,0.001,0.0001,7.562851160410754,0.0,13.187404712881902,16.063089657851172,6.999615944099707,6.858342862995633,7.591427720096157,27.533627342888643,0.02857655968540307,0.9714873166360406,0.5693612401620594,0,1.0,0.5693612401620594,6.771199927421332,0.028374302744389124,186.4376279454946,13,1.3214854829604679,113.0364692011159,1817
