WeightMin,RewardMean,DeltaOmega,Primal,Traj,ReturnsMean,TimestepsStd,Epsilon,WeightMedian,WeightMax,RewardStd,NormDeltaVar,OmegaBefore,WeightMean,NormDeltaOmega,DualBefore,Eta,Omega,DualAfter,Wins,ITERATIONS,LossReg,ReturnsStd,ConfortViolation,DualReg,TimestepsMean
0.5975004549168297,6.414931704958323,-0.034122296216118286,6.526879254781024,2201,145.73785709638082,12.135454079683813,0.001,0.9732141201512267,1.0,1.3826737387664176,0.15527727595412336,8.0,0.5975004549168297,0.034122296216118286,6.675610563505409,13.79021644276696,7.965877703783882,6.507863665565015,0.0,0,0.0,81.75397307542903,0,0.0001,22.71929026387625
0.5935769951270525,6.44553621977805,-0.03305734347192946,6.557174994898832,2175,148.2389105851546,12.010047937212162,0.001,0.9697458963662476,1.0,1.3804980940215357,0.06934079937833414,7.965877703783882,0.5935769951270525,0.03305734347192946,6.704236466567926,13.763514990946483,7.932820360311952,6.53823295286617,0.0,1,0.0,81.29646158630071,0,0.0001,22.999079189686924
0.5930783235722024,6.47385962299449,-0.03198574282432176,6.584893735000158,2141,151.2638671713785,13.140275508591978,0.001,0.9723586541081883,1.0,1.3755184173844075,0.15774305875206346,7.932820360311952,0.5930783235722024,0.03198574282432176,6.729949632144768,13.715246606768009,7.9008346174876305,6.56608432830254,0.0,2,0.0,89.1938967290791,0,0.0001,23.36529466791394
0.5936285118735459,6.502487010955278,-0.03313857690377109,6.613481675674486,2125,153.05274721705126,12.682325491805303,0.001,0.9754403089820689,1.0,1.3757382652749932,0.06796211791367786,7.9008346174876305,0.5936285118735459,0.03313857690377109,6.7576484104618935,13.709043142438341,7.867696040583859,6.59468963989232,0.0,3,0.0,86.47016510189077,0,0.0001,23.538171536286523
0.5898403119757022,6.530339696151662,-0.032984358589154716,6.640849368622206,2096,155.56412878587952,12.695798535944729,0.001,0.9724381532629819,1.0,1.3718503693780904,0.0211985156846123,7.867696040583859,0.5898403119757022,0.032984358589154716,6.783242622909075,13.669571776112623,7.834711681994705,6.6221654080928944,0.0,4,0.0,86.83062508584536,0,0.0001,23.824653607262302
0.5895769222235528,6.556980157994658,-0.032748043731164245,6.667520065776717,2081,157.5662993262161,12.856130478964666,0.001,0.9738497019089096,1.0,1.3726286739378757,0.13211048406058057,7.834711681994705,0.5895769222235528,0.032748043731164245,6.809410376657844,13.668982757541427,7.8019636382635404,6.64883771301383,0.0,5,0.0,88.3121823421239,0,0.0001,24.03079884504331
0.586315958612315,6.5864694561173724,-0.03222673134651899,6.696205352818602,2044,161.27019261422186,13.354139968838387,0.001,0.9725427409625643,1.0,1.3658811428470083,0.0962882295468364,7.8019636382635404,0.586315958612315,0.03222673134651899,6.835448579970567,13.605002369691775,7.7697369069170215,6.677697504172686,0.0,6,0.0,92.06839182623628,0,0.0001,24.484566389024987
0.5882648024023445,6.60469914424898,-0.03173104954285755,6.715680305423982,2067,159.87934234378207,12.890099861857196,0.001,0.9741404075437002,1.0,1.3775552671481877,0.08872255635763321,7.7697369069170215,0.5882648024023445,0.03173104954285755,6.857555826022404,13.696985940425469,7.738005857374164,6.6969213076161305,0.0,7,0.0,89.0558504431217,0,0.0001,24.20736434108527
0.5837351438283219,6.639654575587173,-0.03071526177967332,6.74839719215597,1992,166.8185855106211,13.989232682961887,0.001,0.9747016335144408,1.0,1.3577791330084668,0.09808995407246668,7.738005857374164,0.5837351438283219,0.03071526177967332,6.884319158006321,13.5242194561965,7.707290595594491,6.730108506155901,0.0,8,0.0,97.02478832741855,0,0.0001,25.12569130216189
0.5801226944978992,6.666275098271961,-0.030509479529485795,6.774460094839451,1961,170.0735479408402,14.876220747537067,0.001,0.9720059491228931,1.0,1.3531946963680157,0.05159997788795753,7.707290595594491,0.5801226944978992,0.030509479529485795,6.908459839562997,13.478833676915375,7.676781116065005,6.75629396100458,0.0,9,0.0,103.51842108951762,0,0.0001,25.512257405515832
0.5766698957404707,6.697282489128046,-0.03017420329438547,6.803894575886374,1906,175.86033876430787,14.74254086515317,0.001,0.9726258896612062,1.0,1.3392941025966445,0.050108461155361154,7.676781116065005,0.5766698957404707,0.03017420329438547,6.933850278832846,13.355621543698266,7.646606912770619,6.786059092145249,0.0,10,0.0,102.94504276052105,0,0.0001,26.258539148712558
0.5766032542367644,6.718484587726126,-0.029028793198574654,6.825235550806231,1898,176.96029278125815,15.075520389509457,0.001,0.9737372876386292,1.0,1.3409813512841402,0.16632113359517042,7.646606912770619,0.5766032542367644,0.029028793198574654,6.955032819413058,13.363887023528404,7.617578119572045,6.8073779746694285,0.0,11,0.0,105.58174984025739,0,0.0001,26.339841688654353
0.574278005685838,6.745586543731605,-0.02996409966014557,6.851399545648051,1861,181.20171021191908,15.664974619812517,0.001,0.9744175535326943,1.0,1.3328239285482617,0.37734920867829147,7.617578119572045,0.574278005685838,0.02996409966014557,6.978671735228658,13.289127034489738,7.587614019911899,6.833741238339552,0.0,12,0.0,109.90917582811407,0,0.0001,26.86329386437029
0.5663144056110083,6.778268548771515,-0.028831481567960893,6.881637598116096,1786,190.0177386154779,16.326881166054548,0.001,0.9700602603034542,1.0,1.3108109174119695,0.10596563303279208,7.587614019911899,0.5663144056110083,0.028831481567960893,7.002966754657399,13.096610012897226,7.558782538343938,6.86448729239256,0.0,13,0.0,114.99923943316888,0,0.0001,28.03309029725182
