Epsilon,RewardMean,TimestepsMean,ReturnsStd,ConfortViolation,DeltaOmega,Omega,DualReg,Traj,NormDeltaOmega,LossReg,WeightMedian,ReturnsMean,Eta,Primal,RewardStd,WeightMin,ITERATIONS,Wins,TimestepsStd,WeightMean,OmegaBefore,DualAfter,WeightMax,NormDeltaVar,DualBefore
0.001,6.418034795416304,23.055837563451778,84.34303091061146,0,-0.03314119719211828,7.966858802807882,0.0001,2170,0.03314119719211828,0.0,0.9724517089794338,147.96449826566771,13.706150534861658,6.528864155742314,1.3725553140877467,0.595318409125958,0,0.0,12.527519198377757,0.595318409125958,8.0,6.510079711461932,1.0,0.02603099787870103,6.67488770651943
0.001,6.443665302952135,23.033179723502304,82.82438237397703,0,-0.03389441606312449,7.932964386744757,0.0001,2173,0.03389441606312449,0.0,0.9725230568532913,148.4138110973611,13.753318847332778,6.555161737792954,1.3791274839141827,0.5951585484789864,1,0.0,12.242021968242225,0.5951585484789864,7.966858802807882,6.536247763330043,1.0,0.08023083130026962,6.702115363707709
0.001,6.4780584765201334,23.65309985802177,86.72783149088649,0,-0.033743218960024635,7.899221167784733,0.0001,2116,0.033743218960024635,0.0,0.9736555916491556,153.22658586958335,13.651113064516423,6.58824344857975,1.3678332874242078,0.5924680074918239,2,0.0,12.767510867101954,0.5924680074918239,7.932964386744757,6.569609560032423,1.0,0.0305291226790221,6.731316365720563
0.001,6.507354659149759,23.939147101102062,88.66356359500328,0,-0.03371360489231634,7.865507562892416,0.0001,2090,0.03371360489231634,0.0,0.9751795243708016,155.77101913693812,13.614295443354104,6.617094141163816,1.3643430846408136,0.5914213158731425,3,0.0,13.006122027619757,0.5914213158731425,7.899221167784733,6.598561012754707,1.0,0.22152103827921885,6.758393513392372
0.001,6.535059315642144,24.074843070980204,88.8461229722623,0,-0.03292499828733675,7.8325825646050795,0.0001,2074,0.03292499828733675,0.0,0.9735715339846458,157.31745212092395,13.618624451655156,6.644898696640136,1.3658137337704226,0.5893518007971568,4,0.0,12.982389723687636,0.5893518007971568,7.865507562892416,6.626353773537901,1.0,0.06602526850410419,6.785669771140106
0.001,6.559098118518392,24.29377431906615,90.09671381614174,0,-0.031234806260213688,7.801347758344866,0.0001,2059,0.031234806260213688,0.0,0.973723558428936,159.34467219700517,13.61087268829161,6.6688681625799875,1.3656228373454509,0.5882902623847419,5,0.0,13.123896290656246,0.5882902623847419,7.8325825646050795,6.65034434661971,1.0,0.43416694583727766,6.809011044983728
0.001,6.594113262036225,25.220090863200404,99.85631405034422,0,-0.031011225351683436,7.770336532993182,0.0001,1984,0.031011225351683436,0.0,0.974162472967259,166.30654218245917,13.446059749234339,6.701760509418625,1.3468466971267565,0.5837829387969659,6,0.0,14.510662764447591,0.5837829387969659,7.801347758344866,6.683682648062704,1.0,0.16527633877348616,6.836258452387029
0.001,6.616279800534865,25.36497461928934,98.1988698979788,0,-0.030315704639289898,7.7400208283538925,0.0001,1973,0.030315704639289898,0.0,0.9724188166215508,167.81857724280167,13.441149988400358,6.723893049040615,1.3469389091383603,0.5817115551029542,7,0.0,14.215144980856403,0.5817115551029542,7.770336532993182,6.705828387270979,1.0,0.05051997520161525,6.857911483003561
0.001,6.6456146733803285,25.928905033731187,100.03615481472507,0,-0.03032846824743274,7.70969236010646,0.0001,1930,0.03032846824743274,0.0,0.9723816444164709,172.30703691200145,13.35293259565636,6.752114939163775,1.337252011848053,0.5786324690455459,8,0.0,14.434240772862198,0.5786324690455459,7.7400208283538925,6.734286655362726,1.0,0.024165062690362497,6.883028984226207
0.001,6.675373060178051,26.680384820951364,105.47821462851687,0,-0.030662555491833388,7.679029804614626,0.0001,1874,0.030662555491833388,0.0,0.9738031411585997,178.09952964105636,13.232359035944956,6.780346637672942,1.3237156684498335,0.5757436005448363,9,0.0,15.173975409528776,0.5757436005448363,7.70969236010646,6.76283891716121,1.0,0.12419158348495843,6.907301997704997
