RewardStd,RewardMean,NormDeltaOmega,Omega,DeltaOmega,TimestepsMean,ConfortViolation,ITERATIONS,ReturnsStd,OmegaBefore,NormDeltaVar,Wins,Traj,ReturnsMean,TimestepsStd
1.3685151765772234,6.4231933740960425,0.10000000148929988,7.8999999985107,-0.10000000148929988,23.248,0,0,81.48422039199863,8.0,0.3162277681673198,0.0,250,149.32639956098487,12.07917613084601
1.3076855912649044,6.528784967101854,0.09993386817486716,7.800066130335833,-0.09993386817486716,26.2,0,1,98.59894197142305,7.8999999985107,0.2968405516609339,0.0,250,171.05416613806858,14.457938995583016
1.2267988233220743,6.641630733317251,0.09962294888339418,7.700443181452439,-0.09962294888339418,30.664,0,2,104.97920058381226,7.800066130335833,0.29763032028018793,0.0,250,203.65896480644017,15.202601882572601
1.1499042685838812,6.743740297901699,0.09797133491368637,7.602471846538752,-0.09797133491368637,35.904,0,3,129.6998052884491,7.700443181452439,0.2804298162927807,0.0,250,242.1272516558626,18.587059584560436
1.07844344981122,6.852075922143464,0.09758502690467807,7.504886819634074,-0.09758502690467807,42.0,0,4,147.70703531521596,7.602471846538752,0.2766123798855536,0.0,250,287.78718873002543,20.881762377730478
1.0824394293401545,6.923197770093286,0.09858272215890196,7.406304097475172,-0.09858272215890196,42.548,0,5,135.80736497677833,7.504886819634074,0.2618520531225492,0.0,250,294.5682187219291,18.97281465676614
1.0412138438622163,7.016169302359436,0.09934996929942663,7.306954128175746,-0.09934996929942663,47.136,0,6,143.4317750045171,7.406304097475172,0.2593858977975325,0.0,250,330.7141562360144,19.826787536058383
1.048824539394982,7.087539936219274,0.1004118916186787,7.206542236557067,-0.1004118916186787,47.396,0,7,149.69033966718675,7.306954128175746,0.23145627051006074,0.0,250,335.9210428170487,20.48353446063447
1.0088515116509642,7.178578286968257,0.1011646495152867,7.10537758704178,-0.1011646495152867,52.504,0,8,169.87648087273897,7.206542236557067,0.21440464993623243,0.0,250,376.90407437898136,22.991171870959516
1.0260900904387433,7.243609960079682,0.10215361274596013,7.00322397429582,-0.10215361274596013,51.628,0,9,162.0345794362027,7.10537758704178,0.20545519425544925,0.0,250,373.97309501899383,21.730568699415116
1.0034449603389752,7.323755619578729,0.10313437398042424,6.900089600315396,-0.10313437398042424,55.164,0,10,148.22736131924822,7.00322397429582,0.20416359961889624,0.0,250,404.00765499844096,19.66298817575803
0.9813984177932211,7.409915085998714,0.10412277143957915,6.795966828875817,-0.10412277143957915,58.952,0,11,181.18298560392577,6.900089600315396,0.21240581649742404,0.0,250,436.82931414979606,23.799615459078325
0.956074421205088,7.48916402462946,0.10499158217079074,6.690975246705026,-0.10499158217079074,63.444,0,12,207.502782085586,6.795966828875817,0.2251318810834207,0.0,250,475.1425223785915,27.01256863017658
0.969351399782914,7.553658324753684,0.1058857877294539,6.585089458975572,-0.1058857877294539,62.764,0,13,180.30216730395688,6.690975246705026,0.2316321695485345,0.0,250,474.09781109484027,23.266892873780975
0.9542068711319022,7.627060134549703,0.10691663341263702,6.478172825562935,-0.10691663341263702,66.016,0,14,203.50737957193851,6.585089458975572,0.24611783990078953,0.0,250,503.50800184243315,25.990762666762976
0.9238304166434773,7.707910152606353,0.10801067571019907,6.370162149852736,-0.10801067571019907,71.336,0,15,240.4163354126732,6.478172825562935,0.25578688870859395,0.8,250,549.8514786463269,30.434176578314055
0.8926087963938466,7.786129400925945,0.10902541411148459,6.2611367357412515,-0.10902541411148459,77.988,0,16,256.18722788563275,6.370162149852736,0.2659367547369782,0.8,250,607.2246597194126,32.10675717041508
0.8796781895811326,7.85633052126751,0.11017971819609151,6.15095701754516,-0.11017971819609151,81.716,0,17,249.28800400541778,6.2611367357412515,0.27463772186802843,0.8,250,641.9879048758957,30.981080420153198
0.8084279141192028,7.943079104669607,0.11124007009105696,6.039716947454103,-0.11124007009105696,97.82,0,18,297.5933889290225,6.15095701754516,0.2727471745393885,2.0,250,776.9919980187809,36.67669014510442
0.7514593057499962,8.024119916561546,0.11234646582130559,5.9273704816327974,-0.11234646582130559,109.472,0,19,345.9394138200834,6.039716947454103,0.2790384262359219,7.199999999999999,250,878.4164555058255,42.1451920864053
0.6673487430739437,8.110094022584104,0.11307041919661831,5.814300062436179,-0.11307041919661831,135.596,0,20,344.84736054171543,5.9273704816327974,0.28878524700499636,11.600000000000001,250,1099.6963090863142,41.599336340860056
0.6091882867808659,8.19556598466304,0.114312996065836,5.699987066370343,-0.114312996065836,147.832,0,21,360.3370497558675,5.814300062436179,0.2816929664006036,21.2,250,1211.5669106447062,42.927890421030476
0.48458691628125455,8.293274297057243,0.11562541996266607,5.584361646407677,-0.11562541996266607,167.476,0,22,343.0334574215307,5.699987066370343,0.2850564018133798,45.2,250,1388.9244061739591,40.44840446791443
0.40504530737106653,8.36595354688733,0.11692593673362772,5.467435709674049,-0.11692593673362772,179.448,0,23,285.72648281181847,5.584361646407677,0.2744489293890434,60.4,250,1501.2536320818378,33.36823783180646
0.4436134429902551,8.419049276147662,0.1180927515799155,5.349342958094134,-0.1180927515799155,177.276,0,24,293.6675044938549,5.467435709674049,0.25838457206716675,53.6,250,1492.4953794783526,34.167701473760275
0.4663145123381274,8.48535612253009,0.11887913652345361,5.23046382157068,-0.11887913652345361,172.7,0,25,318.82726053964524,5.349342958094134,0.24184653343507295,50.4,250,1465.4210023609464,36.844673970602585
0.4197087179698034,8.554019300696512,0.11941381955308206,5.111050002017598,-0.11941381955308206,181.384,0,26,284.18550190713546,5.23046382157068,0.23958491381088207,58.8,250,1551.5622368375361,32.56287063512675
