RewardStd,NormDeltaOmega,Wins,ConfortViolation,NormDeltaVar,Omega,OmegaBefore,ITERATIONS,ReturnsStd,RewardMean,DeltaOmega,TimestepsStd,ReturnsMean,TimestepsMean,Traj
1.3697526407096385,0.1000000014890512,0.0,0,0.3162277424519301,7.899999998510949,8.0,0,98.55639519025571,6.417027521160252,-0.1000000014890512,14.624035010899012,148.61835739007142,23.16,250
1.337458234365296,0.09957958024075708,0.0,0,0.2735437375395056,7.800420418270192,7.899999998510949,1,85.10103860783084,6.512135053953169,-0.09957958024075708,12.492813934418459,162.54289094667112,24.96,250
1.1984498552155332,0.09744974974665244,0.0,0,0.2834719693340363,7.702970668523539,7.800420418270192,2,109.3083396216509,6.648901587778582,-0.09744974974665244,15.864962149340288,213.93505748836364,32.176,250
1.1913474339743542,0.09809848943891719,0.0,0,0.27345167981870067,7.604872179084622,7.702970668523539,3,127.95043274399215,6.729444381411634,-0.09809848943891719,18.333696190348526,224.2789223436869,33.328,250
1.089424261560675,0.09748757800825736,0.0,0,0.2659426801325276,7.507384601076365,7.604872179084622,4,161.72476071946727,6.844590247976779,-0.09748757800825736,22.845428426711546,281.17576738688604,41.08,250
1.061339642705582,0.09593333123328929,0.0,0,0.24513941646127219,7.4114512698430755,7.507384601076365,5,159.52469820337,6.9327726105861585,-0.09593333123328929,22.336429795291817,307.4823308247173,44.352,250
1.0697512868820396,0.09770805427146456,0.0,0,0.24451741453872908,7.313743215571611,7.4114512698430755,6,124.93393464489283,6.997285873631456,-0.09770805427146456,17.286528396413203,311.07134079816,44.456,250
1.0252045980026594,0.09905330440421611,0.0,0,0.23707220649999922,7.214689911167395,7.313743215571611,7,145.22099638654498,7.090628476745714,-0.09905330440421611,19.881006010763137,351.9787975856572,49.64,250
1.0600677139652077,0.10004326072035763,0.0,0,0.21754127073982832,7.114646650447037,7.214689911167395,8,151.36788617395476,7.150328490860613,-0.10004326072035763,20.544735189337437,337.38109951276715,47.184,250
1.0024840034225169,0.10101886699565199,0.0,0,0.20620249700026405,7.013627783451385,7.114646650447037,9,174.67923787350307,7.247578087858302,-0.10101886699565199,23.43184294928591,392.4128679889999,54.144,250
0.9979004329645955,0.1022498674272736,0.0,0,0.2037324752594466,6.911377916024112,7.013627783451385,10,176.94229094041123,7.319003717053784,-0.1022498674272736,23.546583616312578,407.52212696555466,55.68,250
0.9582783100124443,0.10308255561311519,0.0,0,0.21017458030589758,6.808295360410996,6.911377916024112,11,198.83242137307064,7.410514583790936,-0.10308255561311519,26.172882454937977,458.2069377449612,61.832,250
0.9590452932961575,0.10429091156388726,0.0,0,0.22471419665018222,6.704004448847109,6.808295360410996,12,207.80510806065982,7.475608766925028,-0.10429091156388726,27.11557486021641,469.7672549135687,62.84,250
0.930127788785251,0.10515852370485668,0.8,0,0.2448209015767213,6.598845925142252,6.704004448847109,13,250.90906321531955,7.557861779955126,-0.10515852370485668,32.387954304031,511.63701105584215,67.696,250
0.9052182384162659,0.10637304152688731,0.8,0,0.2501851279978987,6.492472883615365,6.598845925142252,14,265.1127270525632,7.632582328126026,-0.10637304152688731,33.9402826152052,556.4457820496998,72.904,250
0.90156655434694,0.10758050607225922,0.0,0,0.25964277237088096,6.384892377543106,6.492472883615365,15,243.24497438830102,7.703562644453942,-0.10758050607225922,30.883664031328927,581.3416514010722,75.464,250
0.8915068840520503,0.10842994090629787,0.8,0,0.27122373436274544,6.276462436636808,6.384892377543106,16,265.8548062140279,7.773403719645021,-0.10842994090629787,33.415008843332664,605.7658050644972,77.928,250
0.8490820735286048,0.10967144252771455,0.8,0,0.28031520787086556,6.1667909941090935,6.276462436636808,17,287.26859253587844,7.849428417041412,-0.10967144252771455,35.88309373507251,688.1750881788547,87.672,250
0.760581167309021,0.11058772774179104,5.6000000000000005,0,0.2789995568753067,6.056203266367302,6.1667909941090935,18,352.4304767498357,7.941881576141802,-0.11058772774179104,43.44534037155193,845.9692254906248,106.52,250
0.6025243065828291,0.11168165615497205,22.400000000000002,0,0.27548867202902916,5.94452161021233,6.056203266367302,19,374.8785701302015,8.05166988576036,-0.11168165615497205,45.50920504689134,1159.569290267664,144.016,250
0.5676121711998618,0.11295861286516384,30.4,0,0.26800853346889797,5.8315629973471665,5.94452161021233,20,400.1388651307452,8.131515687276751,-0.11295861286516384,48.21516707427239,1206.6518758663717,148.392,250
0.4748688904484236,0.11424590625371156,46.400000000000006,0,0.2478797418000451,5.717317091093455,5.8315629973471665,21,348.65778718496944,8.209647141381689,-0.11424590625371156,41.64687666560363,1382.4389014315457,168.392,250
0.5173810035592817,0.11544495480018657,39.2,0,0.23710863097057902,5.601872136293268,5.717317091093455,22,316.99340018990836,8.268704127204836,-0.11544495480018657,37.52217477705683,1345.4835355787711,162.72,250
0.5268369560389486,0.11670691331476579,36.8,0,0.22270964598913154,5.485165222978503,5.601872136293268,23,340.1673518593426,8.334292950334461,-0.11670691331476579,40.09263194154257,1381.8924455090564,165.808,250
0.41439508991161106,0.11802083531632146,59.199999999999996,0,0.22363863615064997,5.367144387662181,5.485165222978503,24,283.4495076226631,8.41605892021233,-0.11802083531632146,33.011371616459684,1509.1003571011136,179.312,250
0.4278012936468226,0.11922909040950191,58.4,0,0.22202789891442198,5.247915297252679,5.367144387662181,25,347.675362380235,8.480091473292704,-0.11922909040950191,40.255786962870324,1473.025809276836,173.704,250
0.40630518426336903,0.12031246183001798,61.6,0,0.22398703674404843,5.127602835422661,5.247915297252679,26,289.48049863237236,8.54835522840721,-0.12031246183001798,33.198858775566364,1543.6277937248608,180.576,250
