ConfortViolation,Wins,ReturnsStd,TimestepsMean,Omega,RewardStd,Traj,DeltaOmega,OmegaBefore,TimestepsStd,RewardMean,NormDeltaVar,NormDeltaOmega,ITERATIONS,ReturnsMean
0,0.0,83.23905004505193,21.8,7.899999998510719,1.4109166302082659,250,-0.10000000148928123,8.0,12.349574891468936,6.4058530594868595,0.316227764128539,0.10000000148928123,0,139.6475966968135
0,0.0,89.38755437996198,26.592,7.800000146431702,1.2982907942157398,250,-0.09999985207901663,7.899999998510719,13.097844708195314,6.53153209452153,0.2995899560728782,0.09999985207901663,1,173.68650145751644
0,0.0,106.38755377912274,29.552,7.6998958621125535,1.2483433821378371,250,-0.10010428431914864,7.800000146431702,15.447177606281349,6.632280492502359,0.29823371520035513,0.10010428431914864,2,195.9971531144297
0,0.0,134.97012383987496,38.384,7.602215269031093,1.1140321209007122,250,-0.09768059308146082,7.6998958621125535,19.346848425518818,6.760925380922755,0.26045557699018695,0.09768059308146082,3,259.511359821339
0,0.0,160.0319717076511,41.576,7.5052458998469165,1.084083182982419,250,-0.0969693691841762,7.602215269031093,22.648713517548853,6.854322460424541,0.21329532526148287,0.0969693691841762,4,284.9753106146108
0,0.0,150.2230542694841,39.816,7.406941828291345,1.117606737305315,250,-0.09830407155557186,7.5052458998469165,21.000717702021518,6.9136661217296425,0.2009536172688407,0.09830407155557186,5,275.2745303027874
0,0.0,155.13543302892745,44.896,7.307849758048959,1.0653184957736523,250,-0.09909207024238587,7.406941828291345,21.468795588015645,7.002816711809008,0.21001616128490974,0.09909207024238587,6,314.39845909337714
0,0.0,169.50366849560245,48.608,7.208012350564115,1.0362696212765838,250,-0.09983740748484404,7.307849758048959,23.20823853720915,7.094825047515743,0.21211688618972235,0.09983740748484404,7,344.8652559096452
0,0.0,154.78852217368308,50.312,7.107050106058178,1.0283359480278986,250,-0.10096224450593638,7.208012350564115,21.024715360736753,7.161754990801036,0.21129500907045454,0.10096224450593638,8,360.3222170971817
0,0.0,191.24674347368344,52.84,7.005063952636342,1.014530828694343,250,-0.10198615342183626,7.107050106058178,25.69619427074756,7.243164434812761,0.21385424187755048,0.10198615342183626,9,382.7288087355063
0,0.0,196.34462675787486,59.32,6.902228201261375,0.9687239296848486,250,-0.10283575137496737,7.005063952636342,26.108879715529735,7.329950476929374,0.23201024565123377,0.10283575137496737,10,434.81266229145047
0,0.0,198.50472977786285,63.856,6.798431660702108,0.9434838370056866,250,-0.10379654055926668,6.902228201261375,26.143818848821606,7.408667386591829,0.248350998757988,0.10379654055926668,11,473.08786463820775
0,1.6,279.19662832547965,77.68,6.694812798728453,0.8596695555459091,250,-0.10361886197365511,6.798431660702108,36.36890979944271,7.506613414649681,0.25264481675943007,0.10361886197365511,12,583.1137300499873
0,1.6,327.0482077331881,85.104,6.59060455288621,0.8301699737497438,250,-0.10420824584224331,6.694812798728453,42.245345116355715,7.580225037138804,0.2597438486565325,0.10420824584224331,13,645.1074715606608
0,6.4,373.8740819496171,101.88,6.485044766035698,0.7485002880994308,250,-0.10555978685051137,6.59060455288621,47.76134001470226,7.665576877433595,0.2613966700804913,0.10555978685051137,14,780.9689722729346
0,4.8,378.5249198128704,108.624,6.378126774140498,0.7382718269857577,250,-0.1069179918951999,6.485044766035698,48.076549626611104,7.740076557835707,0.26893550848593467,0.1069179918951999,15,840.7580760183457
0,12.0,376.8797127955413,131.888,6.270276461361625,0.6530588108701996,250,-0.10785031277887303,6.378126774140498,47.25949064473717,7.837200329625706,0.26793478752552113,0.10785031277887303,16,1033.632677073675
0,12.8,349.99702822248275,134.848,6.161170800391929,0.6484025161235061,250,-0.10910566096969632,6.270276461361625,43.45868032971089,7.911068574218158,0.23201574133027228,0.10910566096969632,17,1066.7917750961699
0,19.2,342.7537792021794,140.624,6.050726205430233,0.6169650056860013,250,-0.11044459496169612,6.161170800391929,42.113496933880946,7.986402258311245,0.22772983454287055,0.11044459496169612,18,1123.0798311727606
0,25.6,371.1918403029839,149.856,5.939387031739746,0.5804743471634758,250,-0.11133917369048696,6.050726205430233,45.31625827448687,8.05640337438636,0.2311355122248299,0.11133917369048696,19,1207.300384072042
0,47.199999999999996,319.33751466727193,169.272,5.826795522172329,0.4677757941661707,250,-0.11259150956741681,5.939387031739746,38.500363842436606,8.144044211690163,0.23339388466485367,0.11259150956741681,20,1378.5586518012174
0,48.8,346.3890649176624,168.08,5.712916397055911,0.4652079816260359,250,-0.1138791251164184,5.826795522172329,41.37083030348799,8.216429690011642,0.2323981451382831,0.1138791251164184,21,1381.0175022971566
0,72.8,272.3221834657969,184.248,5.598147323837536,0.3323256116351051,250,-0.11476907321837437,5.712916397055911,32.09377659297827,8.30311497419388,0.22062445741901687,0.11476907321837437,22,1529.832327765274
0,73.6,275.7420888492101,184.176,5.482066935097868,0.3281934902667029,250,-0.1160803887396682,5.598147323837536,32.18920663825065,8.37912233927516,0.2235881848778782,0.1160803887396682,23,1543.233235958342
0,76.8,217.37211371047553,189.368,5.364808976963159,0.3056252510483125,250,-0.11725795813470885,5.482066935097868,25.138189592729226,8.4494936330363,0.21340205805436888,0.11725795813470885,24,1600.0637103008175
0,82.39999999999999,176.201221310737,193.488,5.246311823882623,0.26665143618484705,250,-0.11849715308053632,5.364808976963159,20.176666126989364,8.519417669429293,0.19698987618989444,0.11849715308053632,25,1648.4050860225348
0,84.8,167.14222559961723,194.424,5.126709934729168,0.25055459693009935,250,-0.11960188915345515,5.246311823882623,18.938326853236006,8.583827606275545,0.18986705436075427,0.11960188915345515,26,1668.9020985225163
0,86.4,107.54074922905332,197.328,5.0062365484747655,0.23681020280014628,250,-0.12047338625440229,5.126709934729168,11.985842314998143,8.65046501330621,0.18542822943838846,0.12047338625440229,27,1706.9789601456885
0,88.0,110.22247258616659,197.304,4.885921587980088,0.22642976740611964,250,-0.12031496049467716,5.0062365484747655,12.285421604487166,8.706497644233167,0.18308285091096527,0.12031496049467716,28,1717.8268111977807
0,88.0,138.29599247709206,196.72,4.768499072119238,0.22950343103971957,250,-0.1174225158608504,4.885921587980088,15.336022952512819,8.761745956916249,0.1638915685031359,0.1174225158608504,29,1723.6106646445644
0,85.6,175.10140628575965,194.992,4.653657268665127,0.25292265351523213,250,-0.11484180345411055,4.768499072119238,19.37152384300213,8.810626789529323,0.16269766360744395,0.11484180345411055,30,1718.0017389439015
0,84.8,163.11711740820354,195.384,4.540140118151763,0.25985694529820186,250,-0.1135171505133643,4.653657268665127,17.857562655636965,8.865128717656876,0.15339736805769105,0.1135171505133643,31,1732.1043093706712
0,80.0,218.22375671255529,191.744,4.430031321528138,0.2997412409221548,250,-0.11010879662362516,4.540140118151763,23.873970428062442,8.91033181111748,0.13247539141892878,0.11010879662362516,32,1708.5026627909099
0,74.4,260.3343155435883,189.048,4.3248448142593645,0.3406263191107418,250,-0.10518650726877343,4.430031321528138,28.51858509814258,8.951245056979927,0.12472942927464459,0.10518650726877343,33,1692.2149755319408
0,84.8,156.3828675328116,195.256,4.224706151006691,0.2642736888378643,250,-0.10013866325267351,4.3248448142593645,16.86032217960262,9.006029363460557,0.12374214472118128,0.10013866325267351,34,1758.4812693918545
0,74.4,253.63993797224407,189.344,4.126315509860432,0.3435325673390395,250,-0.09839064114625895,4.224706151006691,27.49373863264143,9.041492117307993,0.12337836120111516,0.09839064114625895,35,1711.9522834595643
