TimestepsMean,DeltaOmega,Wins,ITERATIONS,ReturnsStd,ReturnsMean,RewardStd,Omega,NormDeltaVar,RewardMean,OmegaBefore,ConfortViolation,NormDeltaOmega,TimestepsStd,Traj
23.448,-0.10000000148937094,0.0,0,89.88475780957002,150.49454322304825,1.3617162453926013,7.899999998510629,0.31622776884439424,6.418225145984656,8.0,0,0.10000000148937094,13.36949123938529,250
25.392,-0.10009964064084276,0.0,1,87.17248953353852,165.63346633226507,1.3277195254100282,7.799900357869786,0.28662818110988614,6.523057117685297,7.899999998510629,0,0.10009964064084276,12.792432763161196,250
33.768,-0.09871282263444225,0.0,2,131.1133241023516,225.11737987532234,1.1724902941730504,7.701187535235344,0.2893681581335075,6.666589074725253,7.799900357869786,0,0.09871282263444225,19.010370222591668,250
36.416,-0.0989384099463626,0.0,3,140.14671061787863,245.5981691599944,1.1415467656947587,7.6022491252889814,0.2921134153279247,6.744237949252921,7.701187535235344,0,0.0989384099463626,20.068755417314748,250
41.432,-0.0983850875892669,0.0,4,159.26262971222764,283.95455771592304,1.0860658334946123,7.5038640376997146,0.24290823329941827,6.853508344176555,7.6022491252889814,0,0.0983850875892669,22.52619310935605,250
41.896,-0.09933257265886652,0.0,5,138.65129180378344,290.0113991503922,1.0903554605688235,7.404531465040848,0.24546957580970394,6.922173934275161,7.5038640376997146,0,0.09933257265886652,19.415385239546495,250
47.552,-0.09951927376172076,0.0,6,152.4004422205391,333.7357467626962,1.0370381720302844,7.305012191279127,0.24536396567533542,7.018332494168409,7.404531465040848,0,0.09951927376172076,21.10789653186693,250
51.4,-0.10030882104755445,0.0,7,158.70005852319596,364.9964866548458,1.0089214561122462,7.204703370231573,0.23945217245553835,7.101098962156533,7.305012191279127,0,0.10030882104755445,21.701244203962133,250
48.728,-0.10129796085772735,0.0,8,137.3562839412142,348.9539508471841,1.0449906398455409,7.1034054093738455,0.21561590237561817,7.1612615097517685,7.204703370231573,0,0.10129796085772735,18.597795998451,250
52.584,-0.10215146323253688,0.0,9,190.2117511655215,381.39454286364816,1.0180268898908669,7.001253946141309,0.20058290853807542,7.253053074388564,7.1034054093738455,0,0.10215146323253688,25.511153325555473,250
52.504,-0.10299758938378467,0.0,10,160.60236528167226,384.20608997377565,1.0276341812547742,6.898256356757524,0.20402355446214632,7.317653702075567,7.001253946141309,0,0.10299758938378467,21.330775513328156,250
59.216,-0.10401147334500926,0.0,11,208.3484563096613,438.80695476997175,0.9791714577859852,6.794244883412515,0.20781229774718293,7.410276863853887,6.898256356757524,0,0.10401147334500926,27.388343213856512,250
59.576,-0.10502225139578147,0.0,12,197.10585297580536,445.73748466022164,0.9854178629839144,6.689222632016733,0.21719283494223598,7.481829674033531,6.794244883412515,0,0.10502225139578147,25.672791511637374,250
64.072,-0.10603229266317271,0.0,13,213.76899370312702,484.61186190297025,0.9604293132071905,6.5831903393535605,0.22238728446707393,7.563551346968572,6.689222632016733,0,0.10603229266317271,27.59715231686052,250
65.296,-0.10708903746498599,0.0,14,203.35169289495624,498.2752288011253,0.9601038778746989,6.4761013018885745,0.22606614539627246,7.631022249465898,6.5831903393535605,0,0.10708903746498599,25.965522987222883,250
63.424,-0.1073641227021751,0.0,15,195.65967696148815,487.86130441998483,0.9815059103352068,6.368737179186399,0.236044516084155,7.692061434472514,6.4761013018885745,0,0.1073641227021751,24.81362980299335,250
70.248,-0.10841442953950331,0.0,16,255.40937632910604,546.1045439414452,0.9427669118205946,6.260322749646896,0.2475053950659221,7.773951485329763,6.368737179186399,0,0.10841442953950331,32.122927886480085,250
73.632,-0.10967971650847375,0.8,17,274.7391788152551,577.8417649215982,0.9255379275407403,6.150643033138422,0.2614816344578953,7.84769889343761,6.260322749646896,0,0.10967971650847375,34.15881403093497,250
80.656,-0.11069307136739504,2.4,18,276.7792814884471,639.2294721519389,0.8856655634514716,6.039949961771027,0.2548574317547082,7.925380283573929,6.150643033138422,0,0.11069307136739504,34.03153925405079,250
93.648,-0.11180874107246108,2.4,19,297.34582602891555,749.9372492955214,0.830636470170753,5.928141220698566,0.26795873173950413,8.008043410382726,6.039949961771027,0,0.11180874107246108,36.33978668071677,250
100.28,-0.11299883686370205,2.4,20,339.0680333367562,809.1960450229269,0.8101552725404307,5.815142383834864,0.27986905789661615,8.069366224799829,5.928141220698566,0,0.11299883686370205,41.212930009888886,250
133.496,-0.11390372644348812,13.600000000000001,21,401.44169673473664,1091.64450053083,0.6698711303364681,5.701238657391376,0.2740437283242494,8.17735737798009,5.815142383834864,0,0.11390372644348812,48.10648588288278,250
145.68,-0.11522242620435996,21.6,22,395.91986909606686,1203.5766293115034,0.6168954874845965,5.586016231187016,0.2772813138402043,8.261783561995497,5.701238657391376,0,0.11522242620435996,47.028604061783504,250
161.528,-0.11658348755520187,28.799999999999997,23,277.07212471875386,1347.3454647258343,0.5638684489811195,5.469432743631814,0.2520262054749262,8.341250214983374,5.586016231187016,0,0.11658348755520187,32.385571108133945,250
158.76,-0.11793551640540745,26.400000000000002,24,313.5417746347311,1334.1963966548715,0.5827578705302938,5.351497227226407,0.24286742753499344,8.403857373739427,5.469432743631814,0,0.11793551640540745,36.47254309751378,250
164.728,-0.11923460097471938,32.0,25,293.6886238887897,1394.9967525687782,0.5555329323789471,5.232262626251687,0.24128212722881068,8.468485943912256,5.351497227226407,0,0.11923460097471938,33.95464645670751,250
167.64,-0.11893023991011997,40.0,26,305.972305011259,1430.7577039888572,0.5221541673415951,5.113332386341567,0.2461206217915021,8.534703555170944,5.232262626251687,0,0.11893023991011997,35.17439978165939,250
