Epsilon,DualReg,ConfortViolation,OmegaBefore,Eta,DualBefore,TimestepsMean,NormDeltaOmega,DeltaOmega,Traj,Omega,TimestepsStd,LossReg,ReturnsMean,WeightMax,Wins,DualAfter,Primal,ReturnsStd,RewardMean,WeightMean,WeightMedian,NormDeltaVar,WeightMin,RewardStd,ITERATIONS
1.4501,0.0,0,[[0.8]],1.8250749877172159,7.966840836542744,500.0,0.15070488750418676,[[0.15070489]],100,[[0.95070489]],0.0,0.0,1175.7777777777778,1.0,0.0,7.585271011556831,7.5852710505050895,55.705494634151364,2.35096,0.0041725541780357886,0.012483075222077263,22.472634243820185,0.0041725541780357886,2.433340723860923,0
1.4501,0.0,0,[[0.95070489]],1.2551849075028052,7.9151072638255755,500.0,0.04336031778717586,[[0.04336032]],100,[[0.99406521]],0.0,0.0,1375.7373737373737,1.0,0.0,7.9006317882583055,7.900631763535059,66.38342647283629,2.75396,0.00034673364524166425,0.0017060697722677254,30.87988010987199,0.00034673364524166425,2.8175635429214374,1
1.4501,0.0,0,[[0.99406521]],0.4014803207248615,8.052633710865077,500.0,0.005933728406213756,[[0.00593373]],100,[[0.99999893]],0.0,0.0,1489.4141414141413,1.0,0.0,8.023449631001434,8.023434556573855,79.75378906815322,2.97556,1.5228977468525118e-11,2.2188942017982324e-09,123.29060201109597,1.5228977468525118e-11,2.9823284001598487,2
1.4501,0.0,0,[[0.99999893]],0.012348495838435138,8.067256178022951,500.0,1.0549672482262906e-06,[[1.05496725e-06]],100,[[0.99999999]],0.0,0.0,1498.5858585858587,1.0,0.0,8.000765161504626,7.999999999999585,84.33375375401374,2.997,4.3789635589546245e-282,9.572568842185297e-212,64.9148937435146,4.3789635589546245e-282,2.99831802849531,3
1.4501,0.0,0,[[0.99999999]],0.008747964488692096,8.085072989543132,500.0,2.4851229962763455e-09,[[2.485123e-09]],100,[[0.99999999]],0.0,0.0,1511.7777777777778,1.0,0.0,8.000699095162112,7.999999999999749,78.34700790449487,3.02492,0.0,1.345165777194846e-298,3.5355339059327093,0.0,3.01572196888241,4
1.4501,0.0,0,[[0.99999999]],0.01301486880146307,8.056138670849414,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1488.3838383838383,1.0,0.0,8.000660646783793,8.000000000000474,87.644219625436,2.97992,1.1147709132740393e-267,6.100834184500743e-201,0.0,1.1147709132740393e-267,2.9873728916223365,5
1.4501,0.0,0,[[0.99999999]],0.012379369136808925,8.066706003025402,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1497.5959595959596,1.0,0.0,8.000760127361048,8.000000000000153,75.92286345888402,2.99772,2.2032332233777754e-281,3.215846820074315e-211,0.0,2.2032332233777754e-281,2.9967173376212846,6
1.4501,0.0,0,[[0.99999999]],0.008961059347616148,8.077801031980583,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1509.6565656565656,1.0,0.0,8.000650278488989,8.000000000000217,78.09139447618789,3.01848,0.0,1.629980323581652e-291,0.0,0.0,3.005218542735286,7
1.4501,0.0,0,[[0.99999999]],0.012488924376077657,8.06462834337777,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1498.141414141414,1.0,0.0,8.000740787713104,7.999999999999808,83.03303591068834,2.99304,6.383178053707786e-279,2.2582796405347818e-209,0.0,6.383178053707786e-279,2.9956687998508778,8
1.4501,0.0,0,[[0.99999999]],0.008751401154040194,8.085002921684225,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1513.2525252525252,1.0,0.0,8.000698680852759,7.999999999999873,79.72710316116837,3.02672,0.0,1.7609600482683033e-298,0.0,0.0,3.014353337218449,9
1.4501,0.0,0,[[0.99999999]],0.012180524779788445,8.070675957509476,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1501.2525252525252,1.0,0.0,8.000796659430655,8.000000000000343,81.70782431462216,3.00356,5.772957717044914e-286,1.1777382564172625e-214,0.0,5.772957717044914e-286,3.000824441116141,10
1.4501,0.0,0,[[0.99999999]],0.009025226402231483,8.075565383229748,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1503.878787878788,1.0,0.0,8.000634872472958,7.999999999999734,74.40420221749356,3.00808,0.0,1.9037480698674222e-289,0.0,0.0,3.0077125383919254,11
1.4501,0.0,0,[[0.99999999]],0.00861935720961307,8.090053854799752,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1514.3232323232323,1.0,0.0,8.000732134333282,7.999999999999644,84.6806035156476,3.03104,0.0,4.83407705588794e-303,0.0,0.0,3.021786974358054,12
1.4501,0.0,0,[[0.99999999]],0.01239904098413046,8.06630345300957,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1497.858585858586,1.0,0.0,8.000756362721578,7.999999999999618,80.73513374128036,2.99604,6.142428480913002e-281,6.938332069096372e-211,0.0,6.142428480913002e-281,2.997035922107041,13
1.4501,0.0,0,[[0.99999999]],0.012248763157545863,8.069150722986672,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1498.3030303030303,1.0,0.0,8.000782520020618,7.999999999999591,83.75981227553835,2.997,2.241169449728381e-284,1.8317070642746724e-213,0.0,2.241169449728381e-284,3.00215772403783,14
1.4501,0.0,0,[[0.99999999]],0.012653263659164344,8.061752170606171,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1495.4141414141413,1.0,0.0,8.000713877149138,7.99999999999985,73.34063463666847,2.98836,2.6194157838038608e-275,1.1578527462964417e-206,0.0,2.6194157838038608e-275,2.9930092733568334,15
1.4501,0.0,0,[[0.99999999]],0.008928752861497717,8.078725978578031,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1507.3939393939395,1.0,0.0,8.000656426889838,7.999999999999443,68.28428663794396,3.01544,0.0,1.4455678852705854e-292,0.0,0.0,3.0091729106849274,16
1.4501,0.0,0,[[0.99999999]],0.01238522728723805,8.066537957482117,500.0,0.0,[[0.]],100,[[0.99999999]],0.0,0.0,1497.111111111111,1.0,0.0,8.000758500504572,7.999999999999559,77.74354224880479,2.9954,2.9909544391630894e-281,4.044430232729265e-211,0.0,2.9909544391630894e-281,2.9979424344039693,17
