NormDeltaOmega,RewardStd,Traj,Theta,ITERATIONS,DeltaOmega,TimestepsMean,NormDeltaVar,ReturnsMean,TimestepsStd,OmegaBefore,ReturnsStd,ConfortViolation,Wins,RewardMean,Omega
0.010857918563602298,2.3789197464395473,20,0.18914208,0,0.01085792,500.0,0.9899996613164994,1153.9,0.0,0.8,59.53981860906195,0,0.0,2.3078,0.81085792
0.010237215310624825,2.4562342233590018,20,0.17873715,1,0.01023722,500.0,0.9904652904527644,1190.6,0.0,0.81085792,47.90448830746447,0,0.0,2.3812,0.82109513
0.006473206240752871,2.439597597965697,20,0.17052292,2,0.00647321,500.0,0.8142690006914215,1178.3,0.0,0.82109513,64.26593187685059,0,0.0,2.3566,0.82756834
0.006897942199783347,2.476454110214845,20,0.16473608,3,0.00689794,500.0,0.5925331109568148,1187.6,0.0,0.82756834,53.99111037939487,0,0.0,2.3752,0.83446628
0.002362655910057798,2.4506259690128154,20,0.15822407,4,0.00236266,500.0,0.6871231877097443,1194.7,0.0,0.83446628,68.53692435468635,0,0.0,2.3894,0.83682894
0.004654398154105621,2.48705569700399,20,0.15407627,5,0.0046544,500.0,0.44971068330777086,1204.3,0.0,0.83682894,70.770827323128,0,0.0,2.4086,0.84148334
0.004860810868744125,2.5027597887132513,20,0.1501738,6,0.00486081,500.0,0.432245208513784,1209.4,0.0,0.84148334,66.12745269553334,0,0.0,2.4188,0.84634415
0.004104708887553654,2.4788131353532887,20,0.14558809,7,0.00410471,500.0,0.5199067251103457,1205.6,0.0,0.84634415,55.02581212485645,0,0.0,2.4112,0.85044886
0.0024274365718466306,2.5565300232932917,20,0.14051218,8,0.00242744,500.0,0.5915777734199352,1231.6,0.0,0.85044886,69.5948273939953,0,0.0,2.4632,0.85287629
0.0013365386015398162,2.547607505091787,20,0.13463985,9,-0.00133654,500.0,0.7071401653589149,1232.0,0.0,0.85287629,76.48529270389177,0,0.0,2.464,0.85153975
0.0018243274270386411,2.515245347873643,20,0.13257689,10,0.00182433,500.0,0.2545969712349283,1221.1,0.0,0.85153975,65.04606060323715,0,0.0,2.4422,0.85336408
0.0005934975386068242,2.556166809893283,20,0.12970063,11,0.0005935,500.0,0.3606316754950889,1234.1,0.0,0.85336408,68.68034653377923,0,0.0,2.4682,0.85395758
0.002295690113253368,2.5229309859764295,20,0.12731743,12,0.00229569,500.0,0.3040017615302766,1219.1,0.0,0.85395758,50.58250685760839,0,0.0,2.4382,0.85625327
