ReturnsStd,RewardStd,TimestepsStd,Wins,NormDeltaOmega,OmegaBefore,ITERATIONS,ReturnsMean,Omega,TimestepsMean,DeltaOmega,Traj,NormDeltaVar,Theta,ConfortViolation,RewardMean
46.459014195309834,2.4381261985385416,0.0,0.0,0.010857846095123747,0.8,0,1174.6,0.81085785,500.0,0.01085785,20,0.9899999411904261,0.18914208,0,2.3492
39.21683312048539,2.451512480082449,0.0,0.0,0.007846725414546563,0.81085785,1,1185.8,0.81870457,500.0,0.00784673,20,0.9908477545839496,0.17873322,0,2.3716
57.835196896007886,2.4664295732901036,0.0,0.0,0.002595164895170088,0.81870457,2,1187.3,0.82129974,500.0,0.00259516,20,0.9915377607302887,0.16877117,0,2.3746
48.44006606106148,2.388705122027414,0.0,0.0,0.0038149133583766925,0.82129974,3,1151.4,0.82511465,500.0,0.00381491,20,0.9941039702266821,0.15923265,0,2.3028
52.176239803190114,2.4810526475671573,0.0,0.0,0.00355973007115562,0.82511465,4,1196.2,0.82155492,500.0,-0.00355973,20,0.9907524917816453,0.15016579,0,2.3924
53.55100372542049,2.4918753660646833,0.0,0.0,0.0010420357129373725,0.82155492,5,1207.7,0.82259696,500.0,0.00104204,20,0.8339140230600393,0.14286745,0,2.4154
39.93432107849087,2.5136887237683188,0.0,0.0,0.0009567719269433228,0.82259696,6,1206.5,0.82164018,500.0,-0.00095677,20,0.8614568055051031,0.13564091,0,2.413
60.79300946654969,2.4846124768261144,0.0,0.0,0.0017805272562345653,0.82164018,7,1203.9,0.82342071,500.0,0.00178053,20,0.8285433275231853,0.12898363,0,2.4078
58.80093536670994,2.5184040581288776,0.0,0.0,0.003106309248583128,0.82342071,8,1210.5,0.82652702,500.0,0.00310631,20,0.8377206297444353,0.12253765,0,2.421
65.53441843794755,2.4804192871367534,0.0,0.0,0.0035818264790029586,0.82652702,9,1200.2,0.83010885,500.0,0.00358183,20,0.8845627678591619,0.11603402,0,2.4004
53.31519483224272,2.5877785917655323,0.0,0.0,0.004671273563333522,0.83010885,10,1249.3,0.83478012,500.0,0.00467127,20,0.8858992030383419,0.10982322,0,2.4986
44.35132467018319,2.5635973474787335,0.0,0.0,0.005061213005213339,0.83478012,11,1240.4,0.83984133,500.0,0.00506121,20,0.7984303096778476,0.10447726,0,2.4808
41.83909654856328,2.5339375761845435,0.0,0.0,0.006098463558768197,0.83984133,12,1224.7,0.8459398,500.0,0.00609846,20,0.6168360865489362,0.10050584,0,2.4494
50.5128696472493,2.570338304581714,0.0,0.0,0.005394058873319119,0.8459398,13,1240.5,0.85133386,500.0,0.00539406,20,0.6074447464398247,0.09672651,0,2.481
62.10797050298778,2.5629475218973954,0.0,0.0,0.006213702882763905,0.85133386,14,1235.0,0.85754756,500.0,0.0062137,20,0.5889240588934612,0.09318408,0,2.47
79.25048895748215,2.5939991056282192,0.0,0.0,0.005828334599284002,0.85754756,15,1259.6,0.86337589,500.0,0.00582833,20,0.5607355051214995,0.08991984,0,2.5192
59.357897536890576,2.5802444535353626,0.0,0.0,0.005756453678571138,0.86337589,16,1240.8,0.86913235,500.0,0.00575645,20,0.5938186966346279,0.0865757,0,2.4816
57.39433769981147,2.6691618984242975,0.0,0.0,0.00475186400640748,0.86913235,17,1296.3,0.87388421,500.0,0.00475186,20,0.49058506081725284,0.08389828,0,2.5926
54.82517669830167,2.61509387976799,0.0,0.0,0.0054840608980942784,0.87388421,18,1261.0,0.87936827,500.0,0.00548406,20,0.3947508339370316,0.08179873,0,2.522
72.80734853021363,2.6104665560010534,0.0,0.0,0.004846668189225634,0.87936827,19,1264.7,0.88421494,500.0,0.00484667,20,0.4780561744059142,0.07932025,0,2.5294
78.32975169116777,2.671574629315079,0.0,0.0,0.0054223805232138655,0.88421494,20,1291.5,0.88963732,500.0,0.00542238,20,0.42628990924324484,0.07716823,0,2.583
62.372750460437445,2.6523118670322314,0.0,0.0,0.005711017674547292,0.88963732,21,1286.2,0.89534834,500.0,0.00571102,20,0.4281495677031728,0.0750608,0,2.5724
65.17507192170945,2.6592350704666936,0.0,0.0,0.004185406302696371,0.89534834,22,1281.1,0.89953374,500.0,0.00418541,20,0.35229080391261647,0.07336655,0,2.5622
67.68301116232935,2.6408556113502306,0.0,0.0,0.0018530107676514307,0.89953374,23,1267.9,0.90138675,500.0,0.00185301,20,0.38165441813808343,0.07157088,0,2.5358
61.52690468404859,2.679613076546687,0.0,0.0,0.0009863966944309022,0.90138675,24,1293.8,0.90237315,500.0,0.0009864,20,0.3538677718883889,0.06994227,0,2.5876
55.39774363636122,2.6504447249471172,0.0,0.0,0.00030152152806717236,0.90237315,25,1283.7,0.90207163,500.0,-0.00030152,20,0.4019669001596,0.06813391,0,2.5674
63.65186564429985,2.7069498406878543,0.0,0.0,2.0151120141087553e-05,0.90207163,26,1324.2,0.90209178,500.0,2.01511201e-05,20,0.4638720270838377,0.06610095,0,2.6484
58.794897737813955,2.6540050037631806,0.0,0.0,0.00036333931336496317,0.90209178,27,1279.4,0.90245512,500.0,0.00036334,20,0.4750874165592478,0.06407739,0,2.5588
63.218589038351695,2.714927026643626,0.0,0.0,0.0009936690155084582,0.90245512,28,1315.9,0.90146145,500.0,-0.00099367,20,0.47979119045911034,0.06209247,0,2.6318
59.3345599124153,2.694647130887456,0.0,0.0,0.00016496018801193113,0.90146145,29,1308.9,0.90129649,500.0,-0.00016496,20,0.49534648857478913,0.06010354,0,2.6178
