ITERATIONS,NormDeltaVar,RewardMean,NormDeltaOmega,RewardStd,TimestepsStd,Omega,Wins,ConfortViolation,Traj,OmegaBefore,Theta,ReturnsMean,TimestepsMean,ReturnsStd,DeltaOmega
0,0.9989998027001583,2.3292,0.010954521209026846,2.392243164897749,0.0,0.8109545212090269,0.0,0,20,0.8,0.2114238026860287,1164.6,500.0,55.501711685316515,0.010954521209026846
1,0.9084598361478271,2.3598,0.009685241121164867,2.4496007756367155,0.0,0.8206397623301918,0.0,0,20,0.8109545212090269,0.22222062900812528,1179.9,500.0,34.243101495045686,0.009685241121164867
2,0.06251439093798794,2.3612,0.007591449946501072,2.4429356438514707,0.0,0.8282312122766928,0.0,0,20,0.8206397623301918,0.2214652054010035,1180.6,500.0,69.39193036657792,0.007591449946501072
3,0.34300380543177766,2.3808,0.008204106350532592,2.4522217191763063,0.0,0.8364353186272254,0.0,0,20,0.8282312122766928,0.2256326869860573,1190.4,500.0,66.76705774556791,0.008204106350532592
4,0.36458133271028714,2.3426,0.00796637557484714,2.424010156744398,0.0,0.8444016942020726,0.0,0,20,0.8364353186272254,0.23012292543869015,1171.3,500.0,50.65678631733363,0.00796637557484714
5,0.15557410742618671,2.3252,0.006110684829465973,2.3941271812499854,0.0,0.8505123790315385,0.0,0,20,0.8444016942020726,0.23205796836192955,1162.6,500.0,41.71858099216703,0.006110684829465973
6,0.061751561365689156,2.3774,0.005090761906837549,2.451523860785369,0.0,0.8556031409383761,0.0,0,20,0.8505123790315385,0.23282917991233446,1188.7,500.0,74.30820950608351,0.005090761906837549
7,0.12943155884132196,2.3542,0.004427261577030106,2.430420202351848,0.0,0.8600304025154062,0.0,0,20,0.8556031409383761,0.23121476652889475,1177.1,500.0,52.98103434248901,0.004427261577030106
8,0.0465790299477824,2.3134,0.004958701381785335,2.3697637941364533,0.0,0.8649891038971915,0.0,0,20,0.8600304025154062,0.23179484863588723,1156.7,500.0,48.970501324777146,0.004958701381785335
9,0.06300203041724117,2.323,0.002845417335199607,2.385303125390985,0.0,0.8678345212323911,0.0,0,20,0.8649891038971915,0.2310104813205602,1161.5,500.0,57.826896856047874,0.002845417335199607
10,0.2603693797244837,2.3952,0.004100054139326681,2.483670058602793,0.0,0.8719345753717178,0.0,0,20,0.8678345212323911,0.23426406788332022,1197.6,500.0,63.310662609073994,0.004100054139326681
11,0.331976403873977,2.3888,0.004931865800497759,2.458136399795585,0.0,0.8768664411722156,0.0,0,20,0.8719345753717178,0.2384583776000133,1194.4,500.0,62.73627339904723,0.004931865800497759
12,0.3480618887458071,2.33,0.005419763655133414,2.398478684499823,0.0,0.882286204827349,0.0,0,20,0.8768664411722156,0.24291099547634157,1165.0,500.0,50.2254915356734,0.005419763655133414
13,0.4184913062942819,2.3234,0.005672928488737905,2.39612446254363,0.0,0.8879591333160869,0.0,0,20,0.882286204827349,0.248338878343083,1161.7,500.0,57.98370460741535,0.005672928488737905
14,0.17344552596412832,2.3268,0.004959467451035038,2.3828557992459385,0.0,0.8929186007671219,0.0,0,20,0.8879591333160869,0.2506121513562308,1163.4,500.0,60.05697295069075,0.004959467451035038
15,0.16205421612798787,2.3124,0.004146215655574381,2.364573162327611,0.0,0.8970648164226963,0.0,0,20,0.8929186007671219,0.2527486018701881,1156.2,500.0,72.64681686075447,0.004146215655574381
16,0.0073160235088671755,2.3004,0.003465336659711271,2.359355810385538,0.0,0.9005301530824076,0.0,0,20,0.8970648164226963,0.252651891369228,1150.2,500.0,46.526981419387184,0.003465336659711271
17,0.16706602730067566,2.3168,0.004049412097584026,2.384038120500593,0.0,0.9045795651799916,0.0,0,20,0.9005301530824076,0.25486643782051827,1158.4,500.0,72.61845495464635,0.004049412097584026
18,0.2247032594602274,2.3222,0.004441392785047071,2.3854113188295223,0.0,0.9090209579650387,0.0,0,20,0.9045795651799916,0.2578650684348441,1161.1,500.0,63.490077964986,0.004441392785047071
19,0.39727006337816917,2.3126,0.004740606253293755,2.3641237784853826,0.0,0.9137615642183324,0.0,0,20,0.9090209579650387,0.2632226070099825,1156.3,500.0,50.66073430182393,0.004740606253293755
20,0.4495645022699346,2.3234,0.004636795897814183,2.3867577254509933,0.0,0.9183983601161466,0.0,0,20,0.9137615642183324,0.26937099949968124,1161.7,500.0,61.70664469893011,0.004636795897814183
21,0.25155594030699646,2.3262,0.003770726191985041,2.376803222818414,0.0,0.9221690863081317,0.0,0,20,0.9183983601161466,0.2728506562883552,1163.1,500.0,57.54815374970773,0.003770726191985041
22,0.2988940479252342,2.3486,0.0036163640277309117,2.3937581415005154,0.0,0.9257854503358626,0.0,0,20,0.9221690863081317,0.2770214329509855,1174.3,500.0,67.11266646468461,0.0036163640277309117
23,0.1723980283779376,2.3258,0.003024389808166883,2.3719726726924995,0.0,0.9288098401440295,0.0,0,20,0.9257854503358626,0.27944488287979874,1162.9,500.0,58.64972293199687,0.003024389808166883
24,0.29123484288851564,2.267,0.002920908603945116,2.314024848613342,0.0,0.9317307487479746,0.0,0,20,0.9288098401440295,0.2835682002858192,1133.5,500.0,47.5473448259732,0.002920908603945116
25,0.23101639681553543,2.3118,0.002344637673161176,2.3438388937808847,0.0,0.9340753864211357,0.0,0,20,0.9317307487479746,0.2868649532486612,1155.9,500.0,56.651478356703095,0.002344637673161176
26,0.19513996162790193,2.27,0.0024044590724126014,2.31445457937718,0.0,0.9364798454935483,0.0,0,20,0.9340753864211357,0.2896675008448728,1135.0,500.0,51.608138893007954,0.0024044590724126014
27,0.06645650012170279,2.3242,0.0026441210677708993,2.357985233202278,0.0,0.9391239665613192,0.0,0,20,0.9364798454935483,0.29062562397768665,1162.1,500.0,37.41376751945732,0.0026441210677708993
28,0.09579134480349794,2.2836,0.002696915872081429,2.3041638483406515,0.0,0.9418208824334007,0.0,0,20,0.9391239665613192,0.2920099622668752,1141.8,500.0,39.69332437576878,0.002696915872081429
29,0.011215465894629517,2.2706,0.002527006684138522,2.2922424915353083,0.0,0.9443478891175392,0.0,0,20,0.9418208824334007,0.29217229685859497,1135.3,500.0,60.713342849821736,0.002527006684138522
30,0.030073863321135264,2.2836,0.0023646657628765277,2.303816624647023,0.0,0.9467125548804157,0.0,0,20,0.9443478891175392,0.2926078526000866,1141.8,500.0,49.55764320465614,0.0023646657628765277
31,0.10767756552167818,2.3012,0.0015943282251144053,2.3422379383828624,0.0,0.9483068831055301,0.0,0,20,0.9467125548804157,0.2910501337839382,1150.6,500.0,57.17377020977364,0.0015943282251144053
32,0.2033394074037922,2.2882,0.001615688417576755,2.327518154601592,0.0,0.9499225715231069,0.0,0,20,0.9483068831055301,0.28812189913808517,1144.1,500.0,70.0442003309339,0.001615688417576755
33,0.12911531741527682,2.3256,0.0017426967358998846,2.3703975700291293,0.0,0.9516652682590068,0.0,0,20,0.9499225715231069,0.28627167691468786,1162.8,500.0,56.619431293505585,0.0017426967358998846
34,0.024940892936008652,2.2774,0.0018858509577898142,2.312455240647914,0.0,0.9535511192167966,0.0,0,20,0.9516652682590068,0.2859150950771735,1138.7,500.0,50.31212577500577,0.0018858509577898142
35,0.09437137831601383,2.293,0.002103466164398493,2.309664694279237,0.0,0.9556545853811951,0.0,0,20,0.9535511192167966,0.2872657310951934,1146.5,500.0,58.06849403936699,0.002103466164398493
