RewardStd,RewardMean,ITERATIONS,Traj,ReturnsMean,ConfortViolation,DeltaOmega,NormDeltaVar,Wins,OmegaBefore,TimestepsMean,TimestepsStd,ReturnsStd,Theta,NormDeltaOmega,Omega
2.4301516331290935,2.3452,0,20,1172.6,0,0.01085792,0.9899998236611864,0.0,0.8,500.0,0.0,47.91283752816149,0.18914208,0.010857917825496055,0.81085792
2.4673488930428955,2.3712,1,20,1185.6,0,0.00949393,0.9188163631897268,0.0,0.81085792,500.0,0.0,60.78355040633937,0.17947455,0.009493934139694349,0.82035185
2.494906803870638,2.3998,2,20,1199.9,0,0.00846462,0.4666209618373891,0.0,0.82035185,500.0,0.0,40.65697972058426,0.17471467,0.00846461974993451,0.82881647
2.466358319466172,2.3892,3,20,1194.6,0,0.00842687,0.2875616691824838,0.0,0.82881647,500.0,0.0,74.2646618520545,0.17763614,0.008426868258820774,0.83724334
2.429812955764291,2.347,4,20,1173.5,0,0.00836858,0.4568807769828851,0.0,0.83724334,500.0,0.0,59.494117356256325,0.18235633,0.008368576839261732,0.84561192
2.4289578011978716,2.358,5,20,1179.0,0,0.00826839,0.6343995467127215,0.0,0.84561192,500.0,0.0,71.29235583146345,0.18907129,0.008268393853997025,0.85388031
2.469558632630535,2.3996,6,20,1199.8,0,0.00741723,0.522385182286623,0.0,0.85388031,500.0,0.0,66.84280065945772,0.1947417,0.007417230606548086,0.86129754
2.422857148079515,2.3518,7,20,1175.9,0,0.00696473,0.49676658807791085,0.0,0.86129754,500.0,0.0,70.62711943722468,0.20025275,0.006964727428034556,0.86826227
2.4818341282204983,2.3956,8,20,1197.8,0,0.00625349,0.4778039015998843,0.0,0.86826227,500.0,0.0,71.59580993326355,0.20566296,0.006253491968340019,0.87451576
2.510934296233177,2.4336,9,20,1216.8,0,0.00568842,0.2785388913928486,0.0,0.87451576,500.0,0.0,65.25151339241106,0.20886651,0.005688418140002649,0.88020418
