TimestepsStd,TimestepsMean,RewardMean,ReturnsMean,ReturnsStd,Wins,Theta,NormDeltaOmega,OmegaBefore,ITERATIONS,Traj,ConfortViolation,Omega,NormDeltaVar,RewardStd,DeltaOmega
0.0,500.0,2.3218,1160.9,51.17216039996748,0.0,0.21131879,0.010857918159811741,0.8,0,20,0,0.81085792,0.9899999154905679,2.4096565647411254,0.01085792
0.0,500.0,2.3422,1171.1,47.499368416853706,0.0,0.22273008,0.010234438897061438,0.81085792,1,20,0,0.82109236,0.9595334584998163,2.4258811100299207,0.01023444
0.0,500.0,2.3334,1166.7,64.18496708731726,0.0,0.22535419,0.006607544200321502,0.82109236,2,20,0,0.8276999,0.21563532506215566,2.411564728552812,0.00660754
0.0,500.0,2.3508,1175.4,65.77567939595912,0.0,0.23126032,0.0075031589912438745,0.8276999,3,20,0,0.83520306,0.47891656013743855,2.403859263767328,0.00750316
0.0,500.0,2.3204,1160.2,46.59570795684942,0.0,0.23357293,0.005818646145509754,0.83520306,4,20,0,0.84102171,0.185188554326011,2.4100920812284334,0.00581865
0.0,500.0,2.3392,1169.6,61.438098928921946,0.0,0.23416965,0.005294174697229481,0.84102171,5,20,0,0.84631588,0.04757677346163902,2.4281975537422817,0.00529417
0.0,500.0,2.3724,1186.2,69.22109505056967,0.0,0.23796152,0.006192884596033621,0.84631588,6,20,0,0.85250877,0.30038179825542954,2.4507383050827762,0.00619288
0.0,500.0,2.3632,1181.6,44.84462063614765,0.0,0.24274414,0.006655456367733237,0.85250877,7,20,0,0.85916422,0.37421257746154524,2.4414925271235215,0.00665546
0.0,500.0,2.339,1169.5,65.31117821629005,0.0,0.24602565,0.0060354170156761144,0.85916422,8,20,0,0.86519964,0.2538664152441328,2.408459881334958,0.00603542
0.0,500.0,2.3402,1170.1,57.31134268188104,0.0,0.24788391,0.005274716851007666,0.86519964,9,20,0,0.87047436,0.14274859770414672,2.4087888990112853,0.00527472
0.0,500.0,2.3256,1162.8,36.23478991245844,0.0,0.25032442,0.005524987953118843,0.87047436,10,20,0,0.87599934,0.18639100873948244,2.3872127345504843,0.00552499
0.0,500.0,2.3516,1175.8,54.97235668952169,0.0,0.25625428,0.005829916551819636,0.87599934,11,20,0,0.88182926,0.44791186248843573,2.4140375804862693,0.00582992
0.0,500.0,2.3304,1165.2,72.23129515660092,0.0,0.26356436,0.005750667992179714,0.88182926,12,20,0,0.88757993,0.542924502779881,2.387558552161601,0.00575067
0.0,500.0,2.3312,1165.6,62.72670882486982,0.0,0.26894378,0.0047558230243830435,0.88757993,13,20,0,0.89233575,0.3933746634592712,2.3901268920289565,0.00475582
