TimestepsStd,TimestepsMean,RewardMean,ReturnsMean,ReturnsStd,Wins,Theta,NormDeltaOmega,OmegaBefore,ITERATIONS,Traj,ConfortViolation,Omega,NormDeltaVar,RewardStd,DeltaOmega
0.0,500.0,2.3012,1150.6,38.247091392679785,0.0,0.27477141,0.004928039638643411,0.89233575,14,20,0,0.89726379,0.4205807179069758,2.351781996699524,0.00492804
0.0,500.0,2.3108,1155.4,46.89605527120592,0.0,0.28233414,0.0049708433017202625,0.89726379,15,20,0,0.90223463,0.5376366119208065,2.3630919068034575,0.00497084
0.0,500.0,2.2982,1149.1,52.350644695170665,0.0,0.28849048,0.0042957816880011546,0.90223463,16,20,0,0.90653042,0.4312298689484688,2.332954513058495,0.00429578
0.0,500.0,2.3018,1150.9,46.075915617597886,0.0,0.29524479,0.004427454687106924,0.90653042,17,20,0,0.91095787,0.4668715726280368,2.351449927172595,0.00442745
0.0,500.0,2.2912,1145.6,63.8423057227729,0.0,0.2994486,0.004301148746397199,0.91095787,18,20,0,0.91525902,0.28743905208857434,2.353890940549286,0.00430115
0.0,500.0,2.2988,1149.4,39.2382466478817,0.0,0.3045856,0.004365535939385157,0.91525902,19,20,0,0.91962456,0.34813168667706584,2.33775930326456,0.00436554
0.0,500.0,2.2858,1142.9,77.89602043750374,0.0,0.30819274,0.0039061108586851967,0.91962456,20,20,0,0.92353067,0.2424818911533233,2.325063087316127,0.00390611
0.0,500.0,2.238,1119.0,50.13781008380801,0.0,0.31247932,0.0040005914290521805,0.92353067,21,20,0,0.92753126,0.28612029880676104,2.27089321633581,0.00400059
0.0,500.0,2.319,1159.5,46.6513665394702,0.0,0.31450925,0.0030394170333305492,0.92753126,22,20,0,0.93057067,0.13474372757916164,2.3612367522127045,0.00303942
0.0,500.0,2.2466,1123.3,45.48527234171518,0.0,0.31804499,0.0030451964513431573,0.93057067,23,20,0,0.93361587,0.2335811969432413,2.2672424749020563,0.0030452
0.0,500.0,2.2536,1126.8,53.525321110666866,0.0,0.32401438,0.0033907559441778146,0.93361587,24,20,0,0.93700663,0.39124246459424583,2.2683225167510903,0.00339076
0.0,500.0,2.285,1142.5,61.70210693323203,0.0,0.32595404,0.0023376779716676177,0.93700663,25,20,0,0.93934431,0.12631393427608728,2.3009508903929268,0.00233768
0.0,500.0,2.2242,1112.1,51.72030549020375,0.0,0.32606279,0.0018892220882732458,0.93934431,26,20,0,0.94123353,0.007070505267295246,2.2390476457637076,0.00188922
0.0,500.0,2.2392,1119.6,41.1902901179392,0.0,0.32514478,0.001712966297781171,0.94123353,27,20,0,0.94294649,0.05972333779262584,2.2375842688041936,0.00171297
0.0,500.0,2.222,1111.0,52.46903848937962,0.0,0.32207222,0.0008450539850255456,0.94294649,28,20,0,0.94379155,0.20053324971201114,2.247735749593355,0.00084505
0.0,500.0,2.2544,1127.2,52.4,0.0,0.31779948,0.0007837980209870477,0.94379155,29,20,0,0.94457535,0.28054383923477033,2.264349937620066,0.0007838
0.0,500.0,2.2384,1119.2,45.95824191589578,0.0,0.31475048,0.0011912745729647511,0.94457535,30,20,0,0.94576662,0.20142639523606043,2.265031001995337,0.00119127
0.0,500.0,2.3154,1157.7,55.77911795645392,0.0,0.3120852,0.001254931236430834,0.94576662,31,20,0,0.94702155,0.17694156731555033,2.3551056961418952,0.00125493
0.0,500.0,2.2984,1149.2,52.56386591566492,0.0,0.30690473,8.292042712243486e-06,0.94702155,32,20,0,0.94701326,0.3463049513464238,2.321498964031645,-8.29204271e-06
0.0,500.0,2.2648,1132.4,59.28102563215315,0.0,0.29996105,0.0007118596885128392,0.94701326,33,20,0,0.9463014,0.46933179769036926,2.298234313554647,-0.00071186
0.0,500.0,2.2404,1120.2,47.555861888940676,0.0,0.29391463,0.00015574385660066525,0.9463014,34,20,0,0.94614566,0.41376392962705033,2.2681727976501262,-0.00015574
0.0,500.0,2.3286,1164.3,49.70020120683617,0.0,0.28920979,0.0003241858288719479,0.94614566,35,20,0,0.94646984,0.32540237278548645,2.359580903465698,0.00032419
0.0,500.0,2.2516,1125.8,45.575870809014724,0.0,0.28173934,0.0003309600044336669,0.94646984,36,20,0,0.94613888,0.5232178236647282,2.3002385615409544,-0.00033096
0.0,500.0,2.3246,1162.3,53.236359755340146,0.0,0.27521938,0.0001161756971269634,0.94613888,37,20,0,0.94625506,0.46357497530757286,2.367917827966165,0.00011618
0.0,500.0,2.349,1174.5,42.7077276379814,0.0,0.27016046,0.0002618924581667681,0.94625506,38,20,0,0.94651695,0.36440203100189095,2.377771856171235,0.00026189
0.0,500.0,2.2618,1130.9,63.27234783062819,0.0,0.26476052,0.00022896062999000488,0.94651695,39,20,0,0.94628799,0.39374208519909537,2.296750042995537,-0.00022896
