DeltaOmega,ConfortViolation,Omega,ReturnsStd,ITERATIONS,OmegaBefore,Theta,TimestepsMean,RewardMean,Wins,Traj,NormDeltaOmega,TimestepsStd,ReturnsMean,RewardStd,NormDeltaVar
0.00111765,0,0.80111765,54.87039274508613,0,0.8,0.20112235,500.0,2.3324,0.0,20,0.001117648313398556,0.0,1166.2,2.3974799769758244,0.09999999834547779
-0.0003632,0,0.80075445,71.87732604931823,0,0.80111765,0.20138341,500.0,2.341,0.0,20,0.0003632021319545098,0.0,1170.5,2.4086757772684972,0.023200001774910106
0.00049157,0,0.80124602,61.930525591181606,0,0.80075445,0.20107681,500.0,2.3742,0.0,20,0.000491571601801688,0.0,1187.1,2.450382492591718,0.027249769059082496
0.00054184,0,0.80178786,47.493578513310624,0,0.80124602,0.20094984,500.0,2.3492,0.0,20,0.0005418397769527683,0.0,1174.6,2.4282626217112515,0.011293819229592827
0.00073158,0,0.80251943,70.52793772683276,0,0.80178786,0.20059262,500.0,2.3698,0.0,20,0.0007315768973463754,0.0,1184.9,2.4561042241729076,0.03180236382581825
0.00085078,0,0.80337021,66.42710290235455,0,0.80251943,0.1999563,500.0,2.3936,0.0,20,0.0008507784931885976,0.0,1196.8,2.4790883485668678,0.05675575193762228
0.00085779,0,0.804228,53.40589855062828,0,0.80337021,0.19932172,500.0,2.3338,0.0,20,0.0008577874668994623,0.0,1166.9,2.4212760189619025,0.05673654317730481
0.00064062,0,0.80486862,52.757558700152146,0,0.804228,0.19869285,500.0,2.3424,0.0,20,0.0006406197972419481,0.0,1171.2,2.4072312394117854,0.05635893237869283
0.0007561,0,0.80562472,53.210055440677756,0,0.80486862,0.19828523,500.0,2.3526,0.0,20,0.0007561006419208871,0.0,1176.3,2.439851069225333,0.03660263753571513
0.00072943,0,0.80635415,49.43794089563197,0,0.80562472,0.19791369,500.0,2.3126,0.0,20,0.0007294326158445719,0.0,1156.3,2.4003918930041404,0.033411731738368644
0.0008229,0,0.80717706,47.41255108091105,0,0.80635415,0.1974775,500.0,2.371,0.0,20,0.0008229018047417602,0.0,1185.5,2.4551087552285744,0.039286877754236116
0.00080947,0,0.80798653,64.93773941245568,0,0.80717706,0.19712022,500.0,2.3694,0.0,20,0.0008094745125977187,0.0,1184.7,2.441954880828063,0.032228065790587124
0.00054884,0,0.80853537,62.703349192846154,0,0.80798653,0.19665019,500.0,2.3234,0.0,20,0.000548838378477079,0.0,1161.7,2.406452251759839,0.04246551577440627
0.00050175,0,0.80903712,49.30679466361608,0,0.80853537,0.19607936,500.0,2.3516,0.0,20,0.0005017541433971484,0.0,1175.8,2.4176801773601073,0.051675704552316404
0.00046522,0,0.80950235,49.28884255082483,0,0.80903712,0.19545967,500.0,2.3322,0.0,20,0.00046522483749866783,0.0,1166.1,2.411232705484893,0.05622777041074656
0.00044756,0,0.80994991,56.30488433519778,0,0.80950235,0.194926,500.0,2.3608,0.0,20,0.0004475618616422983,0.0,1180.4,2.436600779774972,0.048530523997960984
0.00050393,0,0.81045384,65.42927479347452,0,0.80994991,0.19435766,500.0,2.3622,0.0,20,0.0005039321688848908,0.0,1181.1,2.438444413965592,0.051794963360002555
0.00024062,0,0.81069446,56.19777575669699,0,0.81045384,0.19377029,500.0,2.3462,0.0,20,0.00024062114415102087,0.0,1173.1,2.415728784445804,0.05365003167514715
0.00034652,0,0.81104098,54.15939438361548,0,0.81069446,0.19308922,500.0,2.3668,0.0,20,0.00034651979161848256,0.0,1183.4,2.432582528918598,0.06236291326361254
0.00025904,0,0.81130002,44.74326765000518,0,0.81104098,0.1924678,500.0,2.3444,0.0,20,0.00025904140821952915,0.0,1172.2,2.425322378571558,0.05704797199884126
0.0002455,0,0.81154552,43.42303536143,0,0.81130002,0.19174738,500.0,2.3324,0.0,20,0.0002454980978199295,0.0,1166.2,2.4091305983694613,0.06631118387511492
0.00032579,0,0.81187131,51.10029354123125,0,0.81154552,0.19114696,500.0,2.3468,0.0,20,0.0003257917682067957,0.0,1173.4,2.4140691290847496,0.05541146878763925
0.00048017,0,0.81235148,65.37767202952396,0,0.81187131,0.19052965,500.0,2.3728,0.0,20,0.0004801671479998104,0.0,1186.4,2.445285292148955,0.05710880736064894
0.0005882,0,0.81293968,63.25535550449463,0,0.81235148,0.1899142,500.0,2.4172,0.0,20,0.0005882013201506942,0.0,1208.6,2.4918154345777697,0.057077869548376015
