DualBefore,WeightMin,TimestepsMean,WeightMean,NormDeltaOmega,Epsilon,ReturnsMean,DeltaOmega,Omega,ITERATIONS,OmegaBefore,TimestepsStd,DualReg,WeightMedian,LossReg,NormDeltaVar,Primal,ReturnsStd,Eta,RewardMean,DualAfter,WeightMax,Traj,Wins,ConfortViolation,RewardStd
7.862872303834834,0.00590702868641028,500.0,0.00590702868641028,0.1389328681393701,1.3201,1187.0707070707072,[[0.13893287]],[[0.93893287]],0,[[0.8]],0.0,0.0,0.01648523961116228,0.0,19.23536916079183,7.3773667165353825,60.541204354989304,1.9487052700973713,2.37364,7.377365220524439,1.0,100,0.0,0,2.452523832789398
7.733304466829619,0.0018507691142067757,500.0,0.0018507691142067757,0.04273490064664098,1.3201,1331.6565656565656,[[0.0427349]],[[0.98166777]],1,[[0.93893287]],0.0,0.0,0.006514510594013186,0.0,17.826027836941677,7.628330208108953,71.4762320622838,1.5892808754643446,2.66216,7.628330133153673,1.0,100,0.0,0,2.748225633822667
7.877465098808583,0.000461175104939622,500.0,0.000461175104939622,0.01255075879923917,1.3201,1453.4747474747476,[[0.01255076]],[[0.99421853]],2,[[0.98166777]],0.0,0.0,0.002143347971222792,0.0,16.667235498832945,7.861116553791627,78.44065419791472,1.3017896255398105,2.90492,7.861114672222243,1.0,100,0.0,0,2.931443295306938
7.921942724921671,0.0011027405695361097,500.0,0.0011027405695361097,0.002645075772457761,1.3201,1485.7777777777778,[[0.00264508]],[[0.9968636]],3,[[0.99421853]],0.0,0.0,0.0060513882037856355,0.0,8.774867754988733,7.917730282553555,74.00730997959096,1.1747504821645731,2.9724,7.917730344160237,1.0,100,0.0,0,2.9839903217001225
7.9262182196596065,0.0010240948136974425,500.0,0.0010240948136974425,0.0001844890620377182,1.3201,1490.0,[[0.00018449]],[[0.99704809]],4,[[0.9968636]],0.0,0.0,0.005724731536310059,0.0,0.8686861208143171,7.92268566364031,85.77442815462267,1.162124137533255,2.97984,7.922678042873747,1.0,100,0.0,0,2.9875865802349564
7.926775747581312,0.001015302859437792,500.0,0.001015302859437792,3.4420747209273905e-05,1.3201,1490.4242424242425,[[3.44207472e-05]],[[0.99708251]],5,[[0.99704809]],0.0,0.0,0.005687831302087847,0.0,0.1680506961700985,7.923318608894781,82.93079637904391,1.1606703945607846,2.97948,7.9233117296294155,1.0,100,0.0,0,2.988949469228277
7.93311855774612,0.0009001589460439038,500.0,0.0009001589460439038,0.00025458925931798326,1.3201,1496.8080808080808,[[0.00025459]],[[0.9973371]],6,[[0.99708251]],0.0,0.0,0.005196840664073169,0.0,1.3080432902976895,7.9305605906278,77.91158894719257,1.1407485175384455,2.99224,7.93055936570201,1.0,100,0.0,0,2.9931554891786027
7.9161815211373465,0.0012118740426309649,500.0,0.0012118740426309649,0.0007081301830447195,1.3201,1480.4848484848485,[[-0.00070813]],[[0.99662897]],7,[[0.9973371]],0.0,0.0,0.006495208735711117,0.0,3.3787585704690457,7.910979873431493,69.74996667554522,1.1912584285581151,2.96132,7.9109800898981,1.0,100,0.0,0,2.9798697719195713
7.935506082794432,0.0008598446547184409,500.0,0.0008598446547184409,0.0008234485654178281,1.3201,1497.8181818181818,[[0.00082345]],[[0.99745242]],8,[[0.99662897]],0.0,0.0,0.005021286444263214,0.0,4.01285701919285,7.933246017781296,77.05492775704684,1.1333437230316303,2.9946,7.933245452104266,1.0,100,0.0,0,2.996392971557636
7.936784373769445,0.0008369933779120232,500.0,0.0008369933779120232,4.567094901442026e-05,1.3201,1497.979797979798,[[4.5670949e-05]],[[0.99749809]],9,[[0.99745242]],0.0,0.0,0.004920865745623916,0.0,0.25908029202733474,7.934684931906296,82.35252871538174,1.1290354267752483,2.99756,7.934684587783457,1.0,100,0.0,0,2.9969841585166908
