WeightMin,OmegaBefore,TimestepsStd,ReturnsStd,Epsilon,DualReg,NormDeltaVar,DeltaOmega,TimestepsMean,WeightMedian,ConfortViolation,RewardStd,ITERATIONS,ReturnsMean,Traj,WeightMean,Primal,DualAfter,WeightMax,Eta,Omega,LossReg,NormDeltaOmega,DualBefore,RewardMean,Wins
0.17190874525149302,[[0.8]],0.0,59.92066993143635,0.1401,0.0,28.43048164695366,[[-0.4465342]],500.0,0.2444772075518867,0,2.4276826889855276,0,1173.7575757575758,100,0.17190874525149302,3.7984851416097336,3.7984851376081217,1.0,5.679264146308691,[[0.3534658]],0.0,0.4465341979369756,6.6543634348390555,2.34704,0.0
0.27579484193590315,[[0.3534658]],0.0,87.65842567533585,0.1401,0.0,8.325888868210853,[[-0.11960747]],500.0,0.3568362047220488,0,3.638378596243112,1,1637.79797979798,100,0.27579484193590315,5.348506723484537,5.348506688705317,1.0,7.7633843666225,[[0.23385833]],0.0,0.1196074683355437,8.550407899590397,3.27648,0.0
0.2928385071483483,[[0.23385833]],0.0,113.26872246758967,0.1401,0.0,9.211841637623284,[[-0.09579633]],500.0,0.3743712998704549,0,4.271682977750105,2,2237.878787878788,100,0.2928385071483483,6.773116498173938,6.773116483519245,1.0,8.142434021591056,[[0.138062]],0.0,0.09579633454698588,9.115296739580655,4.47624,0.0
0.25072789227067227,[[0.138062]],0.0,138.5434602517665,0.1401,0.0,12.8439124423031,[[-0.07686769]],500.0,1.0,0,4.4282846287925075,3,3081.050505050505,100,0.25072789227067227,8.377696158053396,8.377695611939107,1.0,7.228635109158193,[[0.06119431]],0.0,0.07686769188025655,9.564554861314974,6.16092,0.0
0.10731990127647097,[[0.06119431]],0.0,105.55435889322169,0.1401,0.0,23.377864052985238,[[-0.04866412]],500.0,1.0,0,3.7671561498828265,4,3986.787878787879,100,0.10731990127647097,9.656690500895618,9.656690505454556,1.0,4.4804048240697325,[[0.01253019]],0.0,0.04866411547509698,9.882475920656997,7.97868,0.0
0.0,[[0.01253019]],0.0,60.57234078788453,0.1401,0.0,223.72218504121048,[[-0.01253019]],500.0,1.0,0,2.0150376052074064,5,4765.959595959596,100,0.0,9.999999999998185,10.000834805594607,1.0,0.009626412744765474,[[2.00512828e-09]],0.0,0.012530189820013077,10.08673912487144,9.53136,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,6,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,7,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,8,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,9,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,10,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,11,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,12,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,13,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,14,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,15,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
0.0,[[2.00512828e-09]],0.0,0.0,0.1401,0.0,0.0,[[0.]],500.0,1.0,0,0.4467661580737735,16,4990.0,100,0.0,9.999999999997792,10.000972406455713,1.0,0.007041423297351846,[[2.00512828e-09]],0.0,0.0,10.138098088311146,9.98,0.0
