Traj,WeightMedian,RewardMean,Wins,NormDeltaVar,LossReg,ITERATIONS,RewardStd,WeightMin,TimestepsMean,NormDeltaOmega,WeightMean,OmegaBefore,Eta,Epsilon,TimestepsStd,DeltaOmega,ConfortViolation,Primal,ReturnsMean,WeightMax,DualBefore,DualReg,DualAfter,Omega,ReturnsStd
100,0.03218269536090361,2.34396,0.0,9.215292517603636,0.0,0,2.4180346396195405,0.013631009416873584,500.0,0.08405105364347876,0.013631009416873584,[[0.8]],2.328067567100099,0.9901,0.0,[[0.08405105]],0,6.611370369207774,1171.4545454545455,1.0,7.484457208352884,0.0,6.611370960959606,[[0.88405105]],57.93888677348714
100,0.02616212820611069,2.50668,0.0,7.640085617026944,0.0,1,2.5940230102294777,0.010521831363695715,500.0,0.044601348600824986,0.010521831363695715,[[0.88405105]],2.19572566730931,0.9901,0.0,[[0.04460135]],0,6.808110372387303,1254.0,1.0,7.368672498335327,0.0,6.8081105884138,[[0.9286524]],68.09322189973733
100,0.022432822026573852,2.665,0.0,5.818045525666804,0.0,2,2.74423304403981,0.008681702279214415,500.0,0.02270702928344337,0.008681702279214415,[[0.9286524]],2.1067988348698137,0.9901,0.0,[[0.02270703]],0,7.024690941478977,1333.3535353535353,1.0,7.418734081456167,0.0,7.024691002854223,[[0.95135943]],77.50807232398482
100,0.020500086821995635,2.74692,0.0,2.8374709941639296,0.0,3,2.8119371460969753,0.007757014896860386,500.0,0.008409653386771021,0.007757014896860386,[[0.95135943]],2.0579698424077306,0.9901,0.0,[[0.00840965]],0,7.127692517512906,1373.1919191919192,1.0,7.45392658690645,0.0,7.1276926729183,[[0.95976908]],68.58684339008242
100,0.019625309809192398,2.78612,0.0,1.4440767032078412,0.0,4,2.845321659426224,0.007345487967533872,500.0,0.003726769597316437,0.007345487967533872,[[0.95976908]],2.035139104052482,0.9901,0.0,[[0.00372677]],0,7.178598510362176,1393.4343434343434,1.0,7.477273316216694,0.0,7.178598344914622,[[0.96349585]],74.08760329463128
100,0.019552219446917166,2.7858,0.0,0.16177633455458107,0.0,5,2.8476022123885207,0.007311307984544867,500.0,0.00039621133324507785,0.007311307984544867,[[0.96349585]],2.0332091821058187,0.9901,0.0,[[0.00039621]],0,7.17904019430882,1393.2929292929293,1.0,7.474739131809047,0.0,7.179040174611341,[[0.96389207]],82.42698054473591
100,0.019059996164999427,2.8078,0.0,0.48714108847515547,0.0,6,2.8590381529458466,0.0070819606797040075,500.0,0.0011682243041746254,0.0070819606797040075,[[0.96389207]],2.020118571979498,0.9901,0.0,[[0.00116822]],0,7.200994953112555,1404.5454545454545,1.0,7.483160451859125,0.0,7.200993146175281,[[0.96506029]],79.97667244831145
100,0.019433631308310027,2.79148,0.0,0.38210379844421993,0.0,7,2.850045510092777,0.007255919383687326,500.0,0.0009131939541061618,0.007255919383687326,[[0.96506029]],2.030070345317284,0.9901,0.0,[[-0.00091319]],0,7.184401180433552,1396.2626262626263,1.0,7.4769395059300905,0.0,7.184405611114245,[[0.9641471]],76.18777783931385
100,0.01908675169489238,2.80532,0.0,0.5558382069668824,0.0,8,2.8619468369625594,0.007094389515309569,500.0,0.0013209523761480435,0.007094389515309569,[[0.9641471]],2.020834391773465,0.9901,0.0,[[0.00132095]],0,7.201771582235258,1401.5151515151515,1.0,7.4838638416968735,0.0,7.201770845861782,[[0.96546805]],83.19823760229876
100,0.018978379815175344,2.81236,0.0,0.24479356281764098,0.0,9,2.8680570479681884,0.00704407412522577,500.0,0.0005667562321487463,0.00704407412522577,[[0.96546805]],2.0179319221130356,0.9901,0.0,[[0.00056676]],0,7.211854521508562,1406.1010101010102,1.0,7.4910530042736525,0.0,7.211854194753281,[[0.9660348]],75.57637049208881
