LossReg,Epsilon,TimestepsMean,ConfortViolation,TimestepsStd,RewardMean,Traj,NormDeltaOmega,RewardStd,WeightMax,WeightMedian,WeightMean,Wins,OmegaBefore,Primal,DualAfter,NormDeltaVar,ReturnsMean,ReturnsStd,DualBefore,ITERATIONS,DualReg,Eta,Omega,WeightMin,DeltaOmega
0.0,0.0090001,500.0,0,0.0,2.3636,20,0.331791207058354,2.4383180760516048,1.0,0.6630657068143875,0.598336792440077,0.0,[[0.8]],2.702628141060925,2.7026281094021973,21.62329957568642,1183.157894736842,49.37638809016942,6.523556158224652,0,0.0,19.47034866948499,[[0.46820879]],0.598336792440077,[[-0.33179121]]
0.0,0.0090001,500.0,0,0.0,2.6642,20,0.025838085744916972,3.005867322421267,1.0,0.7160071830246293,0.6586379095450504,0.0,[[0.46820879]],3.0816906549650964,3.081690654544918,1.488707828252959,1335.0526315789473,67.90199879564086,7.8361663921611715,1,0.0,23.947429650675467,[[0.44237071]],0.6586379095450504,[[-0.02583809]]
0.0,0.0090001,500.0,0,0.0,2.7362,20,0.013863166985080944,3.1348380436635,1.0,0.7251641291659231,0.6691837580466886,0.0,[[0.44237071]],3.170880108698515,3.1708801249921477,0.8056685372556145,1364.3157894736842,83.57854964773459,7.979558038964735,2,0.0,24.894411544302056,[[0.42850754]],0.6691837580466886,[[-0.01386317]]
0.0,0.0090001,500.0,0,0.0,2.8272,20,0.014671933442290064,3.2267228204480163,1.0,0.7310560586550914,0.6759870106202743,0.0,[[0.42850754]],3.2738406182704214,3.2738392985906497,0.8598360009589978,1417.7894736842106,74.01819047217802,8.066994231550707,3,0.0,25.537473270343302,[[0.41383561]],0.6759870106202743,[[-0.01467193]]
0.0,0.0090001,500.0,0,0.0,2.8938,20,0.01271729509627706,3.2993213787080515,1.0,0.7355166304076641,0.6811466436783583,0.0,[[0.41383561]],3.3498651113034548,3.3498651616692694,0.7525166135275247,1439.0526315789473,77.68592210352396,8.13040174952417,4,0.0,26.043181768362068,[[0.40111831]],0.6811466436783583,[[-0.0127173]]
0.0,0.0090001,500.0,0,0.0,2.944,20,0.00964887375717638,3.3511884459098984,1.0,0.7385903738190622,0.6847066626990466,0.0,[[0.40111831]],3.4067737574690633,3.406773757698459,0.5761721434045608,1475.3684210526317,82.81126959050401,8.174296729275598,5,0.0,26.401611240902664,[[0.39146944]],0.6847066626990466,[[-0.00964887]]
0.0,0.0090001,500.0,0,0.0,3.0626,20,0.023749927115282565,3.46226533356414,1.0,0.7448097040622745,0.6919212329745447,0.0,[[0.39146944]],3.5395937848835732,3.539593307863683,1.4410424381036435,1532.3157894736842,57.05127207547052,8.258344777273775,6,0.0,27.153020342022238,[[0.36771951]],0.6919212329745447,[[-0.02374993]]
0.0,0.0090001,500.0,0,0.0,3.1414,20,0.007705274873623824,3.53021331366817,1.0,0.7486034172392784,0.6963294392678627,0.0,[[0.36771951]],3.627245637557158,3.627245692669752,0.47556711539413943,1564.1052631578948,101.79126978222699,8.331560466412412,7,0.0,27.629469054205167,[[0.36001424]],0.6963294392678627,[[-0.00770527]]
0.0,0.0090001,500.0,0,0.0,3.241,20,0.01753188510178333,3.614902349995087,1.0,0.7529810013622886,0.701423033412331,0.0,[[0.36001424]],3.737641433863329,3.7376414916541147,1.0992731805165654,1620.1052631578948,93.32788534422863,8.39726586799414,8,0.0,28.197282645205362,[[0.34248235]],0.701423033412331,[[-0.01753189]]
0.0,0.0090001,500.0,0,0.0,3.3224,20,0.011134554736641322,3.6837017034499415,1.0,0.7564825441518471,0.7055026329716004,0.0,[[0.34248235]],3.8278803217974695,3.827880516394875,0.7120571747414761,1658.842105263158,89.60102393558184,8.458885410090565,9,0.0,28.666044896027515,[[0.3313478]],0.7055026329716004,[[-0.01113455]]
0.0,0.0090001,500.0,0,0.0,3.4128,20,0.01269788280111156,3.746891532991047,1.0,0.7594914471009706,0.7090120386803291,0.0,[[0.3313478]],3.926244586458154,3.926245004659359,0.826967402720804,1692.421052631579,127.52639181525635,8.508929825744529,10,0.0,29.079677120298623,[[0.31864991]],0.7090120386803291,[[-0.01269788]]
0.0,0.0090001,500.0,0,0.0,3.57,20,0.020063715503663815,3.8518437143788686,1.0,0.7643098571980513,0.714639185205268,0.0,[[0.31864991]],4.0966493001299025,4.096649286700838,1.343659321943159,1790.5263157894738,112.10867303931984,8.59548334774312,11,0.0,29.76389790342595,[[0.2985862]],0.714639185205268,[[-0.02006372]]
0.0,0.0090001,500.0,0,0.0,3.758,20,0.018393525982022763,3.9595752297437157,1.0,0.7689820932891483,0.7201040998329925,0.0,[[0.2985862]],4.29809735652232,4.298097315982234,1.278096306153241,1879.3684210526317,87.69577228381249,8.692205334418231,12,0.0,30.45442623991913,[[0.28019267]],0.7201040998329925,[[-0.01839353]]
0.0,0.0090001,500.0,0,0.0,3.9262,20,0.016070491061475345,4.046993150476042,1.0,0.7725533879933937,0.7242868941794005,0.0,[[0.28019267]],4.477088112032875,4.477088035560157,1.1592314284040999,1952.842105263158,107.8699329640708,8.770604133024236,13,0.0,31.001243848400357,[[0.26412218]],0.7242868941794005,[[-0.01607049]]
0.0,0.0090001,500.0,0,0.0,4.1866,20,0.023877874898606877,4.155090906346094,1.0,0.7765603725236149,0.728985736990746,0.0,[[0.26412218]],4.750452869381576,4.750452739128056,1.8098326193781684,2091.2631578947367,119.91612950868407,8.868786649160548,14,0.0,31.635447044526316,[[0.24024431]],0.728985736990746,[[-0.02387787]]
0.0,0.0090001,500.0,0,0.0,4.4262,20,0.02154776615444326,4.256237018776092,1.0,0.7802052137360898,0.733265176169343,0.0,[[0.24024431]],5.002217379411534,5.002217201756211,1.7419706100795231,2210.7368421052633,107.94776617237918,8.966441093509808,15,0.0,32.23229176170652,[[0.21869654]],0.733265176169343,[[-0.02154777]]
0.0,0.0090001,500.0,0,0.0,4.6384,20,0.016075380305735243,4.324863632532244,1.0,0.782420709849865,0.7358688539421403,0.0,[[0.21869654]],5.222379950356585,5.222379344582055,1.381619301776226,2320.0,113.77910269696415,9.04212763175407,16,0.0,32.60479402333043,[[0.20262116]],0.7358688539421403,[[-0.01607538]]
0.0,0.0090001,500.0,0,0.0,5.0358,20,0.024970594313537098,4.4073028441440245,1.0,0.7844851130705072,0.7382966250688685,0.0,[[0.20262116]],5.628503217038942,5.628503424697572,2.3193575928544874,2504.1052631578946,145.74884480424828,9.162496722219078,17,0.0,32.95874574611775,[[0.17765057]],0.7382966250688685,[[-0.02497059]]
0.0,0.0090001,500.0,0,0.0,5.2956,20,0.016839154663187222,4.441871299351209,1.0,0.7849505273168166,0.7388441804652744,0.0,[[0.17765057]],5.891354959530995,5.891354835565675,1.7122320167948715,2650.842105263158,103.50960451642551,9.231697219758626,18,0.0,33.039476688029744,[[0.16081141]],0.7388441804652744,[[-0.01683915]]
0.0,0.0090001,500.0,0,0.0,5.5794,20,0.013484894831415933,4.453705832225563,1.0,0.9410950677566999,0.7381888592131737,0.0,[[0.16081141]],6.175085238469442,6.175085237736507,1.4788889381904866,2794.7368421052633,127.94441313783732,9.302967434788096,19,0.0,32.94289628679415,[[0.14732652]],0.7381888592131737,[[-0.01348489]]
