WeightMean,ReturnsMean,WeightMedian,WeightMin,ReturnsStd,Eta,DualAfter,TimestepsStd,DualBefore,RewardStd,NormDeltaOmega,Epsilon,Primal,ConfortViolation,LossReg,RewardMean,TimestepsMean,DeltaOmega,ITERATIONS,Traj,WeightMax,OmegaBefore,DualReg,NormDeltaVar,Omega,Wins
0.0007962241089998962,1169.7777777777778,0.00331763236271919,0.0007962241089998962,62.09207167391582,1.4014179806549327,8.356797640427569,0.0,8.452473857246664,2.415447671633563,0.18351512072975495,1.9401,8.356798120832721,0,0.0,2.33884,500.0,[[0.18351512]],0,100,1.0,[[0.8]],0.0,38.60564425883051,[[0.98351512]],0.0
5.717328355049457e-12,1454.3838383838383,1.0133384180918864e-09,5.717328355049457e-12,80.92229806833681,0.3862865271310131,8.239113749922042,0.0,8.503047771382526,2.9410601451857454,0.016483530233571964,1.9401,8.239113362590508,0,0.0,2.90832,500.0,[[0.01648353]],1,100,1.0,[[0.98351512]],0.0,134.67755696329377,[[0.99999865]],0.0
0.0,1498.989898989899,0.0,0.0,82.22382546274024,0.004225837919515656,8.002346711265712,0.0,8.56058239352436,3.002985180383013,1.341870664361977e-06,1.9401,7.999999999999824,0,0.0,3.00008,500.0,[[1.34187066e-06]],2,100,1.0,[[0.99999865]],0.0,74.82569352760171,[[0.99999999]],0.0
0.0,1503.7777777777778,0.0,0.0,67.92383666269832,0.004214270609626664,8.002362111995172,0.0,8.565714297790919,3.009259221536091,0.0,1.9401,8.00000000000037,0,0.0,3.00624,500.0,[[0.]],3,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1506.2222222222222,0.0,0.0,85.58480413071021,0.00421258711961811,8.00236418013344,0.0,8.566444923034602,3.0066340345309737,0.0,1.9401,8.00000000000002,0,0.0,3.01232,500.0,[[0.]],4,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1508.7070707070707,0.0,0.0,85.75478930881377,0.00420645016314433,8.002372410824632,0.0,8.569190832781524,3.010718852101604,0.0,1.9401,7.999999999999929,0,0.0,3.01456,500.0,[[0.]],5,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1514.4646464646464,0.0,0.0,86.95375679540597,0.003165806149269535,8.001803493243436,0.0,8.574852194085704,3.013308341341788,0.0,1.9401,8.000000000000028,0,0.0,3.0278,500.0,[[0.]],6,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1495.2323232323233,0.0,0.0,75.3055497549518,0.00423799360437242,8.002330719534099,0.0,8.55524685256864,2.9992882771751033,0.0,1.9401,7.999999999999712,0,0.0,2.98952,500.0,[[0.]],7,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1496.888888888889,0.0,0.0,67.18599073683951,0.004232874079705709,8.002337411511618,0.0,8.557484992554327,3.000075964638229,0.0,1.9401,7.999999999999832,0,0.0,2.99508,500.0,[[0.]],8,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1492.4242424242425,0.0,0.0,74.01461648018524,0.004246349299091449,8.002319598968038,0.0,8.551588617627194,2.9934057863243333,0.0,1.9401,8.00000000000044,0,0.0,2.98728,500.0,[[0.]],9,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1491.6161616161617,0.0,0.0,79.08296462802667,0.004248947419783034,8.002316220624117,0.0,8.550462609621018,2.993150995456127,0.0,1.9401,7.999999999999985,0,0.0,2.98428,500.0,[[0.]],10,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1485.3131313131314,0.0,0.0,78.81760640931611,0.004269632541733827,8.002289079577016,0.0,8.541536269600003,2.9839789811592174,0.0,1.9401,7.999999999999727,0,0.0,2.9712,500.0,[[0.]],11,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1511.6767676767677,0.0,0.0,92.27569892325015,0.0031700523116881627,8.00179791457959,0.0,8.572334453894943,3.0130475668332886,0.0,1.9401,8.000000000000549,0,0.0,3.0206,500.0,[[0.]],12,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1498.4242424242425,0.0,0.0,83.1929837403251,0.00423611971752035,8.00233308956857,0.0,8.556057260327538,2.997939879050279,0.0,1.9401,8.000000000000126,0,0.0,2.99396,500.0,[[0.]],13,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1504.7272727272727,0.0,0.0,71.26530573605149,0.004216000701892728,8.002359730098844,0.0,8.564935929762594,3.006809513354646,0.0,1.9401,7.999999999999693,0,0.0,3.00752,500.0,[[0.]],14,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1496.969696969697,0.0,0.0,82.09152991476378,0.0042372164395455885,8.002331653043342,0.0,8.5555778724293,2.9976973338881296,0.0,1.9401,8.00000000000006,0,0.0,2.99288,500.0,[[0.]],15,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1497.2929292929293,0.0,0.0,87.59793970701705,0.004237596729942958,8.002331181844172,0.0,8.555414430448291,2.998174574236797,0.0,1.9401,7.999999999999715,0,0.0,2.99168,500.0,[[0.]],16,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1487.6161616161617,0.0,0.0,71.27053410583827,0.004265843918506062,8.002293989793317,0.0,8.543157461324338,2.984577520253076,0.0,1.9401,7.999999999999879,0,0.0,2.97516,500.0,[[0.]],17,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1497.6161616161617,0.0,0.0,82.45264414608515,0.004230162102601974,8.002340995222454,0.0,8.55867725250653,3.001224876346323,0.0,1.9401,8.000000000000066,0,0.0,2.99696,500.0,[[0.]],18,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
0.0,1498.20202020202,0.0,0.0,76.43389958663495,0.004230525129900906,8.002340518914696,0.0,8.558517900156556,3.0011445216783548,0.0,1.9401,7.999999999999546,0,0.0,2.9966,500.0,[[0.]],19,100,1.0,[[0.99999999]],0.0,0.0,[[0.99999999]],0.0
