Traj,DualAfter,ConfortViolation,Omega,NormDeltaVar,TimestepsMean,RewardStd,TimestepsStd,WeightMedian,Primal,ReturnsStd,WeightMin,Wins,RewardMean,DualBefore,Epsilon,WeightMax,WeightMean,DeltaOmega,DualReg,ReturnsMean,Eta,OmegaBefore,ITERATIONS,LossReg,NormDeltaOmega
100,8.106055209996114,0,[[0.97442198]],32.19737955544521,500.0,2.4002006152819813,0.0,0.005415086527337447,8.106056021831515,63.44875342987377,0.0014689491109935605,0.0,2.32508,8.274729854455725,1.7901,1.0,0.0014689491109935605,[[0.17442198]],0.0,1163.2525252525252,1.5329880578245079,[[0.8]],0,0.0,0.17442197662934356
100,8.17867671786687,0,[[0.99999825]],137.36728789493648,500.0,2.8920653798972107,0.0,2.6088132613400367e-08,8.178676596585007,78.13971147069587,3.3155359540114584e-10,0.0,2.85372,8.311686561397847,1.7901,1.0,3.3155359540114584e-10,[[0.02557627]],0.0,1426.7272727272727,0.4581433029676323,[[0.97442198]],1,0.0,0.025576273244761638
100,8.001829796084143,0,[[0.99999999]],74.82571647367547,500.0,2.9911968932853616,0.0,0.0,8.000000000000393,75.23923413234041,0.0,0.0,2.98384,8.399346355038501,1.7901,1.0,0.0,[[1.74082933e-06]],0.0,1493.1313131313132,0.004644179633399645,[[0.99999825]],2,0.0,1.7408293333520675e-06
100,8.001901563495037,0,[[0.99999999]],0.0,500.0,3.0107839539893924,0.0,0.0,7.999999999999513,78.86568548685479,0.0,0.0,3.01732,8.420138955048161,1.7901,1.0,0.0,[[0.]],0.0,1508.040404040404,0.004582705910278427,[[0.99999999]],3,0.0,0.0
100,8.001867691196809,0,[[0.99999999]],0.0,500.0,2.9993831981925885,0.0,0.0,7.999999999999475,76.44887018175035,0.0,0.0,3.00452,8.410286246281583,1.7901,1.0,0.0,[[0.]],0.0,1502.121212121212,0.00461152718667914,[[0.99999999]],4,0.0,0.0
100,8.001894837135305,0,[[0.99999999]],0.0,500.0,3.009127523784926,0.0,0.0,7.999999999999865,88.37631829479734,0.0,0.0,3.01384,8.418172276670436,1.7901,1.0,0.0,[[0.]],0.0,1508.989898989899,0.0045883880380132675,[[0.99999999]],5,0.0,0.0
100,8.001853945046664,0,[[0.99999999]],0.0,500.0,2.9978613977300554,0.0,0.0,7.999999999999618,77.41105200389515,0.0,0.0,2.9948,8.406298150897644,1.7901,1.0,0.0,[[0.]],0.0,1497.3535353535353,0.0046232846226742005,[[0.99999999]],6,0.0,0.0
100,8.00184924823158,0,[[0.99999999]],0.0,500.0,2.997107507981654,0.0,0.0,8.00000000000043,84.50608160832557,0.0,0.0,2.99184,8.404940043558,1.7901,1.0,0.0,[[0.]],0.0,1496.7070707070707,0.0046273203116341645,[[0.99999999]],7,0.0,0.0
100,8.001866853112626,0,[[0.99999999]],0.0,500.0,3.0023723182843263,0.0,0.0,8.000000000000437,87.68266516496625,0.0,0.0,2.99932,8.41002774122243,1.7901,1.0,0.0,[[0.]],0.0,1501.1515151515152,0.004612188034854822,[[0.99999999]],8,0.0,0.0
100,8.001891867081888,0,[[0.99999999]],0.0,500.0,3.0089513471639915,0.0,0.0,7.999999999999704,81.10440617846275,0.0,0.0,3.01148,8.417302206262333,1.7901,1.0,0.0,[[0.]],0.0,1505.878787878788,0.00459089395043863,[[0.99999999]],9,0.0,0.0
100,8.001881580261252,0,[[0.99999999]],0.0,500.0,3.005665719537021,0.0,0.0,7.999999999999967,80.72829394405687,0.0,0.0,3.00732,8.414307606882346,1.7901,1.0,0.0,[[0.]],0.0,1503.2525252525252,0.004599633848853787,[[0.99999999]],10,0.0,0.0
100,8.001830911537851,0,[[0.99999999]],0.0,500.0,2.991785659702246,0.0,0.0,7.99999999999968,71.30374505430633,0.0,0.0,2.98392,8.399665215313917,1.7901,1.0,0.0,[[0.]],0.0,1493.5757575757575,0.004643203045309521,[[0.99999999]],11,0.0,0.0
100,8.001860812721207,0,[[0.99999999]],0.0,500.0,3.0019944770102422,0.0,0.0,7.999999999999764,72.43030277674241,0.0,0.0,2.9946,8.408272593516868,1.7901,1.0,0.0,[[0.]],0.0,1497.5151515151515,0.00461734035462726,[[0.99999999]],12,0.0,0.0
100,8.0018633023142,0,[[0.99999999]],0.0,500.0,2.9992264258638426,0.0,0.0,7.9999999999997895,76.68584154882586,0.0,0.0,3.00092,8.409009697570006,1.7901,1.0,0.0,[[0.]],0.0,1500.2222222222222,0.004615268760582825,[[0.99999999]],13,0.0,0.0
100,8.00190558530555,0,[[0.99999999]],0.0,500.0,3.0122634442558307,0.0,0.0,7.999999999999386,91.21975649553436,0.0,0.0,3.01868,8.421314041729726,1.7901,1.0,0.0,[[0.]],0.0,1508.8080808080808,0.004579309603927297,[[0.99999999]],14,0.0,0.0
100,8.001857247009134,0,[[0.99999999]],0.0,500.0,2.9994362966397543,0.0,0.0,7.999999999999585,79.691047135623,0.0,0.0,2.99532,8.407249001350385,1.7901,1.0,0.0,[[0.]],0.0,1498.6060606060605,0.0046204318493053755,[[0.99999999]],15,0.0,0.0
100,8.001894581373856,0,[[0.99999999]],0.0,500.0,3.0057230507150856,0.0,0.0,7.999999999999836,75.09599339279458,0.0,0.0,3.01868,8.418114569752209,1.7901,1.0,0.0,[[0.]],0.0,1509.8383838383838,0.004588649558594489,[[0.99999999]],16,0.0,0.0
