ConfortViolation,DualReg,RewardMean,TimestepsStd,TimestepsMean,DualBefore,Traj,ITERATIONS,WeightMin,ReturnsMean,OmegaBefore,Omega,DualAfter,Wins,Primal,RewardStd,NormDeltaOmega,DeltaOmega,WeightMean,LossReg,Epsilon,NormDeltaVar,ReturnsStd,WeightMedian,WeightMax,Eta
0,0.0,2.35644,0.0,500.0,7.706795366028301,100,0,0.00861512880657441,1178.6666666666667,[[0.8]],[[0.91925341]],7.066009271575535,0.0,7.066009284931996,2.4368648970347127,0.11925340668905726,[[0.11925341]],0.00861512880657441,0.0,1.1801,14.942167026939277,67.59415431063323,0.022295099764907005,1.0,2.103387619104718
0,0.0,2.62616,0.0,500.0,7.5827573010527125,100,1,0.004315088355610114,1313.1313131313132,[[0.91925341]],[[0.96654432]],7.34504283184897,0.0,7.345044742570298,2.7085205656224947,0.04729091315324929,[[0.04729091]],0.004315088355610114,0.0,1.1801,13.30370740083307,69.5870425742845,0.012823062356986104,1.0,1.8363323008380048
0,0.0,2.78756,0.0,500.0,7.66359441618069,100,2,0.0027974412470912913,1393.7373737373737,[[0.96654432]],[[0.98001438]],7.534340948898253,0.0,7.53434126088087,2.8482396750273673,0.013470058331233714,[[0.01347006]],0.0027974412470912913,0.0,1.1801,7.557836653741873,69.22990330987516,0.00906585522183006,1.0,1.700955051581601
0,0.0,2.89168,0.0,500.0,7.727089805543544,100,3,0.0020048777032014714,1445.5555555555557,[[0.98001438]],[[0.98568762]],7.6432154280266476,0.0,7.643216341113357,2.922811450915026,0.005673238872242026,[[0.00567324]],0.0020048777032014714,0.0,1.1801,4.85228922510607,81.61182106669763,0.006944968955788075,1.0,1.60974288096114
0,0.0,2.89312,0.0,500.0,7.728385802242424,100,4,0.001966786056813586,1445.8989898989898,[[0.98568762]],[[0.98610219]],7.64696311308931,0.0,7.646963979195482,2.9281695076617407,0.0004145721199648733,[[0.00041457]],0.001966786056813586,0.0,1.1801,0.4259181854525238,77.21065176809766,0.00683920618175607,1.0,1.60478752752407
0,0.0,2.93344,0.0,500.0,7.756472683283184,100,5,0.0017183771020038113,1465.979797979798,[[0.98610219]],[[0.98773629]],7.687286270311192,0.0,7.687286815558261,2.953677329431907,0.0016340987416072483,[[0.0016341]],0.0017183771020038113,0.0,1.1801,1.810606085687212,68.05374878132366,0.0061389596877674,1.0,1.5707525920335386
0,0.0,2.89788,0.0,500.0,7.733220797244751,100,6,0.0019247673814230437,1448.5050505050506,[[0.98773629]],[[0.98651547]],7.654067868072254,0.0,7.654068673177357,2.9344252428030946,0.0012208166536961107,[[-0.00122082]],0.0019247673814230437,0.0,1.1801,1.3733583246277448,82.32399330378901,0.006722063336249353,1.0,1.5992451155276817
0,0.0,2.89584,0.0,500.0,7.730718625645435,100,7,0.001952300968849153,1447.2929292929293,[[0.98651547]],[[0.98620349]],7.6499591637222935,0.0,7.649960010423198,2.9299608690902343,0.0003119787158508691,[[-0.00031198]],0.001952300968849153,0.0,1.1801,0.331268018999026,76.63652273343155,0.006798880624380131,1.0,1.6028860622618653
0,0.0,2.91832,0.0,500.0,7.746312968184649,100,8,0.0018160660422972329,1460.2222222222222,[[0.98620349]],[[0.98708612]],7.672256027798271,0.0,7.672256697395524,2.9436929829042975,0.0008826256969068913,[[0.00088263]],0.0018160660422972329,0.0,1.1801,0.9572458859616475,85.03968836420987,0.006416605072532134,1.0,1.584514192288875
0,0.0,2.93148,0.0,500.0,7.7556039826846925,100,9,0.001721371749990734,1467.030303030303,[[0.98708612]],[[0.98777118]],7.6864059322396,0.0,7.686406476381804,2.9542012473086525,0.0006850589263427409,[[0.00068506]],0.001721371749990734,0.0,1.1801,0.7885846598866451,86.64025874419875,0.00614751698134974,1.0,1.5711823100044195
0,0.0,2.9304,0.0,500.0,7.752757781579652,100,10,0.0017363800696196716,1465.4747474747476,[[0.98777118]],[[0.98754801]],7.6827744899577795,0.0,7.682775056183617,2.9502467422234364,0.00022317193871568275,[[-0.00022317]],0.0017363800696196716,0.0,1.1801,0.2615871489192969,71.7163807041311,0.006190358969811636,1.0,1.5733282466454834
0,0.0,2.94836,0.0,500.0,7.764453985970883,100,11,0.0016303125694365136,1473.3737373737374,[[0.98754801]],[[0.9881936]],7.699574212765931,0.0,7.699574656094341,2.96049545015695,0.0006455981333077787,[[0.0006456]],0.0016303125694365136,0.0,1.1801,0.7698983567126731,73.27746988742682,0.005885951802365804,1.0,1.5578790575614712
0,0.0,2.95096,0.0,500.0,7.764846444550834,100,12,0.001603658172024299,1475.6363636363637,[[0.9881936]],[[0.98836155]],7.70148735621429,0.0,7.7014877627996965,2.9623495874727546,0.00016794427626853903,[[0.00016794]],0.001603658172024299,0.0,1.1801,0.2070990578081151,79.37297895881862,0.005808840361603451,1.0,1.5538885675982053
0,0.0,2.9236,0.0,500.0,7.750365579217287,100,13,0.0017718598560086726,1462.060606060606,[[0.98836155]],[[0.98745143]],7.678664509918094,0.0,7.678665117704949,2.9491020735132243,0.0009101156328130688,[[-0.00091012]],0.0017718598560086726,0.0,1.1801,1.0887619583551924,84.84874458834703,0.0062913449074132165,1.0,1.578351204081651
0,0.0,2.92868,0.0,500.0,7.750719489035486,100,14,0.0017600515363559686,1463.3131313131314,[[0.98745143]],[[0.98728233]],7.679388577354583,0.0,7.679389179755991,2.946434023968634,0.00016910429826266782,[[-0.0001691]],0.0017600515363559686,0.0,1.1801,0.19367511730310127,68.04405086318455,0.006257780242067935,1.0,1.5766871819500505
0,0.0,2.94356,0.0,500.0,7.761771062739527,100,15,0.0016637515391463658,1472.2828282828282,[[0.98728233]],[[0.98798192]],7.695181352938635,0.0,7.695181836786727,2.9574337737978174,0.0006995878412957568,[[0.00069959]],0.0016637515391463658,0.0,1.1801,0.8184048708104044,74.1677106367166,0.0059823356490005435,1.0,1.5628222678342205
0,0.0,2.96084,0.0,500.0,7.772244400064233,100,16,0.0015421270412459666,1479.3737373737374,[[0.98798192]],[[0.98879364]],7.711821468049037,0.0,7.711821811315009,2.969536410687702,0.0008117246833575509,[[0.00081172]],0.0015421270412459666,0.0,1.1801,1.0107480106863704,75.20887894318477,0.005629840903504024,1.0,1.5444987178406215
0,0.0,2.9484,0.0,500.0,7.766420895221778,100,17,0.001603581653434653,1472.4040404040404,[[0.98879364]],[[0.98856504]],7.703173592589249,0.0,7.703173993151704,2.966246355244284,0.00022860492576359803,[[-0.0002286]],0.001603581653434653,0.0,1.1801,0.2917929835254114,78.50212879979355,0.0058086186253753155,1.0,1.553877046283508
0,0.0,2.96052,0.0,500.0,7.774499862943495,100,18,0.0015398094510520831,1481.8181818181818,[[0.98856504]],[[0.98893494]],7.714142621354625,0.0,7.714142962501747,2.9723864704307887,0.0003699071651572794,[[0.00036991]],0.0015398094510520831,0.0,1.1801,0.4751097604252692,71.48417408188305,0.005623071227193912,1.0,1.5441400294911753
0,0.0,2.94728,0.0,500.0,7.762215003978897,100,19,0.0016281929881553463,1472.6262626262626,[[0.98893494]],[[0.98818703]],7.697647053338543,0.0,7.697647487823488,2.959584531923358,0.0007479144547406502,[[-0.00074791]],0.0016281929881553463,0.0,1.1801,0.9451806357123047,75.87584034894309,0.005879829110890827,1.0,1.557563381874756
