RewardMean,RewardStd,DeltaOmega,Eta,Primal,OmegaBefore,Epsilon,Wins,ConfortViolation,ReturnsStd,ITERATIONS,Omega,LossReg,NormDeltaVar,WeightMin,Traj,WeightMedian,DualBefore,TimestepsStd,TimestepsMean,DualReg,DualAfter,ReturnsMean,WeightMean,WeightMax,NormDeltaOmega
2.3742,2.4556006108485966,[[-0.31392058]],40.154251112182806,2.5321912135912696,[[0.8]],0.0020001,0.0,0,51.488642751678476,0,[[0.48607942]],0.0,20.599872611425997,0.7795490761344663,20,0.8193600197287951,6.529412809329042,0.0,500.0,0.0,2.5321912132619353,1190.842105263158,0.7795490761344663,1.0,0.3139205819901963
2.6234,2.9640128947087936,[[-0.01319882]],48.48270173886335,2.8141373184878167,[[0.48607942]],0.0020001,0.0,0,78.89921338376053,1,[[0.4728806]],0.0,0.7555350393500812,0.8136222130373484,20,0.8478875094259241,7.790358977615767,0.0,500.0,0.0,2.8141370184978474,1317.578947368421,0.8136222130373484,1.0,0.013198820855343907
2.6586,3.015069823403763,[[-0.00444509]],49.281486796388656,2.852549733915884,[[0.4728806]],0.0020001,0.0,0,65.00679700238811,2,[[0.46843551]],0.0,0.25488440872890594,0.8163468477029203,20,0.8501582548115685,7.846920254877331,0.0,500.0,0.0,2.8525497341813573,1329.8947368421052,0.8163468477029203,1.0,0.004445086376897722
2.6912,3.0521865211680623,[[-0.0066636]],49.841329055998536,2.8874433116511966,[[0.46843551]],0.0020001,0.0,0,64.19136901449976,3,[[0.46177191]],0.0,0.38264686007808657,0.8182096296008623,20,0.8517098485968229,7.8675152134672866,0.0,500.0,0.0,2.887443312246723,1347.6842105263158,0.8182096296008623,1.0,0.006663601162548716
2.7038,3.056969996581582,[[0.00111507]],49.93182543064907,2.900376003594173,[[0.46177191]],0.0020001,0.0,0,61.56410077435652,4,[[0.46288698]],0.0,0.06408222852691337,0.8185072122970107,20,0.8519576529610168,7.896324210381454,0.0,500.0,0.0,2.9003760042640385,1358.421052631579,0.8185072122970107,1.0,0.0011150729744440202
2.7382,3.100364617266814,[[-0.0076134]],50.58712709712055,2.937459040255033,[[0.46288698]],0.0020001,0.0,0,104.07529769367801,5,[[0.45527359]],0.0,0.43799343808250235,0.8206334401110623,20,0.8537276908632612,7.9195800570803545,0.0,500.0,0.0,2.9374590417863713,1365.2631578947369,0.8206334401110623,1.0,0.0076133956554034765
2.6924,3.061467334465615,[[0.00773431]],49.998696747214666,2.8892518717300724,[[0.45527359]],0.0020001,0.0,0,81.73994300553724,6,[[0.4630079]],0.0,0.4449407335610154,0.8187264849253196,20,0.8521402350929372,7.889026156765824,0.0,500.0,0.0,2.8892518724616183,1349.0526315789473,0.8187264849253196,1.0,0.00773430825032706
2.701,3.0603592926321577,[[-0.00179129]],49.97218601292655,2.897763669596499,[[0.4630079]],0.0020001,0.0,0,76.16456887061422,7,[[0.4612166]],0.0,0.10295107757147859,0.8186396187852002,20,0.8520679052784486,7.88248076944555,0.0,500.0,0.0,2.8977636703073175,1357.8947368421052,0.8186396187852002,1.0,0.001791293294569507
2.723,3.082737582085118,[[-0.00327369]],50.31789465380224,2.921163019907728,[[0.4612166]],0.0020001,0.0,0,55.902963018414574,8,[[0.45794292]],0.0,0.18829951730709693,0.8197659101802552,20,0.8530056021767237,7.905896832964554,0.0,500.0,0.0,2.921163021015862,1368.7368421052631,0.8197659101802552,1.0,0.0032736859807862007
2.7402,3.0964017762557887,[[-0.00239056]],50.52568508488217,2.939210821977172,[[0.45794292]],0.0020001,0.0,0,84.61979493765546,9,[[0.45555235]],0.0,0.13763485674419895,0.8204361931980267,20,0.8535635257768401,7.918565436163675,0.0,500.0,0.0,2.9392108234007397,1371.2631578947369,0.8204361931980267,1.0,0.002390562091371784
2.686,3.046933540463264,[[0.00919431]],49.7778097726245,2.8819504427332694,[[0.45555235]],0.0020001,0.0,0,79.40136130624788,10,[[0.46474666]],0.0,0.5287528536505022,0.8180001753473662,20,0.8515354201263888,7.8825990909850905,0.0,500.0,0.0,2.8819504432724754,1340.9473684210527,0.8180001753473662,1.0,0.009194305262375524
2.693,3.05982858997036,[[-0.00242364]],49.969734590933435,2.8897420471001602,[[0.46474666]],0.0020001,0.0,0,82.13562191772603,11,[[0.46232302]],0.0,0.13925102743089823,0.8186315821674067,20,0.8520612134441868,7.884343253911107,0.0,500.0,0.0,2.889742047804911,1344.9473684210527,0.8186315821674067,1.0,0.0024236372739482315
