ConfortViolation,NormDeltaOmega,OmegaBefore,DeltaOmega,TimestepsStd,TimestepsMean,ReturnsMean,NormDeltaVar,RewardStd,Wins,Traj,ReturnsStd,ITERATIONS,RewardMean,Omega
0,0.1000000014893434,7.0,-0.1000000014893434,13.04476232056376,24.776,177.3277255358193,0.3162277676072833,1.473426426959201,0.0,250,97.53600260565317,0,7.157237872772817,6.899999998510657
0,0.11475352058539112,4.004870176230195,-0.11475352058539112,26.11788322203773,188.276,1719.6260933187175,0.22588870299280858,0.3450110621986962,74.8,250,244.46774332301334,28,9.133538493056564,3.890116655644804
0,0.05079261515823985,1.3438786324121408,-0.05079261515823985,46.12681927035507,161.112,1584.7498092195444,0.17224368274206175,0.593052687287017,42.4,250,462.5324319088784,58,9.836323856817275,1.293086017253901
0,0.010235139965596052,0.2896737924334517,-0.010235139965596052,20.518855328697065,49.976,486.12404205285475,0.05640307568759736,1.393389693356282,0.0,250,205.10445192233792,88,9.727149872996133,0.27943865246785565
0,0.0032159025000211283,0.25192064408546244,0.0032159025000211283,18.109966758666342,47.652,463.006063244679,0.014716886503842551,1.4259984659054152,0.0,250,181.06176706903844,118,9.71640357686307,0.25513654658548357
0,0.0012774065496629072,0.3524161703782668,0.0012774065496629072,23.961470405632454,57.456,560.554507066604,0.030445578711724992,1.3019257371432027,0.0,250,239.424484451857,148,9.756239680217977,0.3536935769279297
0,0.0015647728022926688,0.36501774778337304,0.0015647728022926688,28.533889745353683,59.556,581.5139044991953,0.039636092799632476,1.2768751677776564,0.4,250,285.36660934679895,178,9.76415314156752,0.3665825205856657
0,0.0068583275132253485,0.3514977187496278,0.0068583275132253485,22.416029978566677,54.76,533.6001574749546,0.04766821440806951,1.3324555310142834,0.0,250,223.99358786223846,208,9.744341809257755,0.35835604626285317
0,0.004091806561826561,0.3396309932566488,-0.004091806561826561,25.7063382067536,57.276,558.7803416007815,0.06740003616436684,1.3038936189298582,0.0,250,256.8598751625095,238,9.755924673524365,0.33553918669482224
0,0.0018403370696831733,0.28046424246893026,-0.0018403370696831733,23.74123838387543,54.16,527.9025255577079,0.04112861427717937,1.3402452867663988,0.0,250,237.32530459215337,268,9.74709242167112,0.2786239053992471
0,0.0025607893922728886,0.32872327303388105,0.0025607893922728886,30.05290375321493,60.824,594.2781390157156,0.0652473667208763,1.2640733113291531,0.4,250,300.5350191847121,298,9.770454738519595,0.33128406242615394
0,0.0015427080609644594,0.29076840253563196,-0.0015427080609644594,30.52182537136336,59.224,578.4254908387223,0.06739902513314408,1.2833282722742736,0.0,250,305.0474265900143,328,9.766741369018005,0.2892256944746675
0,0.0036117195038166683,0.3466582251523861,-0.0036117195038166683,40.27185617773286,70.44,690.5330845849388,0.1306224775295213,1.1629198647452035,2.8000000000000003,250,403.55029339906656,358,9.803138622727696,0.3430465056485694
0,0.019989521526365572,0.4058981075553501,0.019989521526365572,55.53230828985952,94.356,929.9492330457732,0.14418287410475894,0.970314418444534,10.0,250,557.3189614997855,388,9.855750911926886,0.4258876290817157
0,0.00012627322986524803,-0.15710055731167546,0.00012627322986524803,9.147505889585423,33.944,326.77734965301573,0.044688338417065,1.6804773192426934,0.0,250,91.53155964989752,418,9.626954679855519,-0.15697428408181022
0,0.009430300151781812,0.2949244636395178,0.009430300151781812,39.86125938803239,70.8,694.3020815709397,0.054921616537806486,1.165055771073182,2.0,250,399.2470133876556,448,9.80652657586073,0.3043547637912996
0,0.01257475657186663,-0.28477321486166374,-0.01257475657186663,7.311343515387578,31.016,297.5880917320246,0.05797181727649371,1.754429600514641,0.0,250,73.13223861322906,478,9.594663777792901,-0.29734797143353037
0,0.038312547667892105,0.3423039385633504,0.038312547667892105,29.865994040044942,68.72,673.0021365024136,0.01969670373823566,1.1934457466544897,0.0,250,298.40770993154456,508,9.793395467148043,0.3806164862312425
0,0.00341066372196977,-0.23123531584242685,0.00341066372196977,8.309073594571178,32.536,312.7550308445131,0.02979345654940634,1.7149088826139172,0.0,250,83.12236855304434,538,9.612583933013067,-0.22782465212045708
0,0.013438097479552102,0.031195960923018927,0.013438097479552102,13.49539121329945,39.804,385.12286771869515,0.01375323305686738,1.556506553168366,0.0,250,134.98086211906397,568,9.675481552574995,0.04463405840257103
0,0.028690097032027517,0.5471071186772959,0.028690097032027517,58.66410636837487,167.432,1666.8027787119456,0.23287206903617094,0.4150688050846305,71.2,250,591.4437545635841,598,9.955102840030253,0.5757972157093234
0,0.01761134900162474,0.0481854640926281,0.01761134900162474,14.7270656955145,41.256,399.59123477264154,0.021760923620842493,1.5298767859044802,0.0,250,147.29283812800747,628,9.68565141488854,0.06579681309425284
0,4.487061968905248e-05,0.2539836309958986,4.487061968905248e-05,46.77097031279124,72.844,715.3669451304127,0.09401876011944482,1.1284345015439805,5.6000000000000005,250,469.4353333404175,658,9.820533539212736,0.25402850161558765
0,0.007353154675288215,0.135491565329144,0.007353154675288215,19.95006726805702,48.104,467.8251001832122,0.07719798622010143,1.4203474369354623,0.0,250,199.4762995585114,688,9.725284803409533,0.1428447200044322
0,0.023487204626575664,0.393988041910027,0.023487204626575664,72.51989012677832,131.256,1303.7354103378789,0.16676236855545568,0.6335867086435669,47.199999999999996,250,730.7001407888172,718,9.932768104603817,0.4174752465366027
0,0.0731087833372901,0.5972360320870391,-0.0731087833372901,28.589711436109326,193.78,1932.6397825179138,0.1422812837037408,0.187826867801388,93.2,250,288.889527588699,748,9.97337074268714,0.524127248749749
