ITERATIONS,Wins,TimestepsMean,NormDeltaOmega,ReturnsMean,ReturnsStd,DeltaOmega,OmegaBefore,NormDeltaVar,RewardMean,TimestepsStd,ConfortViolation,Traj,Omega,RewardStd
0,0.0,22.944,0.1000000014892235,147.1828470265577,92.1056783855926,-0.1000000014892235,8.0,0.3162277669284469,6.41487303986043,13.683159868977633,0,250,7.8999999985107765,1.3762309816218734
28,93.2,197.728,0.11957423719460003,1721.3730231022532,136.24756982166423,-0.11957423719460003,5.001692603910052,0.21469187527041517,8.705762578401911,15.314242260066282,0,250,4.882118366715452,0.17891132133332316
58,86.0,194.744,0.06884433590092343,1887.6221847667625,189.1442559457441,-0.06884433590092343,2.325163563351365,0.07788686257991993,9.692838725541034,18.995959149250666,0,250,2.2563192274504416,0.26497759370094537
88,12.0,111.048,0.052939239851390596,1092.5076570025753,528.4939891390137,-0.052939239851390596,0.8297235071080433,0.17160459249352775,9.838156986191331,52.77012124299129,0,250,0.7767842672566527,0.8828843377046571
118,0.0,45.544,0.002755347110382722,442.1814238997387,156.26195112198465,-0.002755347110382722,0.1809583862733315,0.023035044923868868,9.70888424160677,15.62690193224492,0,250,0.17820303916294877,1.458055169332469
148,0.0,46.148,0.0020045535243439494,448.1010597871307,168.07890064395272,0.0020045535243439494,0.21137821708076854,0.012214834649503545,9.710086239644854,16.811368058548954,0,250,0.2133827706051125,1.44853237449988
178,0.0,52.712,0.0036192289953104195,513.377091545041,252.4677811802606,0.0036192289953104195,0.30636241102478795,0.0223544306083859,9.73928311475643,25.264145661391364,0,250,0.30998164002009837,1.3577549622322447
208,0.4,61.504,0.003006016045513149,600.9420277537802,284.6088587797855,0.003006016045513149,0.36449513457820915,0.05186977156603389,9.770779587567965,28.461798678228334,0,250,0.3675011506237223,1.256997200375255
238,0.4,61.84,0.0008712034841144023,604.3069314819963,304.295278408585,0.0008712034841144023,0.3625428566114258,0.059709775734401095,9.772104325388039,30.43127338775031,0,250,0.3634140600955402,1.2536837844720645
268,0.0,59.952,0.0007217439329618158,585.5820283979378,285.5762143132877,-0.0007217439329618158,0.3196494758769382,0.052666606821682144,9.767514484886874,28.57757330495366,0,250,0.3189277319439764,1.275565678201856
298,0.8,71.648,0.00048320004749147216,702.0876214032704,386.16703885556944,0.00048320004749147216,0.39528485618231457,0.09042890958643035,9.799123791358733,38.62253352642729,0,250,0.39576805622980604,1.1644797773950166
328,0.4,60.376,0.00310753192787927,589.9509180254892,308.34748506309904,0.00310753192787927,0.29834195945286707,0.06737738708617241,9.771281933640672,30.831195630400064,0,250,0.30144949138074634,1.2688546803775884
358,1.6,67.284,0.001175353459388906,658.9334864115955,385.75622911970544,-0.001175353459388906,0.33081032665607385,0.1159745110768352,9.793316188270548,38.53459931023028,0,250,0.32963497319668494,1.1964425988413963
388,4.3999999999999995,74.468,0.002337660518863305,731.102567881641,459.5787723054446,0.002337660518863305,0.32574995047435074,0.10221660226770962,9.817674274609779,45.83519363982223,0,250,0.32808761099321404,1.1228276773386034
