Omega,NormDeltaOmega,DeltaOmega,RewardMean,ConfortViolation,NormDeltaVar,ReturnsStd,OmegaBefore,ReturnsMean,RewardStd,Traj,Wins,ITERATIONS,TimestepsMean,TimestepsStd
19.10000000148785,0.10000000148784949,0.10000000148784949,-7.615490995893711,0,0.3162277651127899,72.2967251607808,19.0,-115.32899564181436,2.0362474326746605,250,0.0,0,15.144,8.888378029764485
21.25196875329695,0.0710914466687349,0.0710914466687349,-10.372314863111422,0,0.05539928104286239,8.216755885630528,21.180877306628215,-59.91049064933158,4.751346822422898,250,0.0,28,5.776,0.6616827034160708
23.350852442950476,0.06406324821865894,0.06406324821865894,-14.113282819777794,0,0.011226506842573447,9.680809003191671,23.286789194731817,-78.3004930841272,6.621781857118261,250,0.0,58,5.548,0.5654166605256694
24.764689547231324,0.028007299664228213,0.028007299664228213,-16.90971996964444,0,0.01579178458421576,11.711688123413474,24.736682247567096,-92.32707103425861,8.011129540388684,250,0.0,88,5.46,0.5660388679233962
25.098371924378025,5.353555092213469e-05,-5.353555092213469e-05,-17.53470279790644,0,0.0200101075042603,10.039408468055479,25.098425459928947,-93.14434126247903,8.44795235129705,250,0.0,118,5.312,0.46330983153824823
25.046485333811997,0.007154045850100488,0.007154045850100488,-17.461530266197098,0,0.005138635878341197,10.442591057366611,25.039331287961897,-94.15257119533474,8.336003027270102,250,0.0,148,5.392,0.4881966816765555
25.015507798023265,0.0020674597837277986,0.0020674597837277986,-17.39164395750316,0,0.013125389841173812,10.35243858585189,25.013440338239537,-93.01051188472692,8.34455248102466,250,0.0,178,5.348,0.4846607060614673
25.021480387549012,0.0033973779419085304,-0.0033973779419085304,-17.406059672210088,0,0.013437314959895927,10.14678541666483,25.02487776549092,-92.94835864960187,8.359178220350818,250,0.0,208,5.34,0.4737087712930804
25.008901423153766,0.0020729593021151516,-0.0020729593021151516,-17.389134440807034,0,0.001953593864578528,10.167662761276228,25.01097438245588,-93.06664752719924,8.339089531425664,250,0.0,238,5.352,0.4775939698111775
25.018358362510753,0.007464489932296203,-0.007464489932296203,-17.44709425444121,0,0.004071322932134084,10.533056799328314,25.02582285244305,-94.1445205969648,8.325100398077883,250,0.0,268,5.396,0.48906441293555597
25.143213415085174,0.018500253089822394,0.018500253089822394,-17.648263155040183,0,0.0013268406010304554,10.517486766576898,25.124713161995352,-94.9476557741162,8.436528722407482,250,0.0,298,5.38,0.48538644398046393
24.962396017914912,0.02466356062351238,-0.02466356062351238,-17.377592360436683,0,0.0010634482956864853,10.387650331036014,24.987059578538425,-93.6999780074746,8.29562074676704,250,0.0,328,5.392,0.4881966816765555
25.298574013099728,0.03835766125028073,0.03835766125028073,-17.90301308517881,0,0.0070705485281086465,10.535486971974409,25.260216351849447,-95.96015013655841,8.57780130856808,250,0.0,358,5.36,0.48000000000000004
24.815421698279007,0.025499529075002414,0.025499529075002414,-16.990559847873865,0,0.004762164621948442,10.305369014689369,24.789922169204004,-92.15679661486782,8.081796063198956,250,0.0,388,5.424,0.49419024676737605
25.09679019783456,0.006139874261421596,-0.006139874261421596,-17.63554627849891,0,0.0008783251860589703,10.706575958851813,25.102930072095983,-95.79628738480608,8.380842900041792,250,0.0,418,5.432,0.495354418573207
24.910253138385503,0.00041890406556532866,0.00041890406556532866,-17.204874148207946,0,0.009587680438538845,10.268081875440782,24.909834234319938,-92.56222291735874,8.224488675143041,250,0.0,448,5.38,0.48538644398046393
25.10647826933151,0.006538122995536355,-0.006538122995536355,-17.58601962121212,0,0.01647227766529482,10.205588511445734,25.113016392327047,-93.97968885575757,8.441172243638482,250,0.0,478,5.344,0.4750410508577127
24.96085987170148,0.012706838240703178,0.012706838240703178,-17.2961860595689,0,0.00790051383392708,10.30652242045558,24.948153033460777,-93.39940472167206,8.2496365076299,250,0.0,508,5.4,0.4898979485566356
25.004874922528053,0.007718764362710573,-0.007718764362710573,-17.42249114259023,0,0.0073348173690812885,10.386856017878246,25.012593686890764,-93.80269231170581,8.324580387007837,250,0.0,538,5.384,0.48635789291426124
25.158112225291827,0.005246589927086376,0.005246589927086376,-17.690700150927288,0,0.033236101400953004,10.486025592584678,25.15286563536474,-95.0344412107814,8.464638334055072,250,0.0,568,5.372,0.48333839077813795
24.960136620919283,0.04013486797971311,0.04013486797971311,-17.274537208294365,0,0.009702436065295382,10.544294569351491,24.92000175293957,-94.18077685962086,8.190992796783748,250,0.0,598,5.452,0.4976906669810074
24.872436514602146,0.013580709608156383,0.013580709608156383,-17.113802046019636,0,0.08760545143224938,10.319007227887315,24.85885580499399,-92.61989667305828,8.151209590549842,250,0.0,628,5.412,0.4921950832749145
25.074970539043775,0.007912084612087256,0.007912084612087256,-17.523675324722625,0,0.0028482884218896196,10.457083931006409,25.067058454431688,-94.34746794830662,8.373044784896294,250,0.0,658,5.384,0.4863578929142612
25.066884394493517,0.007562079442234193,-0.007562079442234193,-17.524548010683027,0,0.001502617067657381,10.25207089780941,25.07444647393575,-93.8614791452183,8.400390342915992,250,0.0,688,5.356,0.4788152044369518
25.038583576207145,0.0061994464322729925,0.0061994464322729925,-17.498462530333324,0,0.0020810789388349938,10.5496929951301,25.032384129774872,-94.91166076452794,8.323160146732068,250,0.0,718,5.424,0.49419024676737605
25.217126637067455,0.009394746254258735,-0.009394746254258735,-17.833875521247922,0,0.0027082570029886297,10.355791225403333,25.226521383321714,-95.3042307855489,8.560293524356377,250,0.0,748,5.344,0.4750410508577127
