TimestepsStd,ITERATIONS,TimestepsMean,Omega,Wins,RewardStd,OmegaBefore,DeltaOmega,ReturnsStd,Traj,RewardMean,ConfortViolation,NormDeltaVar,ReturnsMean,NormDeltaOmega
7.564516111424445,0,12.436,24.899999998511795,0.0,5.809957882263777,25.0,-0.10000000148820476,161.36514983219251,250,-19.62780589443565,0,0.3162277664665662,-244.09139410320168,0.10000000148820476
4.414487059670693,1,9.548,24.810029357665915,0.0,6.463358542349856,24.899999998511795,-0.08997064084588047,92.9253788558113,250,-18.882688546533256,0,0.2764541272667979,-180.29191024229954,0.08997064084588047
2.897229020978493,2,7.492,24.732877347229085,0.0,7.102793633450643,24.810029357665915,-0.07715201043682995,60.32395181025764,250,-18.085515755957537,0,0.24503175474110578,-135.49668404363388,0.07715201043682995
2.0919847035769648,3,6.66,24.665824969712606,0.0,7.3916395070759,24.732877347229085,-0.06705237751647886,43.10456565647706,250,-17.575094291254143,0,0.21140247753883976,-117.05012797975259,0.06705237751647886
2.112518875655316,4,6.708,24.60598586092892,0.0,7.311804314032635,24.665824969712606,-0.05983910878368448,43.231457796035095,250,-17.45851875599352,0,0.20002796395770772,-117.11174381520452,0.05983910878368448
2.269100262218486,5,6.572,24.55593313596908,0.0,7.314102333183641,24.60598586092892,-0.05005272495984059,46.01318074804579,250,-17.2548578591135,0,0.18992604126656423,-113.39892585009392,0.05005272495984059
1.4145755547159722,6,6.176,24.514257115965375,0.0,7.459397243068977,24.55593313596908,-0.04167602000370607,28.48111511870729,250,-16.961187355276934,0,0.17504870795018349,-104.75229310619034,0.04167602000370607
1.3490678263156377,7,6.004,24.478713782387665,0.0,7.506857026040161,24.514257115965375,-0.03554333357771,27.05790384028745,250,-16.783152353861297,0,0.1631147738919021,-100.76604673258322,0.03554333357771
1.2523577763562614,8,5.86,24.445685132085693,0.0,7.552708419257971,24.478713782387665,-0.03302865030197211,24.98114067618587,250,-16.641311301085615,0,0.15602387899274975,-97.51808422436169,0.03302865030197211
1.182681698514017,9,5.708,24.417476876214938,0.0,7.600923125799361,24.445685132085693,-0.02820825587075504,23.51638972442285,250,-16.483607102973977,0,0.14028177469771408,-94.08842934377546,0.02820825587075504
0.9643650760992956,10,5.7,24.391216716845193,0.0,7.581518112186992,24.417476876214938,-0.026260159369744684,19.163324477654008,250,-16.42713408634409,0,0.13390726902962227,-93.6346642921613,0.026260159369744684
0.8256003875968082,11,5.628,24.370741851471312,0.0,7.5889236743633,24.391216716845193,-0.0204748653738811,16.270662996505468,250,-16.317401017313095,0,0.1202056816174306,-91.83433292543809,0.0204748653738811
0.8422921108499117,12,5.612,24.35355889627583,0.0,7.580283634507336,24.370741851471312,-0.01718295519548363,16.600504839669835,250,-16.270577974882087,0,0.11041448773133263,-91.31048359503828,0.01718295519548363
0.9405019936183017,13,5.616,24.338670677762416,0.0,7.566619899094941,24.35355889627583,-0.01488821851341271,18.489187669748226,250,-16.247932017364356,0,0.10257991264234306,-91.24838620951822,0.01488821851341271
0.8879279250029251,14,5.672,24.32631523293281,0.0,7.520302186613283,24.338670677762416,-0.012355444829605489,17.486010384093927,250,-16.24627094914971,0,0.0969617227813927,-92.14884882357714,0.012355444829605489
0.7525529881676107,15,5.608,24.317699420790284,0.0,7.539027568835037,24.32631523293281,-0.00861581214252638,14.763301458546334,250,-16.17485738462512,0,0.08701847392539391,-90.70860021297769,0.00861581214252638
0.8289656205175219,16,5.604,24.31260503151925,0.0,7.534732713961006,24.317699420790284,-0.005094389271032895,16.328699142507723,250,-16.158729104528057,0,0.08208504957072957,-90.55351790177524,0.005094389271032895
0.9107447501907436,17,5.612,24.309256849999077,0.0,7.52578802425892,24.31260503151925,-0.0033481815201739096,17.786668953264,250,-16.1534439212395,0,0.0804697018301244,-90.65312728599608,0.0033481815201739096
0.7548138843450085,18,5.516,24.307915874537986,0.0,7.578603987864018,24.309256849999077,-0.0013409754610904656,14.77566850627861,250,-16.0959522643828,0,0.07434391591167253,-88.78527269033552,0.0013409754610904656
0.6584831053261732,19,5.48,24.309000931560753,0.0,7.593289411030374,24.307915874537986,0.0010850570227667333,12.845226371430316,250,-16.063618776781606,0,0.06913324350848143,-88.0286308967632,0.0010850570227667333
0.7047723036555849,20,5.536,24.313269685812728,0.0,7.563903335951872,24.309000931560753,0.0042687542519743715,13.812427627861492,250,-16.100850795577355,0,0.06463703466511672,-89.13431000431625,0.0042687542519743715
0.7589888009713976,21,5.544,24.319402595506386,0.0,7.56645374507112,24.313269685812728,0.006132909693658206,14.828695835347514,250,-16.120731848400222,0,0.061286148447024964,-89.37333736753084,0.006132909693658206
0.6325061264525428,22,5.544,24.32683158603859,0.0,7.570886947522999,24.319402595506386,0.007428990532204693,12.458841115818135,250,-16.130072981480115,0,0.05586025324636982,-89.42512460932575,0.007428990532204693
0.673332013200026,23,5.568,24.33614134865626,0.0,7.561517565583627,24.32683158603859,0.009309762617668582,13.178844396261528,250,-16.15322809516946,0,0.050654593430637725,-89.94117403390355,0.009309762617668582
0.633921130741041,24,5.488,24.34704270676798,0.0,7.614400613656269,24.33614134865626,0.010901358111720327,12.507955833560848,250,-16.122925963052815,0,0.0505572798666409,-88.48261768523385,0.010901358111720327
0.7264268717496621,25,5.548,24.360723863087514,0.0,7.590407276422358,24.34704270676798,0.013681156319535148,14.283353714351685,250,-16.178628693292513,0,0.04747832748982954,-89.75903199038686,0.013681156319535148
