NormDeltaOmega,ITERATIONS,TimestepsMean,TimestepsStd,OmegaBefore,RewardStd,NormDeltaVar,ReturnsMean,ConfortViolation,RewardMean,ReturnsStd,Traj,Wins,Omega,DeltaOmega
0.10000000148940336,0,28.496,13.539054028993311,4.0,1.681443806307655,0.3162277670184434,250.65965838807304,0,8.7963103027819,124.12815165897926,250,0.0,3.8999999985105966,-0.10000000148940336
0.09838651592487202,28,70.556,31.81255827499574,1.1340612100265615,1.167842116358169,0.27763553423930637,686.1419430722657,0,9.724785178755395,315.9439462031074,250,0.4,1.0356746941016894,-0.09838651592487202
0.0037234082884694333,58,41.112,13.869515348417911,0.03774328361492606,1.5326337982132903,0.047595812727648165,398.20729792542,0,9.68591403788237,138.73467542280233,250,0.0,0.04146669190339549,0.0037234082884694333
0.0065953397722957885,88,38.04,12.47070166430101,-0.03735902167789811,1.590991404824583,0.007864859629066235,367.58926512497897,0,9.663229892875368,124.75184111167883,250,0.0,-0.0439543614501939,-0.0065953397722957885
0.0052266597377134405,118,35.124,11.598475072180825,-0.2293521469829819,1.6531593135105005,0.009969645298318716,338.54095300263754,0,9.638451002238856,115.9784857222057,250,0.0,-0.23457880672069534,-0.0052266597377134405
0.014845446449734997,148,37.8,11.041376725752999,-0.09676711963821773,1.5959930537512965,0.02117951754101557,365.2373345981996,0,9.662363349158719,110.47180688161085,250,0.0,-0.08192167318848273,0.014845446449734997
0.0024683064208139427,178,42.512,15.144697289810715,0.11223565929771259,1.5077780561604495,0.019866703883608304,412.06896638131235,0,9.693003537385028,151.46338282491104,250,0.0,0.11470396571852653,0.0024683064208139427
0.018592606090383323,208,49.352,17.312772626012276,0.29435599698534,1.401957601298023,0.13319976321475813,479.92647852101516,0,9.724559866287388,173.05523184558749,250,0.0,0.27576339089495666,-0.018592606090383323
0.008443620662258206,238,45.112,16.034071722429086,0.17695064541049693,1.464794166319501,0.06351461581898364,437.8626543462611,0,9.706123744153688,160.34771392846486,250,0.0,0.18539426607275514,0.008443620662258206
0.019873397948801497,268,65.608,28.53668404002119,0.4404154944842316,1.2200272069038858,0.16502176213430245,641.5361427930202,0,9.778321893565117,285.1303681917813,250,0.0,0.4602888924330331,0.019873397948801497
0.009187111731945141,298,48.144,18.897916922243045,0.18351960608576864,1.4195363512398582,0.1436783802872681,468.13373466341176,0,9.72361529294225,188.96409045460138,250,0.0,0.19270671781771379,0.009187111731945141
0.009604467714038722,328,64.96,33.85602457466027,0.3157618568744737,1.2220793144235318,0.13674680528922678,635.73677839748,0,9.786588337399628,338.75149301848205,250,0.8,0.32536632458851245,0.009604467714038722
0.07968404676265528,358,106.456,58.36286545398538,0.4730004333688437,0.8938119779437297,0.2364559867231561,1050.7237193399458,0,9.870028174456543,585.8010394472669,250,14.000000000000002,0.552684480131499,0.07968404676265528
0.008586012147656197,388,28.032,5.710952284864582,-0.39888267094759927,1.8402600734113377,0.028827244982848003,267.7556236479028,0,9.551784519402924,57.11825414435484,250,0.0,-0.3902966587999431,0.008586012147656197
0.018373295992023142,418,41.892,14.286788862442112,0.0837748157570411,1.518444646187895,0.012001915603411071,405.8861365424655,0,9.68886986876887,142.88009310923584,250,0.0,0.10214811174906424,0.018373295992023142
0.004582625053387357,448,62.348,37.8268012922055,0.24832969894574536,1.2422649418687304,0.11892863154488904,610.0072571204716,0,9.783910584468977,378.83458053732556,250,1.6,0.243747073892358,-0.004582625053387357
0.0007924853701029855,478,64.332,40.70898888452033,0.23389640161064282,1.2187381814437401,0.1975391018935614,630.0021929599012,0,9.792983164830893,407.96989079175165,250,2.4,0.2346888869807458,0.0007924853701029855
0.01584701233788771,508,30.84,6.897999710060881,-0.24124134352419924,1.7590613798255863,0.06787977534024878,295.8086865427691,0,9.591721353526884,69.02858732132151,250,0.0,-0.25708835586208695,-0.01584701233788771
0.02253291651651304,538,44.052,15.842010478471476,0.07655997454646774,1.4823092618458082,0.010191934005427747,427.5021803551901,0,9.704489702060975,158.4374497570273,250,0.0,0.09909289106298078,0.02253291651651304
0.009393676449601096,568,63.172,39.56097086776309,0.21417385888477836,1.2296872799389713,0.1050002979934586,618.4821242308118,0,9.79044710046875,396.5313920978323,250,2.4,0.22356753533437945,0.009393676449601096
0.011423298976394686,598,74.452,50.20557435185858,0.2472607828877302,1.107228523643789,0.16698698615942695,731.689427184288,0,9.827666512441413,504.17619879392527,250,7.199999999999999,0.23583748391133552,-0.011423298976394686
0.045109373473576075,628,121.628,73.81518553793657,0.3791392058601617,0.6893500174381287,0.18964386235657058,1206.935082420467,0,9.923168040422166,743.5956624873209,250,42.0,0.4242485793337378,0.045109373473576075
0.007835507972978717,658,108.308,70.26342673112379,0.31607277065340916,0.805945943179745,0.10957544665724506,1072.485429124881,0,9.902181086576071,707.2230441586252,250,29.2,0.30823726268043045,-0.007835507972978717
0.005884362863619125,688,55.88,33.43748794392306,0.1722294311601834,1.3131950412708866,0.12207862676341419,545.6001801661806,0,9.763782751721198,334.9774959568239,250,1.2,0.17811379402380254,0.005884362863619125
0.0005598478461912304,718,58.576,37.39770345890239,0.15442065195322793,1.2811422032385549,0.11231163801673744,572.6596242457312,0,9.776352503512209,374.679591330465,250,1.6,0.1538608041070367,-0.0005598478461912304
0.021480992069605076,748,81.484,57.49478014567931,0.22782963873388393,1.0253570248243384,0.14610045709690586,802.8353467370674,0,9.852674718190903,578.2484217565896,250,13.200000000000001,0.20634864666427885,-0.021480992069605076
