ReturnsMean,Omega,TimestepsMean,Traj,ITERATIONS,NormDeltaOmega,DeltaOmega,OmegaBefore,ReturnsStd,RewardStd,TimestepsStd,NormDeltaVar,RewardMean,ConfortViolation,Wins
-136.29758237999147,20.100000001488063,14.504,250,0,0.10000000148806265,0.10000000148806265,20.0,91.00591604885834,2.566983344110923,9.029395550090825,0.3162277630674547,-9.39724092526141,0,0.0
-105.47487618296225,20.19483377858595,11.248,250,1,0.09483377709788599,0.09483377709788599,20.100000001488063,54.479894824509124,2.937180191191027,5.307588529643194,0.2866591115169229,-9.377211609438321,0,0.0
-80.46318042768749,20.282383934004727,8.672,250,2,0.08755015541877853,0.08755015541877853,20.19483377858595,35.80607717820734,3.3566610977749383,3.4264290449387684,0.25690372245562926,-9.278503278100494,0,0.0
-74.20018971732175,20.365035833088122,7.96,250,3,0.08265189908339465,0.08265189908339465,20.282383934004727,28.802318476043347,3.539882976925404,2.717057231638671,0.238291424327989,-9.321631874035397,0,0.0
-71.50691498169475,20.4467204589328,7.608,250,4,0.08168462584467662,0.08168462584467662,20.365035833088122,27.55236118984372,3.662845670367392,2.5546694502420464,0.22454142322331608,-9.39891101231529,0,0.0
-68.11721656642733,20.526117905917285,7.196,250,5,0.07939744698448692,0.07939744698448692,20.4467204589328,25.86286888522082,3.8088810212039323,2.3625376187481124,0.21161725793541647,-9.465983402783122,0,0.0
-61.67728070140232,20.602665455878622,6.524,250,6,0.07654754996133661,0.07654754996133661,20.526117905917285,17.111993717812144,4.028471437056714,1.5340873508376243,0.19391279466645223,-9.453905686910225,0,0.0
-60.898005197599765,20.67730473121949,6.38,250,7,0.07463927534086778,0.07463927534086778,20.602665455878622,16.53201250531448,4.120758424816728,1.4654692081377896,0.1754676617520701,-9.54514188050153,0,0.0
-61.48279257153296,20.751809975794647,6.364,250,8,0.07450524457515684,0.07450524457515684,20.67730473121949,15.048881837029034,4.177022937367496,1.3204181155982373,0.15831410630847548,-9.661029630976266,0,0.0
-61.035410123654366,20.824836775670512,6.248,250,9,0.07302679987586558,0.07302679987586558,20.751809975794647,13.391650069511089,4.269761157225326,1.156933878836643,0.1459432481990604,-9.768791633107293,0,0.0
-61.062276762380726,20.897039225869026,6.184,250,10,0.0722024501985139,0.0722024501985139,20.824836775670512,14.547963316463056,4.342330235232493,1.2353720087487816,0.13611930495237723,-9.874236216426379,0,0.0
-60.695956688167705,20.968080001342965,6.084,250,11,0.07104077547393928,0.07104077547393928,20.897039225869026,12.701040808253838,4.429977470729641,1.068149802228133,0.12770228299888262,-9.976324241973652,0,0.0
-60.47030028041412,21.038653812951946,6.008,250,12,0.07057381160898046,0.07057381160898046,20.968080001342965,12.055328321884932,4.502847212831116,1.0039601585720421,0.11962623353062848,-10.064963428830579,0,0.0
-62.08580762406693,21.107330947078996,6.072,250,13,0.06867713412705001,0.06867713412705001,21.038653812951946,15.432065832282387,4.545170766238368,1.2596888504706232,0.11209021410630884,-10.224935379457664,0,0.0
-60.304544512938634,21.175336346699453,5.872,250,14,0.06800539962045704,0.06800539962045704,21.107330947078996,10.549034359420709,4.65761398752491,0.8530041031554305,0.1041482942682294,-10.269847498797452,0,0.0
-61.711020448012775,21.243569461376502,5.932,250,15,0.0682331146770494,0.0682331146770494,21.175336346699453,11.84925453445491,4.689661956017263,0.9504609408071433,0.10224336728255999,-10.403071552261087,0,0.0
-62.90685085082544,21.312111726187467,5.972,250,16,0.06854226481096504,0.06854226481096504,21.243569461376502,11.048410883770122,4.728982241797918,0.8781890457071303,0.1001331334729836,-10.533632091564877,0,0.0
-61.52534220496863,21.380315637538086,5.804,250,17,0.06820391135061854,0.06820391135061854,21.312111726187467,10.101374469094363,4.841471347165707,0.7934632946772018,0.09336775297358074,-10.600506927113823,0,0.0
-62.86282206291271,21.44827633994037,5.856,250,18,0.06796070240228502,0.06796070240228502,21.380315637538086,8.465346608422722,4.876400620358047,0.6475059845283285,0.08730276124954846,-10.734771527136733,0,0.0
-63.0667695531795,21.51571962678427,5.812,250,19,0.06744328684390055,0.06744328684390055,21.44827633994037,11.168508986996844,4.9515783274041665,0.8582866653979893,0.08583970864474243,-10.8511303429421,0,0.0
-62.87052105369757,21.58214896217562,5.74,250,20,0.06642933539134788,0.06642933539134788,21.51571962678427,9.380386115337322,5.035881669393395,0.7102112361825881,0.08106520405628485,-10.953052448379367,0,0.0
-63.570548083514076,21.648149682546364,5.748,250,21,0.06600072037074511,0.06600072037074511,21.58214896217562,9.367919302504333,5.080111463813603,0.7074574192133404,0.07477595047157248,-11.059594308196605,0,0.0
-64.45979360661305,21.714662110996578,5.764,250,22,0.06651242845021343,0.06651242845021343,21.648149682546364,9.493810339504652,5.128657238662507,0.7073217089839671,0.06973121439167411,-11.18317029955119,0,0.0
-65.12320725841535,21.780981995260042,5.76,250,23,0.06631988426346425,0.06631988426346425,21.714662110996578,9.671157182668844,5.186871964208499,0.71442284397967,0.06653526810214463,-11.306112371252663,0,0.0
-65.350451281466,21.846938773146448,5.728,250,24,0.06595677788640586,0.06595677788640586,21.780981995260042,8.421073517965954,5.25147278865806,0.6115684753157246,0.06229340615386425,-11.408947500255936,0,0.0
-66.81480117455398,21.911936669565282,5.78,250,25,0.06499789641883424,0.06499789641883424,21.846938773146448,9.783360115926028,5.291947428813996,0.7011419257183242,0.059118769137031124,-11.559654182448787,0,0.0
-68.12025495203063,21.97699824785442,5.828,250,26,0.06506157828913928,0.06506157828913928,21.911936669565282,10.521644070527755,5.324350902559236,0.7472723733686398,0.05701068048016373,-11.688444569668949,0,0.0
-66.97875429714716,22.042547652244227,5.7,250,27,0.06554940438980594,0.06554940438980594,21.97699824785442,10.100308067330703,5.424694683858429,0.7113367697511496,0.053734763375279125,-11.750658648622307,0,0.0
-67.9521992473498,22.107240345195006,5.716,250,28,0.06469269295077851,0.06469269295077851,22.042547652244227,9.89211448557196,5.478744698207247,0.6894519562667148,0.05642653406030926,-11.888068447751886,0,0.0
-68.52177677092283,22.172141993012193,5.712,250,29,0.06490164781718732,0.06490164781718732,22.107240345195006,9.326017862501272,5.53090685479608,0.6426943285886378,0.05408034806010091,-11.996109378662961,0,0.0
-69.75706804412316,22.23853748700021,5.756,250,30,0.06639549398801847,0.06639549398801847,22.172141993012193,10.9397793240182,5.561818939686972,0.7486414362029395,0.05425436865270219,-12.119018075768443,0,0.0
-69.7283972595028,22.305426953525412,5.704,250,31,0.06688946652520045,0.06688946652520045,22.23853748700021,9.561225321292328,5.640742918077103,0.6452782345624251,0.0517197129075692,-12.224473572844108,0,0.0
-70.65897028525197,22.372068941626935,5.716,250,32,0.066641988101523,0.066641988101523,22.305426953525412,11.155573847758152,5.697096556898777,0.7505624557623436,0.05289245553725409,-12.361611316524137,0,0.0
-71.13976788545921,22.438726579567412,5.704,250,33,0.06665763794047663,0.06665763794047663,22.372068941626935,10.044503766717996,5.755066538640784,0.6636143458364957,0.05601048415356365,-12.471908815823841,0,0.0
-71.81348565284581,22.505253034465774,5.7,250,34,0.06652645489836218,0.06652645489836218,22.438726579567412,10.903852460226355,5.816197530272938,0.7169379331573968,0.0582097324334287,-12.598857132078214,0,0.0
-71.3983584560986,22.572094237877284,5.628,250,35,0.06684120341151001,0.06684120341151001,22.505253034465774,8.490507123786639,5.901777606848718,0.5528254697461035,0.05357496682890249,-12.686275489711909,0,0.0
-71.78154489053398,22.638500454817194,5.608,250,36,0.06640621693991022,0.06640621693991022,22.572094237877284,9.095715353326176,5.967109434322382,0.5850948641032496,0.050509501359097334,-12.799847519710049,0,0.0
-72.358183715244,22.704105324734325,5.6,250,37,0.06560486991713077,0.06560486991713077,22.638500454817194,9.21557079011045,6.028985428924617,0.5865151319446071,0.05111461357147711,-12.921104234865,0,0.0
-72.5463969290002,22.770758069684167,5.572,250,38,0.06665274494984175,0.06665274494984175,22.704105324734325,8.5668232957803,6.093371150171083,0.5411247545621989,0.049088465611987826,-13.019812801328108,0,0.0
-72.61460143043979,22.836462218800023,5.528,250,39,0.06570414911585587,0.06570414911585587,22.770758069684167,9.03431431810259,6.17757821287361,0.5667592081298723,0.04502357302161548,-13.135781734884189,0,0.0
-74.23021356945456,22.901173497654135,5.584,250,40,0.06471127885411221,0.06471127885411221,22.836462218800023,8.810838549056674,6.213199670597192,0.5467577159949369,0.03959919371774352,-13.293376355561346,0,0.0
-75.90300056847563,22.96460007035515,5.648,250,41,0.06342657270101526,0.06342657270101526,22.901173497654135,9.312197253214503,6.237693368919182,0.5692942999890303,0.03819173280716002,-13.438916531245688,0,0.0
-75.7018825452307,23.028565660087057,5.596,250,42,0.06396558973190736,0.06396558973190736,22.96460007035515,9.358338953224063,6.31435050215402,0.5733968957013981,0.037840893935138696,-13.527856065981185,0,0.0
-75.52541933906515,23.092254428633918,5.544,250,43,0.06368876854686079,0.06368876854686079,23.028565660087057,9.038460054445466,6.395069857792849,0.5441176343402224,0.03251921739789741,-13.622911136195013,0,0.0
-77.48441545904895,23.155253975110018,5.62,250,44,0.06299954647609951,0.06299954647609951,23.092254428633918,9.872773447859146,6.419148422996054,0.589576118919347,0.03341512516789882,-13.787262537197325,0,0.0
-76.74138512474569,23.217055508924442,5.536,250,45,0.06180153381442466,0.06180153381442466,23.155253975110018,8.846638839306838,6.512933243800801,0.5222106854517629,0.02912516779450384,-13.862244422822558,0,0.0
-78.91339989231172,23.279362971031034,5.628,250,46,0.06230746210659177,0.06230746210659177,23.217055508924442,10.198095347894373,6.522177400946414,0.6013451587898584,0.029591471158291506,-14.021570698704997,0,0.0
-77.65138280832197,23.34161693580729,5.516,250,47,0.06225396477625722,0.06225396477625722,23.279362971031034,9.681210185518086,6.628397488170793,0.5672248231521607,0.027394063925418894,-14.077480567135963,0,0.0
-78.10933253907614,23.403920445104244,5.504,250,48,0.06230350929695305,0.06230350929695305,23.34161693580729,8.765881832534875,6.6909681832620045,0.5079212537391993,0.02580810304990666,-14.191375824686798,0,0.0
-80.04778595582036,23.46485743261987,5.576,250,49,0.06093698751562471,0.06093698751562471,23.403920445104244,9.989790388895958,6.715013032732932,0.5694067087767759,0.028234243844687142,-14.355772230240381,0,0.0
-79.53400909768418,23.524379857787725,5.508,250,50,0.059522425167855886,0.059522425167855886,23.46485743261987,9.344112628591889,6.805228281086783,0.5309764589885319,0.02674119233273024,-14.439725689485144,0,0.0
-80.58725807204442,23.58256053461992,5.532,250,51,0.05818067683219397,0.05818067683219397,23.524379857787725,10.51002733314404,6.846731576424874,0.5941178334303727,0.031282526409590034,-14.567472536522855,0,0.0
-80.549288615968,23.641360920207102,5.496,250,52,0.05880038558718326,0.05880038558718326,23.58256053461992,9.904481870622556,6.916259844394866,0.553158205218001,0.02966617894474677,-14.655984100430857,0,0.0
-81.8239096896915,23.698993791651546,5.532,250,53,0.05763287144444362,0.05763287144444362,23.641360920207102,10.165585594640518,6.952284672801221,0.5665474384374181,0.030425345324121264,-14.79101765901871,0,0.0
-81.6725431954737,23.756354966142663,5.492,250,54,0.057361174491116884,0.057361174491116884,23.698993791651546,9.96660019078709,7.020793593456553,0.5531148162904335,0.029233249581927218,-14.871184121535634,0,0.0
-82.17009226097097,23.812556003054954,5.484,250,55,0.05620103691229161,0.05620103691229161,23.756354966142663,10.868335266598994,7.079798988219857,0.5947638186709074,0.032366702545138404,-14.983605445107766,0,0.0
-82.24745581127095,23.86799986758758,5.456,250,56,0.055443864532627174,0.055443864532627174,23.812556003054954,9.161195911265713,7.145317824667963,0.49806023732074817,0.025846664196586797,-15.074680317315057,0,0.0
-82.92329949687196,23.922922841542327,5.46,250,57,0.05492297395474566,0.05492297395474566,23.86799986758758,9.646477331546258,7.195524282494538,0.5219195340279955,0.024986574788078968,-15.187417490269587,0,0.0
-84.37708844236856,23.974783798829012,5.504,250,58,0.05186095728668505,0.05186095728668505,23.922922841542327,9.769119111083386,7.2273762855637775,0.5234348096945789,0.021256985125102944,-15.330139615255915,0,0.0
-84.12718189937048,24.02546392467226,5.464,250,59,0.05068012584324677,0.05068012584324677,23.974783798829012,10.674356031652207,7.29121762708977,0.5663073370529469,0.022182045286212197,-15.396629190953602,0,0.0
-85.14724396798727,24.0773711180115,5.492,250,60,0.051907193339239655,0.051907193339239655,24.02546392467226,10.193582337432781,7.319001882280081,0.5384570549263887,0.022617084855957547,-15.503868166057407,0,0.0
-85.05449409350834,24.131446023253144,5.46,250,61,0.054074905241645155,0.054074905241645155,24.0773711180115,10.066369158941482,7.380387502354915,0.5295280917949491,0.02123577195052667,-15.577746170972226,0,0.0
-86.02682403797604,24.185477096898165,5.476,250,62,0.05403107364502091,0.05403107364502091,24.131446023253144,10.03389661977207,7.429417939787785,0.5228996079554852,0.020692312681301474,-15.709792556241059,0,0.0
-85.75028016079885,24.23674253879191,5.428,250,63,0.05126544189374371,0.05126544189374371,24.185477096898165,9.661630999416925,7.511467585998339,0.5028081144929942,0.017577512766881645,-15.797767163006418,0,0.0
-87.29391817769452,24.286273264667695,5.48,250,64,0.049530725875786885,0.049530725875786885,24.23674253879191,10.336166649848618,7.529933337190375,0.530659966456864,0.017133184775183788,-15.929547112717978,0,0.0
