Omega,NormDeltaOmega,DeltaOmega,RewardMean,ConfortViolation,NormDeltaVar,ReturnsStd,OmegaBefore,ReturnsMean,RewardStd,Traj,Wins,ITERATIONS,TimestepsMean,TimestepsStd
19.10000000148785,0.10000000148784949,0.10000000148784949,-7.615490995893711,0,0.3162277651127899,72.2967251607808,19.0,-115.32899564181436,2.0362474326746605,250,0.0,0,15.144,8.888378029764485
19.196228940449636,0.09622893896178653,0.09622893896178653,-7.567939599317078,0,0.28024816883243925,43.46256531933411,19.10000000148785,-82.4299981157616,2.415278650432456,250,0.0,1,10.892,5.226885879756702
19.287021060332084,0.09079211988244751,0.09079211988244751,-7.5871190007827725,0,0.2591108443713637,31.12609388612362,19.196228940449636,-69.3159191911514,2.6679821622560747,250,0.0,2,9.136,3.6798782588558554
19.373491799160824,0.08647073882874068,0.08647073882874068,-7.6516063984051685,0,0.24355560410325705,25.19933176913797,19.287021060332084,-63.967429490667215,2.827613323392355,250,0.0,3,8.36,2.9076450952618
19.45721931327851,0.08372751411768675,0.08372751411768675,-7.641936080254736,0,0.21878674008922228,16.87920499295488,19.373491799160824,-55.69443015289652,3.0551460759672326,250,0.0,4,7.288,1.9196499680931416
19.539430559078784,0.0822112458002735,0.0822112458002735,-7.795853823248089,0,0.21010477676675468,20.9048204586236,19.45721931327851,-57.43985096969192,3.096565831318172,250,0.0,5,7.368,2.323913939886759
19.620025931143434,0.08059537206464995,0.08059537206464995,-7.86819223618941,0,0.1970865837062702,16.470344009782515,19.539430559078784,-54.88850903965732,3.225672523226271,250,0.0,6,6.976,1.8087078260459868
19.69877641776857,0.07875048662513606,0.07875048662513606,-7.9579990123426425,0,0.18165647216155995,16.16018902909244,19.620025931143434,-53.7642413273869,3.3234470214624032,250,0.0,7,6.756,1.741397140229649
19.77694423914871,0.07816782138013778,0.07816782138013778,-8.045330214959517,0,0.1702110220981733,11.735975677672199,19.69877641776857,-52.77736621013443,3.418335857801276,250,0.0,8,6.56,1.2451505933018705
19.85422010356631,0.07727586441760081,0.07727586441760081,-8.182703845754839,0,0.1629022659506737,13.414237160343092,19.77694423914871,-53.41669070508759,3.4871012930760306,250,0.0,9,6.528,1.3975750427079041
19.931664997167427,0.07744489360111828,0.07744489360111828,-8.277819587861828,0,0.15698740437733755,13.615780767679746,19.85422010356631,-53.276046867478726,3.556762192224568,250,0.0,10,6.436,1.4078011223180638
20.008060376772853,0.07639537960542597,0.07639537960542597,-8.368325928579917,0,0.1488281565036051,10.39406917537976,19.931664997167427,-52.31877370548164,3.6578411260083405,250,0.0,11,6.252,1.0490452802429455
20.08341628285678,0.07535590608392795,0.07535590608392795,-8.520851262438155,0,0.13978126674558067,12.044678491719564,20.008060376772853,-53.74952976345988,3.704748570524794,250,0.0,12,6.308,1.1954647631779032
20.15856354383358,0.07514726097679869,0.07514726097679869,-8.589342372670803,0,0.12639730286016632,8.607600114296,20.08341628285678,-52.463703212273266,3.8065685435202905,250,0.0,13,6.108,0.8487261042291558
20.233584084146027,0.07502054031244754,0.07502054031244754,-8.721060471961136,0,0.12103967613519004,9.426965053929978,20.15856354383358,-53.68684826539276,3.8469442207813396,250,0.0,14,6.156,0.9053529698410449
20.308341985941595,0.07475790179556796,0.07475790179556796,-8.800986256281263,0,0.11209508960932434,7.978871006223616,20.233584084146027,-52.7003057026122,3.9465710064451542,250,0.0,15,5.988,0.761482764085964
20.38300007947679,0.07465809353519504,0.07465809353519504,-8.95363813846096,0,0.10466250244023682,8.937011378964236,20.308341985941595,-54.330676224181104,3.9829594167407243,250,0.0,16,6.068,0.8386751456911072
20.457524324141747,0.074524244664957,0.074524244664957,-9.056342221543511,0,0.10265620116866417,8.06270629494812,20.38300007947679,-54.301827960374894,4.057528724719865,250,0.0,17,5.996,0.7456433463794871
20.531648236048888,0.07412391190714018,0.07412391190714018,-9.164292754659956,0,0.0974263051219182,7.775703591599466,20.457524324141747,-54.21595593656829,4.138741994988409,250,0.0,18,5.916,0.7077739752209034
20.60467265377744,0.07302441772855062,0.07302441772855062,-9.334321458442968,0,0.09433525554365794,8.883610995223203,20.531648236048888,-56.30462703732798,4.166573478648512,250,0.0,19,6.032,0.7993597437949951
20.677921908743315,0.07324925496587653,0.07324925496587653,-9.376307405346566,0,0.08591327196949423,8.30177071821278,20.60467265377744,-54.495098639874236,4.280093598549794,250,0.0,20,5.812,0.7325680855729384
20.750913185868917,0.0729912771256025,0.0729912771256025,-9.538409431935895,0,0.0778569850063069,8.517485552906876,20.677921908743315,-56.16215473523856,4.3199282249211794,250,0.0,21,5.888,0.7452892056108152
20.82288897251317,0.07197578664425208,0.07197578664425208,-9.65265493744016,0,0.07343712181792121,7.820036121849318,20.750913185868917,-56.564557933399335,4.383769475600813,250,0.0,22,5.86,0.6755738301621815
20.89418229620833,0.07129332369516206,0.07129332369516206,-9.783584417996634,0,0.07256053456844976,9.955779265462741,20.82288897251317,-57.684013728508155,4.426595072790059,250,0.0,23,5.896,0.846867167860462
20.965740606412357,0.07155831020402559,0.07155831020402559,-9.834855699333499,0,0.06575999862753003,7.081306267349769,20.89418229620833,-56.17669575459295,4.535887144598256,250,0.0,24,5.712,0.5975416303488821
21.03732030535879,0.07157969894643301,0.07157969894643301,-10.012730560080472,0,0.06303372272587847,8.355373688910472,20.965740606412357,-58.434295548629635,4.558583602531905,250,0.0,25,5.836,0.6936166087976845
