OmegaBefore,TimestepsStd,ITERATIONS,ReturnsStd,RewardMean,NormDeltaOmega,TimestepsMean,Wins,ConfortViolation,DeltaOmega,RewardStd,Omega,NormDeltaVar,ReturnsMean,Traj
9.0,11.659362589781656,0,68.38158861263797,5.5943289838626615,0.10000000148911248,22.792,0.0,0,-0.10000000148911248,1.2070718293630858,8.899999998510888,0.31622776652388607,127.50594620019778,250
8.899999998510888,13.747706135934097,1,82.00385951530728,5.717648362715487,0.09973423130122683,25.976,0.0,0,-0.09973423130122683,1.1527566172564774,8.80026576720966,0.29767827913808237,148.5216338698975,250
8.80026576720966,17.901964584927544,2,108.37519243661467,5.827632271283489,0.09910910766657643,30.108,0.0,0,-0.09910910766657643,1.0898828190470948,8.701156659543084,0.2941140883040652,175.4583524238033,250
8.701156659543084,19.754261919899715,3,121.55253365518959,5.943293201349985,0.09830982030266,35.444,0.0,0,-0.09830982030266,1.0228608202627958,8.602846839240424,0.2723881511831738,210.65408422864888,250
8.602846839240424,20.27999053254217,4,126.7500503786746,6.054685138916898,0.0977027944413873,40.728,0.0,0,-0.0977027944413873,0.9704568825501761,8.505144044799037,0.2677171519862175,246.59521633780741,250
8.505144044799037,21.505496971704698,5,136.45384138941137,6.145486928936702,0.09806959362937562,43.56,0.0,0,-0.09806959362937562,0.951982262828644,8.407074451169661,0.24882546288240362,267.6974106244828,250
8.407074451169661,21.057264779643152,6,135.40353326348745,6.238566873232693,0.09876531688379586,47.26,0.0,0,-0.09876531688379586,0.9275527294342268,8.308309134285865,0.2251794524451498,294.83467042897706,250
8.308309134285865,22.913638209590374,7,149.32080839347216,6.333959296143924,0.09925982752634788,51.072,0.0,0,-0.09925982752634788,0.9053948777250777,8.209049306759518,0.21533532452963527,323.4879691726625,250
8.209049306759518,21.957627922888207,8,145.2739444568635,6.416510153505963,0.10034352359024368,52.524,0.0,0,-0.10034352359024368,0.9040290582841671,8.108705783169274,0.21183046032108477,337.0207793027472,250
8.108705783169274,27.481310012443004,9,184.29290569444817,6.517846341635163,0.10119890290165934,59.16,0.8,0,-0.10119890290165934,0.8613288079148804,8.007506880267615,0.21105794268796105,385.5957895711362,250
8.007506880267615,25.52086174093657,10,173.1228540170933,6.599885944372173,0.10213652904114223,60.204,0.0,0,-0.10213652904114223,0.8681901020344316,7.905370351226472,0.20770379830076716,397.3395333949822,250
7.905370351226472,24.26572891961006,11,166.53721292003,6.678996518573331,0.10333998138564748,61.12,0.0,0,-0.10333998138564748,0.8712160724459656,7.802030369840825,0.21962492910252238,408.22026721520206,250
7.802030369840825,23.844579761446834,12,165.761586973511,6.763057387484984,0.10447624008733758,63.004,0.4,0,-0.10447624008733758,0.8670228377450039,7.697554129753487,0.2293796706087412,426.09966764110396,250
7.697554129753487,22.62065463243714,13,158.9754886780404,6.840529957136718,0.10549538486256971,65.272,0.0,0,-0.10549538486256971,0.8633752297845572,7.592058744890918,0.24183281112522165,446.495071362228,250
7.592058744890918,30.224641867191746,14,215.01029493014798,6.942466183252431,0.10646474469832157,74.468,0.4,0,-0.10646474469832157,0.8184785114114321,7.485594000192596,0.25339707443818593,516.991571734442,250
7.485594000192596,33.41261941243158,15,240.57460942791272,7.021091442237022,0.1076240871569798,76.808,1.2,0,-0.1076240871569798,0.8119815239295092,7.377969913035616,0.259883164134569,539.2759914953413,250
7.377969913035616,34.087406706876365,16,248.06336810602605,7.105983761066296,0.10876591838762906,85.552,0.8,0,-0.10876591838762906,0.7807362800905526,7.269203994647987,0.2638920169681636,607.9311227267438,250
7.269203994647987,38.06468179296919,17,280.3188966956971,7.202360805170744,0.10953113956594862,102.4,2.0,0,-0.10953113956594862,0.7196060677645584,7.1596728550820385,0.2716749052282285,737.5217464494842,250
7.1596728550820385,41.67027986467093,18,311.0209810038295,7.295047712412854,0.11011083549835465,118.424,7.199999999999999,0,-0.11011083549835465,0.6604491924793389,7.049562019583684,0.27443080111411516,863.9087302947797,250
7.049562019583684,42.94429955186136,19,325.33691187159826,7.391547590596573,0.1113643658078658,144.056,17.599999999999998,0,-0.1113643658078658,0.5734729080202395,6.938197653775818,0.2766158191292141,1064.7967797109802,250
6.938197653775818,37.902295444999105,20,292.2461506774009,7.5147817234456795,0.11263326485574243,167.8,42.0,0,-0.11263326485574243,0.45358807020767256,6.825564388920076,0.2846974435220019,1260.9803731941852,250
6.825564388920076,35.51249920802533,21,275.35338989943256,7.593698249096723,0.11397496164117538,177.08,54.400000000000006,0,-0.11397496164117538,0.3997030107355092,6.7115894272789,0.27346649925543254,1344.6920859500476,250
6.7115894272789,35.68603446728145,22,279.2221367694721,7.666640823797344,0.11530622328011386,176.288,56.39999999999999,0,-0.11530622328011386,0.39688826400186433,6.596283203998786,0.25180797258879334,1351.5367775455861,250
6.596283203998786,36.306166748914706,23,286.48871475825536,7.738334491365003,0.11635763272015431,173.516,50.8,0,-0.11635763272015431,0.42629972177846176,6.479925571278632,0.24006751253814648,1342.7248476036898,250
6.479925571278632,33.46084422126854,24,267.38466848243127,7.8240365955851585,0.11751306009903217,181.352,62.0,0,-0.11751306009903217,0.3736538386881939,6.3624125111796,0.23828767468314188,1418.9046846825597,250
6.3624125111796,33.60196279981275,25,271.3089957223669,7.9043148540146735,0.11882817271171042,180.936,65.60000000000001,0,-0.11882817271171042,0.35961858307421446,6.2435843384678895,0.23658895775050973,1430.1751124259993,250
