RewardMean,RewardStd,Wins,OmegaBefore,Traj,TimestepsStd,Omega,ReturnsStd,NormDeltaVar,NormDeltaOmega,DeltaOmega,ConfortViolation,TimestepsMean,ReturnsMean,ITERATIONS
-11.304821655433672,3.095893065652382,0.0,21.0,250,9.309862297585287,21.100000001487626,112.82371400896145,0.3162277688739528,0.10000000148762567,0.10000000148762567,0,14.408,-162.87987041148835,0
-13.739222451075285,6.390951990031519,0.0,23.065881264322257,250,0.5381598275605491,23.129321366556752,8.971994021959324,0.05930323225940078,0.06344010223449459,0.06344010223449459,0,5.628,-77.32434395465171,28
-16.77910431384188,7.967024827693551,0.0,24.678728789395763,250,0.5043808085167397,24.718508224386866,10.344862464559727,0.013892727737140443,0.03977943499110381,0.03977943499110381,0,5.44,-91.27832746729985,58
-17.63265091839267,8.440890684702984,0.0,25.1285269850153,250,0.4822613399392492,25.14195088184119,10.489852922078322,0.005848946285655897,0.01342389682589129,0.01342389682589129,0,5.368,-94.65207012993187,88
-17.605669865439364,8.419985647726664,0.0,25.108262777824457,250,0.5085508824100102,25.10217909778458,10.991277682218561,0.009221422072071281,0.006083680039878914,-0.006083680039878914,0,5.376,-94.64808119660202,118
-17.502363170379585,8.39354976338498,0.0,25.066904219504554,250,0.4775939698111776,25.07341899741036,10.261184530759396,0.0017031711507757127,0.006514777905806568,0.006514777905806568,0,5.352,-93.67264768787153,148
-17.401269060338127,8.329820750810319,0.0,25.011433271102813,250,0.4822613399392492,25.015366430904365,10.275451284944348,0.007883751734399857,0.003933159801551511,0.003933159801551511,0,5.368,-93.41001231589506,178
-17.41665689807843,8.368120610266617,0.0,25.026590352144233,250,0.47233886141201636,25.022910906577184,10.116715733059747,0.0005759267169544575,0.003679445567048134,-0.003679445567048134,0,5.336,-92.93528120814649,208
-17.03077112331042,8.163619215165655,0.0,24.83403283405641,250,0.4788152044369518,24.822028696976098,10.060541053915383,0.00442591826939799,0.012004137080310784,-0.012004137080310784,0,5.356,-91.2168101364506,238
-17.762684505097102,8.537892391092882,0.0,25.199918506303604,250,0.470930992821666,25.20396734796363,10.29349805743554,0.017877010115931062,0.00404884166002617,0.00404884166002617,0,5.332,-94.71063378117775,268
-17.246832978163855,8.214540477644867,0.0,24.914800849706022,250,0.4921950832749145,24.90284184174218,10.419977961734904,0.0031703514009879127,0.011959007963842083,-0.011959007963842083,0,5.412,-93.33986007782279,298
-17.221835764102774,8.29703678467127,0.0,24.93934522351992,250,0.48852430850470474,24.919169226674075,10.40076846014546,0.01991040148365212,0.020175996845843258,-0.020175996845843258,0,5.312,-91.48239157891393,328
-17.32404862580344,8.296679036998484,0.0,24.967974807707666,250,0.48114862568649197,24.983463248670027,10.238865779216699,0.014279654380918575,0.015488440962361238,0.015488440962361238,0,5.364,-92.92619682880965,358
-17.58984390650605,8.366650860848365,0.0,25.0825651713162,250,0.49419024676737605,25.088026403288065,10.62732245816935,0.010875782116037779,0.005461231971864322,0.005461231971864322,0,5.424,-95.40731334888882,388
-17.408573602618226,8.325874265192299,0.0,25.011451554205205,250,0.4843800161030593,25.007260689167335,10.324820600161788,0.0027759573442941313,0.0041908650378701395,-0.0041908650378701395,0,5.376,-93.58849168767559,418
-18.034871167341,8.609548256137668,0.0,25.306260768235653,250,0.4881966816765555,25.287499650967032,10.812439514037022,0.0031335963805255353,0.018761117268621064,-0.018761117268621064,0,5.392,-97.24402533430266,448
-17.47802354648136,8.36286856391872,0.0,25.054283657680823,250,0.48333839077813795,25.08673419107263,10.338714711751134,0.004408826335949622,0.03245053339180615,0.03245053339180615,0,5.372,-93.89194249169788,478
-17.19341283264448,8.18164138708819,0.0,24.89191690254987,250,0.4935585071701227,24.907668344625847,10.39613823066418,0.009305950576515334,0.01575144207597745,0.01575144207597745,0,5.42,-93.18829755293308,508
-17.4048168050066,8.237916316056344,0.0,24.98080310712042,250,0.49897494927100305,24.998114123679567,10.608956842679385,0.00232169374753944,0.01731101655914813,0.01731101655914813,0,5.468,-95.16953828977609,538
-17.54767025063539,8.403667168722393,0.0,25.079691455529392,250,0.48114862568649197,25.060941136825136,10.369645167525897,0.0037382920380455197,0.018750318704256586,-0.018750318704256586,0,5.364,-94.12570322440824,568
-17.41369955482008,8.316886623017727,0.0,25.004909076196697,250,0.48729457210192695,24.99943725294473,10.418870458699267,0.005112773396716619,0.005471823251966157,-0.005471823251966157,0,5.388,-93.82501320137061,598
-17.379434322675387,8.28164530056367,0.0,24.985000467304616,250,0.4914631217090455,24.97577117150629,10.457769724291161,0.00754883056561223,0.009229295798327541,-0.009229295798327541,0,5.408,-93.9879808170285,628
-17.529291135935686,8.349110532232103,0.0,25.054941652131838,250,0.4921950832749145,25.05278706325414,10.573780251880114,0.012625420574325382,0.002154588877697705,-0.002154588877697705,0,5.412,-94.86852362768393,658
-18.04736169593801,8.611643899063697,0.0,25.312167002983184,250,0.48906441293555597,25.34646212965919,10.777954317065594,0.08499025864077357,0.03429512667600676,0.03429512667600676,0,5.396,-97.38356371128151,688
-17.697378465759584,8.460005504490042,0.0,25.14793323062428,250,0.48538644398046393,25.143072339099078,10.577710230313166,0.002705820725419794,0.004860891525201083,-0.004860891525201083,0,5.38,-95.21189614578657,718
-17.46240648698878,8.382207187041105,0.0,25.049950194322104,250,0.4750410508577127,25.062177125023616,10.145756636584617,0.001431041450445005,0.012226930701512373,0.012226930701512373,0,5.344,-93.31910026646803,748
