RewardMean,Traj,ReturnsMean,NormDeltaVar,ReturnsStd,DeltaOmega,ITERATIONS,RewardStd,TimestepsMean,NormDeltaOmega,OmegaBefore,TimestepsStd,ConfortViolation,Omega,Wins
-7.6474949378384505,250,-123.82823803348019,0.3162277663617803,85.46107285550264,0.10000000148796673,0,1.973390859761115,16.192,0.10000000148796673,19.0,10.503482089288294,0,19.100000001487967,0.0
-7.586145072015189,250,-85.23792602916265,0.2754782804450937,47.614728111859286,0.09628587293221713,1,2.3804326471622064,11.236,0.09628587293221713,19.100000001487967,5.7254086317048145,0,19.196285874420184,0.0
-7.623361602271905,250,-73.03180414976485,0.2582848112648402,34.65632111769305,0.0918647552421703,2,2.6110921034020067,9.58,0.0918647552421703,19.196285874420184,4.072787743057573,0,19.288150629662354,0.0
-7.6324995934565285,250,-63.38027662406301,0.23965308322685977,27.173434705718257,0.08821683162157612,3,2.8321605083426684,8.304,0.08821683162157612,19.288150629662354,3.141271080311281,0,19.37636746128393,0.0
-7.720561372941418,250,-60.0042029905007,0.22275091232795366,22.721268762613633,0.08321145540359964,4,2.974461435162085,7.772,0.08321145540359964,19.37636746128393,2.565933748170439,0,19.45957891668753,0.0
-7.790271168174706,250,-56.96246278169345,0.21037294372519735,20.706888404566893,0.0799536247555821,5,3.107530089116896,7.312,0.0799536247555821,19.45957891668753,2.3148771025693784,0,19.539532541443112,0.0
-7.82785193994854,250,-52.85365629853254,0.19315511438485108,14.708160173523568,0.07620042634864177,6,3.2704152090180467,6.752,0.07620042634864177,19.539532541443112,1.6132253407382366,0,19.615732967791754,0.0
-7.921570517121287,250,-52.409110541274444,0.17719925467068376,14.425783141208298,0.07362956620107752,7,3.3498116884302767,6.616,0.07362956620107752,19.615732967791754,1.5609433045437624,0,19.68936253399283,0.0
-8.026657898778188,250,-52.36591613162889,0.1630742700465527,12.264699786617516,0.07023154263914577,8,3.4216315492419,6.524,0.07023154263914577,19.68936253399283,1.299778442658594,0,19.759594076631977,0.0
-8.138827775052517,250,-52.7070486712401,0.1543970747756115,13.601530364682665,0.06775460566704439,9,3.4841886637901034,6.476,0.06775460566704439,19.759594076631977,1.4175415337830495,0,19.82734868229902,0.0
-8.25022253368099,250,-53.164434007040306,0.14767939858229862,13.207770854943778,0.06547893294701268,10,3.542416513553662,6.444,0.06547893294701268,19.82734868229902,1.3648677591620368,0,19.892827615246034,0.0
-8.287886906360649,250,-51.08653489080704,0.13110919390395542,9.659854353503876,0.06254235715964995,11,3.6531195461808057,6.164,0.06254235715964995,19.892827615246034,0.9844308000057699,0,19.955369972405684,0.0
-8.410462763010772,250,-52.78406430065561,0.12532712037260024,11.05466595185902,0.06134095650339333,12,3.667698559542358,6.276,0.06134095650339333,19.955369972405684,1.1098756687124913,0,20.016710928909077,0.0
-8.465588922168958,250,-51.504643002475945,0.11124178013150263,8.898451801295526,0.060067073450472463,13,3.7604424095941997,6.084,0.060067073450472463,20.016710928909077,0.8837103597899031,0,20.07677800235955,0.0
-8.58414891544771,250,-52.87835731915789,0.10590833859834112,10.894938347197884,0.059322220256309066,14,3.784800123729706,6.16,0.059322220256309066,20.07677800235955,1.0688311372709909,0,20.13610022261586,0.0
-8.701107534305228,250,-54.01647557296686,0.10106119406486187,9.356585671565451,0.05869156957464128,15,3.8189524753823707,6.208,0.05869156957464128,20.13610022261586,0.9059448106810922,0,20.1947917921905,0.0
-8.766893504746019,250,-53.162442212779865,0.09661379870031912,9.284321700891768,0.05784877821459489,16,3.9017118663231978,6.064,0.05784877821459489,20.1947917921905,0.8921345190048418,0,20.252640570405095,0.0
-8.862316562229598,250,-53.741087633360294,0.09316507544561273,10.40737456506292,0.05682145650526138,17,3.9442087477312584,6.064,0.05682145650526138,20.252640570405095,0.9899010051515253,0,20.309462026910357,0.0
-8.918480216775844,250,-52.79740288331299,0.08367325565730714,7.895705427274502,0.05543494524809134,18,4.026451986900534,5.92,0.05543494524809134,20.309462026910357,0.7386474125047754,0,20.364896972158448,0.0
-9.010077377450497,250,-53.41173869352654,0.07961438215624508,8.015255096160216,0.053897310757847094,19,4.063938026751638,5.928,0.053897310757847094,20.364896972158448,0.7394700805306459,0,20.418794282916295,0.0
-9.111408362531114,250,-54.376885107585686,0.07764367532335846,8.774975951728019,0.05322757938183287,20,4.093416487509097,5.968,0.05322757938183287,20.418794282916295,0.8093058754265905,0,20.472021862298128,0.0
-9.190078014482403,250,-54.662584030141325,0.07222088597937694,8.835063571276706,0.053414593873991834,21,4.1365523701037965,5.948,0.053414593873991834,20.472021862298128,0.8057890542815781,0,20.52543645617212,0.0
-9.278873932133736,250,-55.116511156874395,0.06609190868227907,6.9255915180378596,0.05358731490863278,22,4.180179453278735,5.94,0.05358731490863278,20.52543645617212,0.62,0,20.579023771080752,0.0
-9.365442621336877,250,-55.29357323637293,0.060748570717293525,7.857492081827206,0.053070110878994825,23,4.234885918365329,5.904,0.053070110878994825,20.579023771080752,0.6976990755332847,0,20.632093881959747,0.0
-9.460858878641654,250,-55.89475425501488,0.05952926976084447,8.484163874603999,0.05223918852043852,24,4.276359327243319,5.908,0.05223918852043852,20.632093881959747,0.7453428741190191,0,20.684333070480186,0.0
-9.575257145906221,250,-57.22173670393557,0.05850613195124516,7.96171331867629,0.051396259922650955,25,4.2977101858538,5.976,0.051396259922650955,20.684333070480186,0.6924045060511954,0,20.735729330402837,0.0
