ITERATIONS,RewardMean,NormDeltaVar,WeightMedian,ReturnsStd,Epsilon,DualReg,ConfortViolation,Wins,Eta,TimestepsStd,WeightMean,LossReg,DualAfter,Omega,ReturnsMean,DeltaOmega,RewardStd,TimestepsMean,OmegaBefore,Traj,NormDeltaOmega,WeightMin,WeightMax,DualBefore,Primal
0,2.338,34.73985759062808,0.11392009110125276,54.43929812074733,0.3801,0.0,0,0.0,3.6828037385686834,0.0,0.06618360273600103,0.0,4.848793356386322,[[0.26009099]],1169.171717171717,[[-0.53990901]],2.4148532046482662,500.0,[[0.8]],100,0.5399090066090866,0.06618360273600103,1.0,6.864752981759493,4.848793358187171
1,4.15068,17.395505395071357,0.18168922819033329,120.58185974473959,0.3801,0.0,0,0.0,4.6908231857660825,0.0,0.1186209710914186,0.0,7.862547843930214,[[0.09421854]],2073.070707070707,[[-0.16587245]],4.152138670324005,500.0,[[0.26009099]],100,0.16587245019622104,0.1186209710914186,1.0,9.235280839555926,7.862547839221748
2,7.0864,64.70612855989987,1.0,123.0426856816159,0.3801,0.0,0,0.0,1.6750598665833458,0.0,0.0025544052001661584,0.0,9.973074805813182,[[0.00112078]],3544.949494949495,[[-0.09309776]],4.21022268294683,500.0,[[0.09421854]],100,0.09309776436808564,0.0025544052001661584,1.0,9.98027631137045,9.97307493471973
3,9.94652,193.68073717490833,1.0,16.028899520388503,0.3801,0.0,0,0.0,0.004656079220209505,0.0,0.0,0.0,10.001743066477019,[[1.45209042e-09]],4973.272727272727,[[-0.00112078]],0.708646519500378,500.0,[[0.00112078]],100,0.0011207773745162864,0.0,1.0,10.374364381949704,9.999999999997401
4,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
5,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
6,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
7,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
8,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
9,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
