ITERATIONS,RewardMean,NormDeltaVar,WeightMedian,ReturnsStd,Epsilon,DualReg,ConfortViolation,Wins,Eta,TimestepsStd,WeightMean,LossReg,DualAfter,Omega,ReturnsMean,DeltaOmega,RewardStd,TimestepsMean,OmegaBefore,Traj,NormDeltaOmega,WeightMin,WeightMax,DualBefore,Primal
10,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
11,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
12,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
13,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
14,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
15,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
16,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
17,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
18,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
19,9.98,0.0,1.0,0.0,0.3801,0.0,0,0.0,0.004646792056500534,0.0,0.0,0.0,10.00175694277057,[[1.45209042e-09]],4990.0,[[0.]],0.4467661580737735,500.0,[[1.45209042e-09]],100,0.0,0.0,1.0,10.378098088311146,9.999999999997792
