TimestepsStd,ITERATIONS,RewardMean,TimestepsMean,RewardStd,ReturnsMean,DualBefore,Traj,OmegaBefore,Epsilon,NormDeltaVar,DualReg,WeightMean,LossReg,DeltaOmega,Omega,WeightMax,Wins,ConfortViolation,ReturnsStd,DualAfter,NormDeltaOmega,WeightMin,Primal,WeightMedian,Eta
0.0,0,2.35884,500.0,2.4372348787919473,1179.878787878788,7.398481922602945,100,[[0.8]],0.8601,5.48556702518751,0.0,0.018979884698940505,0.0,[[0.05449299]],[[0.85449299]],1.0,0.0,0,55.47868327133099,6.3355020332551275,0.0544929922546713,0.018979884698940505,6.335499210881591,0.041940620924458716,2.522465353473961
0.0,1,2.41252,500.0,2.502348346973298,1207.171717171717,7.238862349720009,100,[[0.85449299]],0.8601,4.099250262175737,0.0,0.016703185431491414,0.0,[[0.0321833]],[[0.88667629]],1.0,0.0,0,61.19352319395988,6.376231052690862,0.0321832995916862,0.016703185431491414,6.376231053790432,0.03786512910994325,2.4436997043238553
0.0,2,2.51284,500.0,2.595248568904335,1256.8080808080808,7.248222379913053,100,[[0.88667629]],0.8601,3.211941008343743,0.0,0.015561931285193164,0.0,[[0.02070465]],[[0.90738094]],1.0,0.0,0,64.85347537359793,6.51723483197005,0.02070465083336981,0.015561931285193164,6.5172348341656425,0.03578086164368735,2.4021556083410474
0.0,3,2.573,500.0,2.658764938839084,1286.888888888889,7.250630080420996,100,[[0.90738094]],0.8601,2.4400954955143206,0.0,0.014756072663136388,0.0,[[0.01339043]],[[0.92077138]],1.0,0.0,0,62.28265463563995,6.6047925319423815,0.013390433558230552,0.014756072663136388,6.604792533477615,0.034290721899484206,2.3718599265440647
0.0,4,2.6432,500.0,2.7264727689819312,1321.0707070707072,7.287231483856651,100,[[0.92077138]],0.8601,2.3680228355194473,0.0,0.014086704402587314,0.0,[[0.01127998]],[[0.93205136]],1.0,0.0,0,71.63166904806253,6.709304354143948,0.011279979342097679,0.014086704402587314,6.709302873058221,0.03304056925199914,2.346027914315113
0.0,5,2.66256,500.0,2.7392360698559735,1330.3232323232323,7.293448727103689,100,[[0.93205136]],0.8601,0.4032254469298806,0.0,0.013870177521939092,0.0,[[0.00176593]],[[0.93381729]],1.0,0.0,0,75.79915357364736,6.73250593891377,0.0017659318706962912,0.013870177521939092,6.732505940871162,0.03263364731688239,2.3375331229745253
0.0,6,2.67632,500.0,2.7514416689437557,1336.3838383838383,7.287116441218444,100,[[0.93381729]],0.8601,0.5686192735540772,0.0,0.013595269545989087,0.0,[[0.00241788]],[[0.93623517]],1.0,0.0,0,80.54645526634852,6.748236608258132,0.0024178792623554823,0.013595269545989087,6.748236665417182,0.032115172421877766,2.326645497896368
0.0,7,2.67368,500.0,2.74746342243168,1336.5252525252524,7.2890121241520065,100,[[0.93623517]],0.8601,0.1980741839483855,0.0,0.013660863090599662,0.0,[[-0.00083276]],[[0.93540241]],1.0,0.0,0,67.91175846690722,6.744247711243122,0.0008327600718703865,0.013660863090599662,6.744247910271709,0.03223907043454609,2.329253901241988
0.0,8,2.65544,500.0,2.7395763187763174,1327.6363636363637,7.272385936205183,100,[[0.93540241]],0.8601,0.07389574417202027,0.0,0.01374604033470065,0.0,[[-0.00031326]],[[0.93508914]],1.0,0.0,0,71.71681889228903,6.722529962509871,0.0003132640381745544,0.01374604033470065,6.722530210113866,0.03239978222683205,2.332631109977181
0.0,9,2.66568,500.0,2.7469674438551324,1332.4242424242425,7.287146285657302,100,[[0.93508914]],0.8601,0.14211626790743281,0.0,0.013742025991970698,0.0,[[0.00060122]],[[0.93569036]],1.0,0.0,0,78.07547383349697,6.7382925793048205,0.0006012193029265589,0.013742025991970698,6.738292924625662,0.032392212475785366,2.332472195744302
