TimestepsMean,RewardStd,TimestepsStd,Omega,DualAfter,DeltaOmega,DualBefore,ReturnsStd,NormDeltaVar,NormDeltaOmega,Eta,RewardMean,ConfortViolation,WeightMax,Traj,OmegaBefore,ITERATIONS,WeightMedian,WeightMean,Wins,ReturnsMean,WeightMin,LossReg,DualReg,Epsilon,Primal
500.0,2.4172573784353206,0.0,[[0.93154294]],7.221849774348818,[[0.13154294]],7.7508698858563045,56.97582172105739,17.490589945280473,0.131542943699563,1.985464785425576,2.33892,0,1.0,100,[[0.8]],0,0.017787074301634263,0.00649577014798379,0.0,1169.090909090909,0.00649577014798379,0.0,0.0,1.2801,7.22184960951543
500.0,2.759673104989067,0.0,[[0.97950125]],7.587099710803521,[[0.04795831]],7.712590680430277,69.25228362934169,17.943484567308687,0.047958305740880225,1.6410173901660008,2.68244,0,1.0,100,[[0.93154294]],1,0.007634907077528923,0.0022568603917701544,0.0,1340.6666666666667,0.0022568603917701544,0.0,0.0,1.2801,7.5871040305755475
500.0,2.902069114545689,0.0,[[0.99046298]],7.764220359587337,[[0.01096173]],7.805172671947459,74.30747922812233,11.09017019483121,0.010961731201437397,1.4421680182296654,2.85888,0,1.0,100,[[0.97950125]],2,0.003898342322413698,0.0009740919763846753,0.0,1429.2121212121212,0.0009740919763846753,0.0,0.0,1.2801,7.764224435485267
500.0,2.9617775376283753,0.0,[[0.99383483]],7.839760656476771,[[0.00337184]],7.860124902522195,76.58193904851034,6.280901152896021,0.0033718448041094584,1.340684461684379,2.93776,0,1.0,100,[[0.99046298]],3,0.0025616561288588128,0.0005763032094928943,0.0,1469.2121212121212,0.0005763032094928943,0.0,0.0,1.2801,7.839760624197093
500.0,2.9649480564758632,0.0,[[0.99406938]],7.84515205586878,[[0.00023455]],7.863775052892694,77.0620671117242,0.5574784011047029,0.0002345534755530121,1.329428433233885,2.94668,0,1.0,100,[[0.99383483]],4,0.010963126776470704,0.0024354501708699866,0.0,1472.7676767676767,0.0024354501708699866,0.0,0.0,1.2801,7.845156678873024
500.0,2.9732314302119165,0.0,[[0.99447873]],7.856276024485574,[[0.00040935]],7.872651757918233,76.16029256948106,1.0276094313222188,0.0004093506143116876,1.3129294394885351,2.95932,0,1.0,100,[[0.99406938]],5,0.002258070854433806,0.0004922343946288018,0.0,1479.3535353535353,0.0004922343946288018,0.0,0.0,1.2801,7.85627603654003
500.0,2.9725313546538072,0.0,[[0.99436713]],7.851245657325032,[[-0.0001116]],7.868792262574047,72.82271515164024,0.2874801415186141,0.00011160117967057293,1.3219403699478158,2.94884,0,1.0,100,[[0.99447873]],6,0.00235383307372949,0.0005184651578557793,0.0,1473.939393939394,0.0005184651578557793,0.0,0.0,1.2801,7.8512457963903035
500.0,2.984550559129465,0.0,[[0.99509151]],7.871338349001516,[[0.00072438]],7.884293624546543,69.29854204673488,1.9768789590883387,0.0007243830745956581,1.285360881895989,2.9786,0,1.0,100,[[0.99436713]],7,0.00939150478774032,0.001981436896001215,0.0,1488.7070707070707,0.001981436896001215,0.0,0.0,1.2801,7.871338489032395
500.0,2.9848130141769347,0.0,[[0.99504949]],7.870054307808543,[[-4.20209982e-05]],7.883510603524712,85.52298045376655,0.12238108553819416,4.2020998202829674e-05,1.2895704161846793,2.97448,0,1.0,100,[[0.99509151]],8,0.0020221049447963053,0.00042879983937010575,0.0,1487.5959595959596,0.00042879983937010575,0.0,0.0,1.2801,7.870054633960735
500.0,2.974116037816951,0.0,[[0.99460854]],7.861671420493517,[[-0.00044095]],7.87682183979689,75.87532398156343,1.2252720363574667,0.00044095093704343835,1.3030680987334138,2.97044,0,1.0,100,[[0.99504949]],9,0.002156310099139137,0.0004646639941097709,0.0,1485.8383838383838,0.0004646639941097709,0.0,0.0,1.2801,7.861671497772483
